本田未央,おはよー……、最近は雨ばっかりでイヤだねー……
渋谷凛,はい、そうですね、前のバッターの美城さんが繋いでくれたんでね、はい、自分も繋ぐバッティングを心がけて……。それが良い結果になってくれましたね
未央,どうしたの
凛,はい、そうですね、相手の本田選手もいいピッチャーなので、振り負けないように全力で、はい、その結果だと思います
未央,あ、打たれたの私なんだ？
凛,あれじゃ正直2軍レベルですね笑
未央,おい！敬意を持ってよ！！！
凛,はい、私の後ろを打つ島村選手も、今日は4安打16打点と当たってましたし、自分がダメでも……という気持ちでしたね
未央,グランドスラム4連発！？なんでインタビュー呼ばれてないの！？
凛,……そうですね、病気で療養中の北条監督と、服役中の神谷コーチにも……、良い知らせを……したかったので
未央,チーム事情がろくでもないな！かみやん服役中！？
凛,まさか……、あの眉毛が……、銃刀法違反になるとは……
未央,眉毛は銃にも刀にもカテゴライズされないから！！！
凛,この前さ、ふとテレビを見たら、バスケのプロリーグが始まったってニュースがやってたんだ
未央,何でそんな自然に通常会話へ移れるの？1レス飛ばしたかと思ったよ
凛,これだ！！！！って
未央,どれだよ
凛,スポーツ選手になってちやほやされたいんだよ！
未央,この世のスポーツ選手に今すぐ謝罪してよ
凛,それで、とりあえずこの日本で稼ぐなら、まずは野球かな……って
未央,で、ヒーローインタビュー？
凛,やっぱり、いざあの場に立った時に話せないと恥ずかしいからね
未央,事務所で1人で練習してる方がよっぽど恥ずかしいからね？見つかったのが私でよかったよ……
凛,いや、さっき乃々が来たんだけど、私をみてひうっ！
未央,ドン引きされてるじゃん！
凛,えっ……
未央,そんな今さら気づいても……
凛,乃々……引いてたんだ……
未央,え？え？そんなに？
凛,ポエム仲間として……仲良くなりたいと思ってたのにな……
未央,うわ、こんなガチ凹みしてるしぶりん初めて見た！
凛,ねえ、どうすればいいの！？ねぇ！！！
未央,ちょ、落ち着いて！らしくないよ！いや、1人ヒーローインタビューの時点ですでにらしくないけども！。いやいや、でも、この前のラジオの時、(普段の頭がおかしそうな言動からはかけ離れて)ちゃんとお姉さんしてたじゃん！乃々ちゃんも"頼りになった"って言ってたし！
凛,何か含みがなかった？
未央,ちょっとビックリしちゃっただけだよ！ちゃんと話せば平気だって！
凛,未央……。そうだね、うん、ありがとう
未央,少し臆病なんだから、優しく接してあげなきゃダメだよ？
凛,そっか……、じゃあ次は、ポエムを詠唱しながら近づこうかな
未央,ポエムの動詞に"詠唱する"を採用してる時点で救いようがないよ
凛,春はあけぼのの！！！
未央,ポエムって枕草子！？そもそもあけぼののって何だ！！！あと声が大きい！！！
凛,ツッコミがくどい
未央,誰のためにやってると……！！！。話を戻そうよ……
凛,そうだね。相撲の話だっけ？
未央,なんで曙に引っ張られてるのさ。スポーツ選手になりたいって話だよ
凛,そうそう、で、野球をやりたいなって
未央,そんなこと言って、しぶりん、野球なんてしたことないでしょ？。シュミレーションに入るのが早いんだよ！！！会話をしてよ！！！
凛,野球選手になるなら、まずは入場曲を決めなきゃね
未央,外堀の外堀から埋めるよね。まず野球してよ
凛,とは言っても、nevaaseinevaaは歌詞も前向きだし、採用していいかも
未央,発音変じゃなかった？
凛,逆に、薄荷とかはなんか引退試合みたいな雰囲気になっちゃうよね笑
未央,加蓮に恨みでもあるの？
凛,未央も気を付けなよ？2連敗してる時にミツボシを流されても、ファンのみんなはイライラしちゃうから
未央,余計なお世話だよ！！！
凛,あと野球選手になる時に必要なものってあるかな？
未央,実力だよ実力
凛,あ！決め球の名前！
未央,聞けよ！！！
凛,わかってるよ、"変化球なんて投げれるのか"って言いたいんでしょ？
未央,言ってるんだよ最初から！
凛,未央には見せたことないんだけど、実は七色の変化球を投げられるんだよ
未央,えー？うっそだー！
凛,ストレートを中心に、落ちないフォーク、曲がらないカーブ、速いチェンジアップ、消えない魔球を投げれるんだから
未央,ストレートだらけじゃん！！！消えない魔球？ただの棒球だよ！！！
凛,……もしかして、私、野球向いてない？
未央,逆によく向いてると思ったね！？
凛,そっか……、じゃあサッカー選手になるね
未央,鞍替えが軽すぎる
凛,アルゼンチンのリオネル・メッシと呼ばれた実力を見せてあげるよ
未央,アルゼンチンのリオネル・メッシってそれはもうメッシ本人だからね！？
凛,もし私がサッカーやるとしたら、どのポジションが向いてるかな？
未央,強いて言うならベンチだよ
凛,やっぱり目立つなら点取り屋のFWだよね
未央,聞き入れないならどうして質問するの？
凛,でも、中盤の底でゲームメイクするボランチもかっこいいよね。迷うな……
未央,ねえ、帰っていい？
凛,そんなこと言わないでよ。未央は私とダブルボランチを組むんだから！
未央,うわあ普通に巻き込まれてる！。というか、しぶりんなら"トップ下がやりたい！"とか言いそうなものなのに
凛,トップ下の卯月は日本代表だよ！？私には挑めないよ！
未央,しまむーはちょくちょく現れてゲームバランスを崩していくね！？
凛,せっかくだから、他のポジションも決めていこうか？
未央,せっかくってなにさ
凛,いや、まずはフォーメーションからかな
未央,……もう止まりそうにないから乗っかるけど、日本代表みたいに4-2-3-1でいいんじゃないの？
凛,未央は甘いね。時代は9-0-1だよ
未央,攻めろよ！！！みんなでゴール前でだらけてるんじゃないよ！！！あと1人だけ可哀想じゃん！？
凛,この1人は卯月だよ。卯月が取った3点をみんなで守るんだ
未央,ハットトリック前提！？
凛,わかったよ……、じゃあ4-2-3-1でいいよ……
未央,どうして私がワガママみたいになってるのかな！？
凛,まずはGK……、守護神……、鉄壁……、絶壁……
未央,さっそく雲行きが怪しいけど
凛,背番号72……
未央,あっちの事務所の圧力でクビになればいいのに
凛,まあ、私もそこまで命知らずではないからね。いったん保留にしとこうか
未央,明らかな手遅れだからね？
凛,CB(センターバック)の2人は、背が高めのアイドルを置きたいよね
未央,待って、本当に全ポジション決めるの？
凛,気に入らないなら読み飛ばせばいいんだよ
未央,そういうことを言わない！！！
凛,というわけで、CBはフレデリカ(164)と朋(163)ね
未央,ともともを殺す気！？
凛,左右のSB(サイドバック)は前後に走るポジションだから、杏とありすに任せるとして
未央,殺意が明確すぎない？
凛,ボランチは私と未央でしょ？
未央,オファー来ても絶対に蹴るかんね
凛,サッカーだけに？
未央,うるさいな！！！
凛,トップ下の三枚は、中央に卯月、右に智絵里、左にほたる
未央,大丈夫？相手は90分を戦いきれる？
凛,ワントップに奈緒！
未央,単純に可哀想！！！
凛,監督はもちろん！
未央,この流れ、常務とか言わないよね？
凛,ハリルホジッチ
未央,そこはガチなのかよ！！！
凛,サッカーはダメだね
未央,ダメなのはしぶりんだよ？
凛,じゃ、ラグビーやろっか？
未央,被害がいろんなスポーツに……
凛,じゃあ、蹴る時のルーティーンから……
未央,だからなんでそういうとこからアプローチを開始しちゃうの！
凛,1曲踊ろうか？
未央,蹴る度に毎回？遅延行為で退場だよ？
凛,未央はいいよね、ミツボシのポーズがあるからさ
未央,あれを連発するのも相当なメンタルじゃない？
凛,外す度に"りゅーせー！！！(笑)"って煽られそうだね
未央,そこまで自分を傷つけてラグビーしたくないよ！！！
凛,ごめん、自分で言っておいてダメなんだけど、茜を止められる気がしないからやめよっか
未央,あー、茜ちんは勢いがあるもんね……、なんで対決する前提なのかはわからないけど
凛,あれを止められるのは、最強のラインバッカ―である卯月の必殺技"トライデントタックル"しかないね
未央,ラインバッカ―はアメフトでしょ！？アイシールドで聞きかじっただけの知識を披露しないでよ！
凛,卯月については
未央,もう触れるのも面倒だよ
凛,じゃあ何のアスリートになればいいのさ！
未央,現実を見なよ！しぶりんじゃ無理だよ！！！
卯月,こんにちは！トライアスロンはどうですか？
未央,過酷なの持ってきたねぇ！！！
凛,トライアスロン……、確か、パン・スリム・俳句……
未央,ラン・スイム・バイクだよ。運動要素ゼロじゃん
卯月,あとは……、陸上は道具がなくても取り組めるものが多いですね！
未央,まあ、確かに、走ったり跳んだりならね
凛,そっか！ちなみに卯月、100メートルは何秒くらい？
卯月,11秒を切るのが限界です！
未央,いやいやいやいや！日本記録だよ！？
凛,流石の卯月も、できないことがあるんだね
未央,誰目線？神？
卯月,100メートルハードルなら9秒台なんですが……
未央,なんで障害物で加速するの！？物理法則は！？
凛,やっぱりダンスやってるとね、そういうとこあるよね
未央,ないよ！！！。逆にしまむーにできないスポーツはないの……？
卯月,あ、実は、剣道が苦手なんです……
未央,え！意外！小太刀一本でも勝てそうなのに……
凛,どうして？
卯月,私、すぐにバンザイしちゃうんですけど、剣道はガッツポーズが禁止で……
未央,もうしまむーを封じるにはそういう面で引っ掛けるしかないんだ……
卯月,どうせ一本を食らった相手は気絶するので、繰り上りで次戦には進めるんですけどねっ！
未央,多分だけどブラックリスト入ってるからね、しまむー
凛,なんとかして卯月に勝てる種目はないかな……？
未央,別にいいけど趣旨が変わってない？
卯月,ありますよ！
未央,え？
凛,え？
卯月,……ボクシングでも空手でもテコンドーでも、私は凛ちゃんと未央ちゃんには手を出せませんからっ！
