モバＰ,以降Ｐ表記。っとストップ！
ちひろ,ほーん、ってあんた
Ｐ,さてと仕事仕事
ちひろ,あの芳乃ちゃんがですよ！？どうしてそんな呑気していられるんですか！
Ｐ,ハハッ出社早々同僚がトチ狂っとる
ちひろ,ほ、本当なんですよ？嘘じゃないんですからね！？
Ｐ,はいはい
ちひろ,うわ、全っ然信じて無いですねこの社畜
Ｐ,そんな事言われても今朝も普段通りでしたし、あいつ
ちひろ,何か少しくらいいつもと違うおかしなところとかありませんでした？
Ｐ,むしろ何があったらそんな世迷言を言い出すんだよ。いつもと違うところ…？うーん、別に、特に何もこれといって
ちひろ,じゃあ、芳乃ちゃんがああなったのは事務所に来てから何かあったと言う事ですかね…
Ｐ,今日に限って着物が真っ黒で瞳の色が血のように赤くなってて全身から紫色の焔のようなオーラを出していたくらいですし
ちひろ,お前の目が節穴過ぎる！！
Ｐ,あー、確かに今日はちょっと雰囲気違ったかも。イメチェンですかね？
ちひろ,ダメだこいつ
Ｐ,まぁ壊れたチッヒはさておき、仕事も終わった事だしみんなの様子でも見て来ますね
芳乃,こんにゃろめー！こんにゃろめー！
茄子,あわわわわわわわ！！
Ｐ,…。……。芳乃に一体何が！？
ちひろ,だから言っとるやろがい
Ｐ,事務所の廊下をホバー走行して茄子さんを追いかけまわしている芳乃！
ちひろ,難しい日本語ですね
芳乃,ほーっ！
茄子,きゃん！
Ｐ,背後からの高速タックルで茄子さんを捕らえる芳乃！
ちひろ,字面だけ聞くとこの世の終わりみたいなワードですね
芳乃,でしてー！でしてー！
茄子,あたたたたたっ
Ｐ,茄子さんが派手にコケて気がしないうに高い位置へのタックルからゆっくり丁寧に床に押し倒してマウントポジションから猛烈な攻撃力皆無の連打を繰り出す芳乃！
ちひろ,実況力高い社畜ですね
芳乃,ほーーっ！
Ｐ,気が済んだのか次の獲物を求めて何処へと去っていく芳乃！
ちひろ,だ、大丈夫ですか茄子さん
茄子,な、なんとか…
Ｐ,一体芳乃に何が…
ちひろ,反抗期とかでしょうかね
Ｐ,うちの芳乃にそんなものは無い！
ちひろ,バカ親ですかアンタは
茄子,うぅ…ぷにぷにお手てでめっちゃぺちぺちされました
Ｐ,茄子さん、芳乃があんな風になった事について何か知りませんか？
茄子,反抗期です
Ｐ,
ちひろ,あ、気絶した。って言うかどうして茄子さんの言葉は信じるんですか！
Ｐ,失礼、取り乱しました
ちひろ,ハイライト以外戻ってきましたか。あ、目は元々ですね
Ｐ,芳乃が反抗期…あの芳乃が
ちひろ,まぁまぁ、芳乃ちゃんだって一応戸籍上は
Ｐ,お手伝いも率先してやってくれる聞き分けの良いあの観音菩薩のような芳乃が反抗期…。あの良い子な芳乃が…
ちひろ,結構聞き分け無いじゃないですか
茄子,お家だと随分甘えん坊さんなんですねえ
Ｐ,しかし芳乃の反抗期ってあんな事になるのか…何と言うか、随分エキセントリックというか
ちひろ,そのうちプロデューサーさんに向かってうるせーオッサンー
Ｐ,ハハッまさかいくら何でもそこまでは遺書ってどう書くんでしたっけ
ちひろ,長い付き合いなのに数回しか見たことの無い満面の笑顔で血涙しとる
茄子,お、落ち着いてください大丈夫！大丈夫ですから！
ちひろ,そなたなんてもう嫌いでしてー
Ｐ,ふぐぅ！
茄子,千川こらっ！。取り合えずプロデューサーさんは追いかけてください。みんなにそこまでの危害を加える事は無いとは思いますが万が一という事もありますから
Ｐ,身も蓋も無い事聞きますけど茄子さんの幸運力で何とかなったりしません？
茄子,すみません…そうしたいのは山々なんですが
Ｐ,出来るんかい
