南条光,ケンカじゃないから大丈夫だよ
小関麗奈,そう、ケンカなんかじゃなくて戦争！うららららららああああッ！！
光,よっほっやっ
麗奈,な…なんで……当たんないのよ！
光,鍛えてますから
麗奈,うがぁああ！言われるのわかってたけど腹立つわね～！
光,ハッハッハッ！どうだ、これでもまだヒーロー番組なんて見るだけ無駄だって言うか？
麗奈,有益なのはトレーニングでしょうが！ヒーロー云々関係ない！はい論破！
光,ヒーロー番組を見てなかったらアタシは鍛えてないし、そもそもここにいない…つまり、ヒーロー番組があったからこそ今のアタシが存在してるんだ！関係ないわけがない！
麗奈,関係あ～り～ま～せ～ん～っだ！あんなのがアタシのイタズラより有意義だとか絶対認めないから！
光,イタズラの方が無駄だろ！あんなの怒られるし、相手は嫌な思いするしいいところなんかないじゃないか！
麗奈,それはアンタの主観でしょ？！アタシはアタシのイタズラに引っかかった間抜けの顔をみて笑ってやるのが趣味なんだから！
光,そんなことをやり続けてたら人格歪むぞ！
麗奈,アンタだってイイ年して趣味はヒーロー番組を見たりヒーローショーを見に行くことですなんて言ってたら面接落とされるわよ！
光,アイドルなんだから大丈夫だろ！むしろ個性だ！
麗奈,ずっとアイドルなんて続けられるわけないでしょ！現実見なさいよ現実！テレビばっかり見てないで！
光/麗奈,ワーワーギャーギャー！！！
晴,ったく…この二人も飽きないよな
光/麗奈,ムキー！！！
晴,お互い顔真っ赤にしてよくそこまで熱くなれるもんだ
光/麗奈,あああああああ！
晴,まあ、そろそろ止めますか…仕方ないな光ねーちゃんもレイナも
光,
麗奈,
晴,はいストォップ！決着はサッカーで着けようぜ
光,…………
麗奈,…………
晴,ふっ…こう言えばこの人らは乗ってくるからな
光,……
麗奈,……
晴,ケンカも止めれるし、一緒に遊べるし一石二鳥…ちょろいぜ！
光/麗奈,…………
晴,さあ来い！
光/麗奈,サッカー飽きた
晴,あるぇええええ！？なんでぇ！？
麗奈,いや…なんでって言われても…ね？
光,うーん…サッカー回も何週間前の話だよって感じだし、映画も見て熱が冷めたというか……晴には悪いけどさ
麗奈,そもそも、毎日やってりゃ飽きるわよ。今までは光も乗り気だったから何も言わなかったけど
晴,は？は？ちょ、意味わかんないんだけど……サッカーに飽きるとかないだろ？
光,いや飽きるよ、むしろ飽きたよ
晴,
麗奈,光…冷めたのはわかるけどもうちょっと優しく言ったらどうなの……
光,嫌々遊ぶよりはっきり言った方がよくないかな？
麗奈,そりゃアタシたちはそんな感じだけど…この子は違うじゃない
晴,……
麗奈,ほら…だいたいこの子結構アンタのこと尊敬してたしだいぶショック受けてるわよ
光,む…そうなのか
麗奈,光だってピンクレンジャーからおっさん出てきてタバコ吸いながらクソガキうぜえって言ってたらショックでしょ？
光,いのちの電話に相談するレベルだ！くっ、アタシは何てことをッ！！
麗奈,わかったらほら…言うことがあるでしょ
光,ごめん晴！その……ひどいことを言っちゃって
晴,別に…いいよ
麗奈,全く…これでヒーローなんて言うんだから笑っちゃうわ！ね、晴？
光,ぐぬぬ…アタシもまだまだだな
晴,ｱﾘｶﾞﾄ…ﾚｲﾅﾈｰﾁｬﾝ
麗奈,ん…何か言った？
晴,な、何も言ってねーよ！
光,…………
麗奈,…………
晴,…………
光/晴/麗奈,気まずっ
晴,あるよな…ケンカとかした後のこんな感じ
光,とはいえアタシが原因だし、ここで出しゃばると印象悪いよな
麗奈,いいから誰か喋りなさいよ～っ！
光/晴/麗奈,ッ！？
バナナP,下らん！強いアイドルを揃えて勝利してこそのLIVEバトルだ！
ブドウP,黙ってろよクズ…沈めるぞ
バナナP,キャラ愛や艦隊などというのは弱者の言い訳に過ぎん！
ブドウP,……お前は越えちゃいけない一線越えた
バナナP,ほう…
オレンジP,まあまあまあ！落ち着けよ二人とも、今日の失敗は明日に活かせばいいじゃないか！な？
バナ/葡萄P,あんたん野郎は失せろ！
オレンジP,えええええええっ！？
蜜柑/バナ/葡萄P,ワーワーギャーギャー！
光,あー…外…行こうか？
麗奈,……そうね、晴…ボール持って駐車場行くわよ
晴,え…でも、いいのかよ？サッカー……飽きたんだろ？
麗奈,はぁ…アンタも意地っ張りね。サッカーやりたいの？やりたくないの？
晴,……やり…たいです
麗奈,じゃあ、さっさと下行ってサッカーやるわよ。光もそれでいいわね
晴,……
光,もちろん！
晴,ホントか！光ねーちゃん？！
光,ヒーローに二言は無い！
晴,い、嫌々だったら…いいんだぞ？
光,さっきのことは本当にごめん！でも、やるからには全力でやる！今日もアタシが勝つからな！
晴,お、おう！負けないぞ！
麗奈,はっ！今日勝つのはこのレイナサマよ！
晴,いや…レイナはよえーし
麗奈,んなっ！？調子乗ってると痛い目みるわよ！
光,というわけで駐車場まで来たぞ！そして、ジャンケンの結果アタシから蹴ることになったのであった！
麗奈,何言ってんのよアンタ……
光,よし、行くぜ！。セイッハァアアアアッ
晴,ほいっ
麗奈,やっ
光,ちょぉおお！？何で避けるのー！
晴,速いし
麗奈,痛いし
光,サッカーだよねこれ！？
麗奈,行くわよ！。…………
光,…………
晴,…………
麗奈,台風の影響で風がキツくなってるの、わかるわ
光,あー…うん
晴,全然成長してねーじゃん！？。よぉし！行くぞ！
光,止めてみせる！
麗奈,アタシがね！
光/麗奈,痛ったぁ～っ！！
光,もぉ～麗奈！今のはアタシだろ！
麗奈,さっきからアンタばっかり止めてるじゃない！アタシにも触らせてよ！
光/麗奈,キーキー！
晴,あー…ったくもう！またケンカかよ二人ともーーー！！
オレンジP,おーおーやってるやってる
ブドウP,仲直りできてよかったですね
バナナP,ふんっ全く手のかかる奴らだ
オレンジP,とかなんとか言って、最初にあの空気なんとかしてやろうって言ったのはお前じゃねえかこのこの～
バナナP,やめろ鬱陶しい！
ブドウP,まあ、やり方は正直微妙でしたけどね
オレンジP,いいんだよそんなこと！光たちが仲直り出来たんだからな！
バナナP,ふん…
？？？,そんなに…
バナナP,ん？
姫川友紀,そんなにサッカーがいいのかぁああああああッ！！！
バナナP,ぐぁあああっ！！
蜜柑/葡萄P,出たぁああああ！！
