※第七回総選挙IZUMIfeat.AKIHA,池袋晶葉・大石泉
池袋晶葉,ということで助手を捕縛した
大石泉,やったわね
モバP,モガーーーーー！！！
晶葉,まぁとりあえず暴走した発明の修理するか
泉,私はプログラムのバグを探すわね
晶葉,・・・
泉,・・
モバP,・・・モガ
ウサちゃんロボ,何この・・・何・・・
モバP,ぷはっ
ウサちゃんロボ,・・・
モバP,あ、外してくれるのは猿轡だけなのね
晶葉,・・・
泉,・・・
モバP,泉は上が、晶葉は下が見えそう
泉,見せてるのよ
晶葉,助手はホモではなかったと
モバP,待て、ホモってなんだ
晶葉,アイドルの誰にも手を出さないから噂が凄いぞ
泉,その辺はあれじゃないの？肉食系が多いから・・・
モバP,肉食系て
晶葉,まぁこうやって助手を拉致った私達が言えたことじゃないかもしれんが
泉,頑張って直してる間にみんながプロデューサーとイチャイチャするのズルいもんね
モバP,イチャイチャて
ウサちゃんロボ,色々な世界でね
晶葉,泉、素朴な疑問なんだが
泉,何？
晶葉,どうして制服の胸元を開けてるんだ？
泉,だって苦しいし蒸れるじゃない
晶葉,お、おう
泉,海外だとブラジャー付けないわよ
モバP,・・・！
ウサちゃんロボ,座ってろ・・・座ってた
晶葉,あーそういえば海外って日本人ほどブラジャーを全員がつけてるわけじゃないんだったな
泉,そう。アメリカで乳首が浮きに浮いてた時に衝撃を受けたわ
晶葉,その地方や住んでる人にもよると思うが
泉,だから胸元を開けるのはちょっとした抵抗ね。ブラジャーつけてない時はちゃんと胸元しめるわ
晶葉,・・・待て、そうするとブレザーとかちゃんと着てる時は
泉,ノーブラね
モバP,ブホッ
晶葉,痴女・・・いや、でも胸元あけるくらいなら別にそうでもないか
泉,そういう晶葉ちゃんもスカート短くない？
晶葉,あぁ、気をつけないとすぐ見える
モバP,ブホッ
泉,何気に服装も凄いよね。白衣にブルマとか
晶葉,何、自分の武器を正しく利用しているだけさ
泉,でも見られることを気にしなかったら短いほうが何かと便利よね
晶葉,気にはしてるぞ。まぁ見られても構わない人には見せてる時はあるかもしれないがな
ウサちゃんロボ,コイツラも肉食なんやなって
モバP,なぁ晶葉に泉よ
晶葉,どうした
泉,何？
モバP,それぞれスカートとブラウスを揺らすな
晶葉,作業してると暑くてな
泉,そうよ。気にしないで
モバP,沈まれ、沈まれ、沈まれ
ウサちゃんロボ,まぁどっちみち拘束されてるんだけど
泉,そういえば晶葉ちゃんってパンツは何派？
晶葉・泉,Tバック
モバP,！！？？
晶葉,聞いた意味あったのか？
泉,言うことに意味があるのよ
晶葉,・・・なるほどな。泉も悪よな
泉,博士もね
ウサちゃんロボ,大の大人が中学生に誘惑されてる
泉,Tバックいいよね。やっぱり紐？
晶葉,あぁ紐だな
モバP,Tバックの紐？
晶葉,こういうのだ
モバP,ブッ！
泉,むっ
モバP,ぐっ、対抗するな！
晶葉,まぁ横の紐だし、助手だしな
モバP,中学生には紐は早いんじゃないか・・・？
泉,水着は普通のビキニだから大丈夫よ面積の少ない
晶葉,私は普通のスク水だな生地の薄い
モバP,いや普段履いてるのが紐パンのTバックってやばいだろ
泉,北欧とかだとTバックのほうが主流らしいわよ
晶葉,下着なんてそう見せるものじゃないし大丈夫だろう
泉,あ、プロデューサーさんは紐のTバックは好きじゃないとか？
晶葉,む、そうだな、その可能性を失念していた
泉,王道の純白か、それとも縞パン
晶葉,柄物とか水玉とか、バックプリントという可能性も
泉,あー、そうね、中学生にこだわってたしありえる
晶葉,機能性や快適さに拘り過ぎてたかもしれないな
泉,アメリカのお姉さんも、下着の上下は男を誘惑し、その気にさせるためにあるって言ったしね
晶葉,ただ単に好きなものを履く、色気のあるものを身につければ良いというわけではないな
泉,ちなみにプロデューサーさんは無地のライムグリーンがお気に入りらしい
晶葉,今日未央が履いてた奴だな
モバP,待って、待って！！・・・って未央が！？
泉,正体現したね
晶葉,ライムグリーンはあんまり可愛い柄がないんだよな
泉,水着ならともかく下着はあったりなかったりね
モバP,待て、落ち着け。大人をからかうんじゃありません
泉,・・・
晶葉,・・・
ウサちゃんロボ,・・・
モバP,ん、どうし・・・・・・・・・・・あっ。違うんだ。これは何ていうか
泉,まぁ日本人って元々１０代前半で結婚して子作りしてたって言うし
晶葉,哺乳類って２０歳くらいが自然な寿命とも言うな
モバP,違うんです。最近忙しかったんです
泉,つまりここで私と晶葉ちゃんが着替えても問題ない？
晶葉,まぁ未央が好みなら私らでは大丈夫かもしれないな
モバP,何か距離とってる！
晶葉,まぁ無反応ならそれはそれで矯正するけどな
モバP,理不尽！
晶葉,ちなみに助手よ。このラボは私か泉がいる時は防音が完璧になるんだ
モバP,へ
泉,防震もばっちり
モバP,・・・
晶葉,へんたい
泉,えっち
モバP,ひどい！
ウサちゃんロボ,ひどい
晶葉,助手よ、そろそろ仕事の時間だぞ。解放してやろう
泉,あとダンスイベントの映像チェックあるよね
モバP,お、おう・・・
泉,ちなみにアンスコの下は
モバP,やめろォ！！
泉,さて、大人を大いにからかってしまった私達はこの後どうなるのかな
晶葉,食べられちゃうかもしれないな。ここでは助けは呼べないし
