キャラの言葉使いが怪しいです,特に藤本里奈
夏樹,なーPさん
P,あー？
夏樹,Pさんバイク持ってるってホント？
P,いつも乗ってきてるだろ
夏樹,いやあのアドレスじゃなくてさ、大型持ってるって聞いたけど
拓海,へぇ、P大型持ってんのか
P,まぁな
夏樹,じゃあさ、今度のオフ皆でツーリング行こうぜ
拓海,おお、いいじゃねぇか。アタシも最近仕事ばっかりで乗れてなかったし
P,うーん、ツーリングかぁ。お前らのオフが合えばな
李衣菜,なになに―？なに話しているのー？
夏樹,だりー、いや今度ツーリング行こうって話をだな
李衣菜,ホント！私も行きたい～
P,お前免許持ってないだろ
李衣菜,連れてってよ～、Pさ～ん
P,ダメ
拓海,いいじゃねえかよ、2ケツすれば
P,危険だから許しません
李衣菜,そんな～
美世,じゃああたしの車に乗る？李衣菜ちゃん
李衣菜,ホント！？ありがとう美世さん！
P,美世も来るのか
美世,あたしもたまにはいじっているばっかりじゃなくて乗りたいしねっ
里奈,ちゃーっす☆
拓海,おう、里奈か
里奈,何の話ちゅー？
夏樹,今度のオフ皆でツーリング行こうって話をしててー
里奈,マジマジ？アタシも行きたーい☆
P,里奈もバイク乗ってたんだっけ
里奈,そだよー☆皆でツーリング楽しそー☆
P,5人か…そんな人数のオフが合うか…?
ちひろ,○○日なんでどうです？
P,…確かにその日は奇跡的に5人ともあいてますね
夏樹,ホントか？
ちひろ,ええ、本当ですよ。皆さん行ってらっしゃい
P,いや、5人は空いてても俺は
ちひろ,じゃあ今休みになったってことで
P,ちょっと
ちひろ,Pさんは働き過ぎです、最近色んなところに目をつけられているんですから自重してください
P,うっ
李衣菜,じゃあけってーい！
拓海,へへ、久しぶりだな。美世、ちょっと単車見てくれよ
美世,うん、いいよー
夏樹,久々だなぁ、最近はソロツーしかしてなかったし
里奈,皆でツーリング超楽しみー☆
P,はぁ…まぁたまにはいいか
夏樹,ちょっと早く来すぎたかな。んー？このVツインの音は
里奈,ハロハロー☆ナツキチちょーハヤイじゃーん☆
夏樹,へぇー里奈のバイク初めて見たけどドラスタなのか
里奈,そうよー☆カッコいいしょー☆。そういうナツキチの単車ってそれなんだっけー？
夏樹,アタシのバイクか？これはKATANAっていうんだ
里奈,カタナー！聞いたことあるある！
拓海,オッス、早いな2人とも
夏樹,おっす拓海、相変わらず調子よさそうだなそのヨンフォア
里奈,おーたくみんの単車ってHONDAなんだー
拓海,美世がキチンと整備してくれるからな。里奈の単車はドラスタかよ、ちょっと予想外だな
里奈,そおー？
拓海,マジェとかマグザムとかそんなイメージだったわ
里奈,ビッスク便利そうでいいけどねー。やっぱアメリカンカッコいいじゃん？。ま、アタシちっちゃいから250なんだけどー
夏樹,クルーザーなら足つきいいし、大型でも行けるんじゃない？アタシも250だけど大型取ったら1100買うつもり
里奈,そうそう☆いつか大型取ったらハーレー乗りたい☆
拓海,アメリカンか、乗ったことねぇな
李衣菜,おはよー！
美世,皆おはようっ
拓海,オッス、おーそれに乗ってきたのか
美世,うん、あたしだけ車だけどそっちのほうが皆の荷物持てるしね
里奈,おおー！カッチョカワEー☆
夏樹,すげぇな、初めて見た
P,遅くなったな、ってヨタハチ！？マジで！！！？
夏樹,おーっす、Pさん。凄いよなー美世さんの車まさかのヨタハチだもん
李衣菜,そんなに凄い車なのー？
