みほ,最近悩みを持つ戦車道選手の前に不思議な妖精が現れるらしいです
優花里,西住殿、私もその噂聞いたことあります！
麻子,なんでも、軽快な音楽と共に歌いながら何処からともなく出没するそうだ
華,そういえば、最近沙織さんが何やら悩みがあるそうです
麻子,もしかしたら沙織の前に現れてるかもな
沙織,はぁ……。大学選抜にも勝ってインタビュー受けたりしたのに一向に彼氏ができない。私には魅力がないのかな……。なんだろ、この聞こえてくる軽快な音楽は？
？,♪おーんかうにゅなむぃすとなかるやらまーむた。♪う゛ぃえらかしゅぇむすたそいなったー。♪くんそいったやんそるみすたくるるぁっさー
？？？,♪さっきぃぇるう゛ぇんぽーるっか！
沙織,え！？何々！？この辺な生き物3人組は何！？。なんだろう、サイズは小さいけど何処となく継続高校の3人っぽい
ミカフキン,何かに似ているといった感想は本当に必要かい？
沙織,え？
ミカフキン,ありとあらゆる存在は生まれてきたその時から唯一無二だとは思わないかい？
沙織,ま、まぁ言われてみればそうだけど……
ミカフキン,しかし、人はよく知らない存在に対してはその他大勢として一括りにする。一個の存在としてではなくてね
沙織,身に覚えがある……
ミカフキン,それが悪い事とは言わないよ。人生の中でよく知ることの出来る人数は限られてる。特に男女の仲になれるような人間はね
沙織,確かに
ミカフキン,そんな数少ない人間に目を向けようとしないで異性なら誰でもいいから好かれたいって言うのは賛同できないな
沙織,……
ミカフキン,人生には運命の出会いというのが何度か訪れる。その時にその運命の糸をしっかり掴めるよう女を磨くといいんじゃないかな
沙織,分かったよ！貴方の言う通り狙った男をゲット出来るように努力する！
ミカフキン,貴女のその決意を信じよう
沙織,ところで、ここは私の部屋なんだけど何処から来たの？鍵かけてあったんだけど……
ミカフキン,風と一緒に流れてきたのさ。さぁ、アーミン、ミィコ！行くぞ！
ペコ,最近ダージリン様の格言頻度が上がって鬱陶しい。でも楽しそうに喋ってるし邪魔するのも可哀想。ダージリン様の事は嫌いじゃないし……
アーミン,♪せぽるっかたすめんねいたみえれぇんとぅおやせおうとあかいぷたりんたぁんるお
ミィコ,♪へいそぃったやはいたりそぉいだしゅおさっきぃぇるう゛ぇんぽーるっか
ペコ,！？
ミィコ,♪ぬぉーれんやう゛ぁんはんせたんっしぃう゛ぃえ
アーミン,♪えいしれぽるかれう゛ぇるたぁりぇ！
ミィコ,♪せんかっさおんう゛ぁいっかみえろんてぃ
継続一家,♪さっきぃぇるう゛ぇんぽーるっか！！
ペコ,な、なんですかこの妙な物体は！？……もしかして噂の妖精？
ミカフキン,噂というものは話のタネや娯楽のためのもので、何かを決定付ける時の判断材料にするものでは無いと思わないかい
ペコ,は？
ミカフキン,そして、得てして噂はあてにならない。実際に対峙してみないとその本質は掴めないんじゃ無いかな。それは人物評価も同じことだよ
ペコ,はぁ。それがわたしの悩みとなんの関係があるんですか？
ミカフキン,答えを得ることを急くのは賛同できないな。まぁ、答えてあげようじゃないか。自分がどう思ってるかを相手に伝える事も時には必要だということだよ。親しい間柄だからこそ、ね
ペコ,……
ミカフキン,思い切って自分がどう思っているのか伝えてみるといいんじゃないかな。貴女のことは好きだが格言についてはこう思うってね
ペコ,分かりました。頑張ってみます！
ミカフキン,頑張ればいいってもんじゃない。相手に誤解を与えないようどう話すかはじっくり考えるべきではないかな
ペコ,わかりました。私がダージリン様をどう持っているのか、格言についてはどうかキチンとどう話すかは考えてみようと思います
ミカフキン,それは良かった。オレンジペコさんの健闘を祈ります
ペコ,はい！
ミカフキン,私たちは帰るとしよう。さあ、行くぞ！
