島村卯月,響子ちゃん、今日は来てくれてありがとうございます♪
五十嵐響子,は、はい……正直ちょっと躊躇ったなんて言えません……
緒方智絵里,正直ちょっと躊躇ってもおかしくないかなと思ったけど……ありがとう♪
響子,ははは……バレてる……！
卯月,では早速、本題に入りますね
智絵里,はいっ
卯月,今日集まってもらったのはほかでもありません。ずばり！
響子,ずばり……？
卯月,9か月後に迫った美穂ちゃんのお誕生日について話し合うためにです！
響子,今から！？！？！？。ちょっと待ってください！！！
卯月,ここで響子ちゃんがタイムアウトを使用しました
智絵里,残り2回です
響子,そのシステム初耳ですけど！？
卯月,どうしたんですか？
響子,どうしたも何も、今から12月の予定を立てるんですか！？ふたりの方が先に誕生日を迎えますよね！？それ以前になぜ私は呼ばれたんですか！？
卯月,1回の発言につき質問は1つまでです
智絵里,タイムアウトの残り数が減ります
響子,そのシステムもせめて事前に教えてくれませんか！？
卯月,そのあたりはフィーリングです♪
響子,納得できません……
卯月,じゃあ早速……
響子,ま、待って！
智絵里,まだ何かあるのかな……？
響子,わ、わかりました。話し合いには参加しますし、内容についても理解しました。ですが……！
卯月,ですが？
智絵里,？
小日向美穂,どうしたの……？
響子,なんで美穂ちゃんいるんですか！？！？！？。流石におかしいですよ！！！
美穂,あっ、この髪型かな？このウィッグ、この前の撮影でもらったやつで
響子,そこじゃないです！！！かわいいですけど！！！
卯月,確かに、響子ちゃんの言うこともわかります。撮影を終えたばかりの美穂ちゃんにわざわざ来てもらったのは流石に
響子,そこでもないんですって！！！誕生日に向けた話し合いに本人がいるのがおかしいんですってば！！！
智絵里,響子ちゃん、公共の場だから静かにした方が……
響子,誰のせいですか！！！。そもそも美穂ちゃんは何て言われてここに来たんですか？
美穂,”私の誕生日について話し合う”って……
響子,状況に疑問を持ちましょうよ……聞いたことないですよ……
卯月,はいはい！時間もありませんし、始めましょう！この後私はちょっと首脳会談があるので
響子,ちょっと首脳会談
美穂,う、卯月ちゃんは日本の未来と私の誕生日、どっちが大事なの！？
響子,よく自分で天秤に乗せましたね
智絵里,この国に未来なんてないのでは……？
響子,智絵里さん
卯月,じゃあ美穂ちゃん、単刀直入に聞きます！
美穂,うんっ！
卯月,誕生日、いつですか？
響子,そこから？
美穂,な、なんだか恥ずかしいね……
響子,全く恥ずかしくないですよ。なんなら公式サイトで全国に公開されてますよ
智絵里,じゃあ、当ててみせますっ
響子,智絵里さんもわかってなかったんですか
卯月,1発で当てたらここの代金は美穂ちゃん持ちでいいですか？
美穂,12月16日です
卯月,ﾁｯ
智絵里,ﾁｯ
響子,帰っていいですか？
卯月,とまあ、冗談は置いておいて……
響子,冗談に聞こえませんでしたけど
卯月,まず、誕生日といったらプレゼントですよね！何が欲しいですか？
智絵里,わたしは気持ちがこもっていればどんな高い物でも嬉しいですが……
響子,普通”どんな安い物でも”って続くと思うんですけど……いえ、それ以前に美穂さんに聞いているんじゃ
卯月,私も、値段はあまりそこまでほとんど気にしないかもしれません多分恐らくきっと！
響子,説得力
美穂,へぇ～、そうなんだ～
響子,み、美穂さんは聞いてないで答えてください！
美穂,なんでもいいんですか？
卯月,はいっ！私が手に入るものなら何でも大丈夫です！
響子,本当に何でも持ってきそう……
美穂,じゃあ、みんなでどこかにお出かけしたいな……！
智絵里,美穂ちゃん……
卯月,美穂ちゃん……
響子,あっこれ多分私も巻き込まれてる
卯月,そうですよね！みんなで過ごす時間が大切です！
智絵里,どこに行きましょうか？
美穂,もうすぐ桜の季節だから、お花見とかどうかな？
響子,12月に行く話ですよね？
卯月,いいですね！近くに、桜の名所の公園があるんです！
響子,12月ですよね？咲いてないですよね？
智絵里,やっぱり人が多いかな……？朝から場所を取ったり……？
響子,いえ、お昼からでも大丈夫だと思います。12月ですもん。咲いてませんもん
卯月,じゃあ下見として来月に一回行きましょうか！
美穂,うんっ！
響子,これ何の話し合いですか？
卯月,では、誕生日に大切なものって、他には何だと思いますか？
智絵里,上納金……？
響子,発言する前に考えたりしません？
卯月,そうです、サプライズです！
響子,ほ、本人いるのに……！？
美穂,楽しみ～
響子,その心構えができてる時点でサプライズは半分失敗してますけど
卯月,サプライズと聞いたら、何が浮かびますか？響子ちゃん！
響子,えっ！？ええっと……みんな気付いてないふりをして、あるタイミングで一斉にクラッカーを鳴らす……とか？
卯月,採用！
響子,ええっ！？
卯月,じゃあ、みんな最初は美穂ちゃんの誕生日に気が付かないふりをするので、美穂ちゃんはみんなが気付いてないふりをしてることに気付いてないふりをしてくださいねっ！
響子,なにがなんだか
智絵里,わたしはその横で、美穂ちゃんがみんなが気付いてないふりをしてることに気付いてないふりをしてるこに気付いてないふりをするねっ
響子,なんでそんなライアーゲームみたいな様相を呈してきちゃうんですか？
智絵里,はいっ！わたし、やってみたいサプライズありますっ
卯月,次の機会にしましょうか
響子,聞いてあげましょうよ
卯月,止めても話し始めますし……
美穂,智絵里ちゃんはこう見えてちゃんと意志を持ってるもんね？
智絵里,わたし、アレやりたいなって思います！フラッシュデブ
響子,フラッシュモブですよね。太ってる人光らせてどうするんですか。目印にでもするんですか
美穂,わぁ……楽しそう……
響子,美穂ちゃん、参加しないですからね？祝われる側ですよ？
智絵里,わたしたちがお出かけしていると、いきなり周りの人たちがおもむろにハンバーグを焼き始めるんですっ
響子,怖っ！というかどうして私に演出を寄せるんですか！
卯月,タニターにタニタに♪
美穂,そんなタニタの社歌みたいな歌じゃないよっ！
響子,おそらくタニタさんの社歌もこんな感じではないですからね！？
智絵里,そんなフラッシュモブを見た美穂ちゃんは、思わずこう言うんです……えぇ……って
響子,ドン引きされてますけど！？
卯月,美穂ちゃん、今のサプライズ、どう思いますか！
美穂,うん、智絵里ちゃんの気持ちが伝わったよ……！0点！
響子,厳しっ
智絵里,予想通りです
響子,0点ってわかってプレゼンするのどうなんですか
卯月,そんなこんなで、みんなで夜ごはんを食べる時間になるんです
響子,私、もしかして1日中巻き込まれる感じなんですか？
卯月,そのディナーにもサプライズが！
響子,サプライズしてないと死んじゃうんですか？
