モバマスより白坂小梅や小日向美穂,たぬき
次回、,プロデューサーさん死す
小梅,わぁ……。今日のプロデューサーさん……いつもよりイケてる……ね。たぶん……
Ｐ,
美穂,うっうっ……ひっぐ……ぐしゅ……っ
周子,まさか、でしょ……
美嘉,嘘、嘘そんな、そんなことって……！
楓,…………
ちひろ,私が来た頃には、もう倒れていて……
芳乃,…………ふむー。おやー
小梅,みんな……見つけてきた、よ……
美穂,プロデューサーさん！！プロデューサーさんですか！？
美嘉,どこ！？どこにいるの小梅ちゃん！！
小梅,私の隣にいる……よ。二人とも落ち着けって、言ってる……
美穂,うぅうﾞ……プロﾞデューサーさぁﾞんﾞ……
美嘉,はぁぁ～～～っ……よ、良かったぁ……
周子,散歩感覚で幽体離脱する人初めて見たわあたし……
ちひろ,……あ、こっちはわずかですが脈があります！
楓,魂が抜けたことによる、一時的な仮死状態ですね。道理でお仮死いと思いました
小梅,――――って、言ってる……
美嘉,無茶しすぎでしょ……！
周子,ふぅ……ま、でもいい薬になったんちゃう？これからはあんま根詰めちゃあかんよー。人間が幽体離脱してるってのにフツーに進行してんのもアレやけど
美嘉,ほんとだよ……。体に戻ったらしばらく休みな？
美穂,それでその、プロデューサーさんはちゃんと戻れるんだよね……？
芳乃,ふむー。本人が望むのであれば、何の問題もなくー。そなたー、いかにー？。よろしいのですねー？それでは、いざー。ほっ。はいなー。そいやーっ
Ｐ,…………。はっ！？
美穂,プロデューサーさんっ！
周子,戻った！
Ｐ,はぁ……ふぅ……うっ……！？。うぐぐぐぐぐ……！？
美穂,ぷ、プロデューサーさん！？
Ｐ,ウボアー！！。
美嘉,プロデューサーーーーーーーーーっ！！？
周子,また抜けたの！？ウソやん！？
小梅,は、弾き飛ばされ、ちゃった……
楓,これは……なるほど。体さんの方のお話も聞かないといけませんね？
美嘉,か、体の話って……
芳乃,ふむー……少々お待ちくださいませー
体Ｐ,
芳乃,ほー
体Ｐ,
芳乃,それはー、なんとー
美穂,わ、わかるの、芳乃ちゃん……？
芳乃,意志なき体とて、自然の一部なればー。命の脈動に耳を傾ければ、多少はー。体のそなたは、働き過ぎでうんざりすると申しておりましてー。そもそもちゃんとベッドで寝たのいつ以来だとー……。食事も三食不規則だし、ひどい時はスタドリだけで済ますし……。どうして自分の体を大事にできないんだ。もうやってられんとのことでしてー
美穂,えと、プロデューサーさんは何て？
小梅,ちょっと、不便……だね。そうだ……プロデューサーさん。私の中に、入ってきていいよ……？。うん……憑依……
美嘉,そだね。一回プロデューサーとも話がしたいし
美穂,小梅ちゃんさえ良ければ、やってくれるかな……？
小梅,ん……い、いいよ……おいで……♡。あ……違う、もうちょっと上……。そう……うん、そこ……♡そのまま、ずぶぅっ、て……♡。あ、あ、あっ♡入ってくるぅぅ……っ♡
美穂,みっ美嘉ちゃんっ、どうして目隠しするの！？なんにも見えないよぉ！
美嘉,ご、ごめんなんとなく……///
周子,危うく犯罪沙汰やな
Ｐ小梅,はっ……！
美穂,小梅ちゃん……じゃない？
芳乃,成功したようでしてー
Ｐ小梅,肩凝りが……無い。疲れ目でも……ない。眠気も頭痛もほとんど無い……！
周子,どんだけギリギリだったの元の体
Ｐ小梅,それと…………
美穂,どうしたんですか？
Ｐ小梅,いや……な、何でもない。見えちゃダメっぽいものが普通に見える……
美穂の後ろにいる落ち武者,ｲｪｰｲ
周子,ともかく、話戻そっか
Ｐ小梅,そうだな。芳乃、どうすればいいだろうか
美穂,小梅ちゃんの声と体でこの口調なの、変な気分だなぁ……
芳乃,ふむー。ちゃんと健康を大事にすると体さんに納得させねばならぬかとー
楓,この場合……休み方を覚える、といったところかしら？
ちひろ,……仕事は溜まってるんですけどね？
美嘉,まあまあちひろさん、そう言ってる場合でもないっぽいし……
芳乃,しかしながらー、体さんも相当にうっぷんが溜まっておりましてー。ただの休みっぷりでは納得しないものかとー
Ｐ小梅,なら……？
芳乃,かくなるうえはー……。だらけ仙人殿に、教えを乞うほかないでしょー
美穂,だ、だらけ仙人？
周子,いかにもだらけのプロって感じの肩書きだけど……
芳乃,だらけ仙人殿は、名の通り怠惰の道を極めし者ゆえー。休憩、安息、脱力ー……全てにおいて達人の域にありましてー。かの者よりだらけ道を教わりしそなたなればー、体さんも納得することでしょー
Ｐ小梅,とはいえ、それで怠け癖がついちゃうと困るんだが……
周子,今が働きすぎなんだから、プラマイゼロで丁度いいんちゃう？
Ｐ小梅,そうかなぁ
美穂,小梅ちゃ……じゃなくてプロデューサーさん、他に手はありませんよっ
Ｐ小梅,……かもな。で芳乃、そのだらけ仙人とやらは一体どんな深山幽谷に……？
芳乃,ここから西へ三駅の住宅街でしてー
Ｐ小梅,近い！！
霊小梅,それじゃ……行こうか、プロデューサーさん……
Ｐ小梅,直接脳内に……！？。とにかくわかった。みんな、心配かけてすまない
周子,この体どうすんの？ほっぽっとくわけにもいかないでしょ
Ｐ小梅,うーん……仮眠室にでも放り込んでおいてくれるか？ちひろさん、いいですか？
ちひろ,はいはい、プロダクションへの説明と今できる雑務処理ですね。わかりましたよーだ。それと、向こう三日分の休暇申請を代わりに出しておきますから。どーぞご存分におくたばりなさってて下さいね
Ｐ小梅,すいません、ありがとうございます。えっと……それじゃ小梅に体を返すには……？
霊小梅,そのまま……内側から、ずびゅぅって搾り出るイメージで……
Ｐ小梅,こうか…………！
霊小梅,そうそう、そのままそのまま…………っ
小梅,あっ、やぁっ、出ちゃうっ♡出ちゃうよぉ……っ♡。ひぃうっっ♡♡
美穂,み、美嘉ちゃ～んっ！
美嘉,ごめん美穂、アンタにはまだ早いと思う……///
美穂,私美嘉ちゃんと同い年だよぉ！
美穂の後ろにいる落ち武者,ﾋｬｯﾊｰ
小梅,じゃあ……行ってくる……ね
美穂,気を付けてね……！
芳乃,仙人殿に、よろしくお伝えくださいませー
楓,これは、ちょっとした化けーションですねぇ。いってらっしゃ〜い♪
小梅,そう……だね……。ごめんなさい……不謹慎かもだけど、なんだか、ちょっとうれしくて……。幽霊のプロデューサーさんとお散歩……楽しいなぁ……んへへぇ……。♪。手、つなご……？私なら、触れる……から。えへへぇ……プロデューサーさんの手も、氷みたいに冷たい……♪。そうそう……この先で、あの子が待ってる、かも……。あ……いた。ふぇへへ……むきむきで、かっこいいね……。うん……たまたま、ある……。エジプト……！やつはエジプトにいる……！それもアスワン付近だと限定された……ね……！。あ。ごめん、間違えちゃった……。そのひと、あの子じゃ……ないよ……。少年ジャンプとビールのおつかいに行ってたみたい、だね……。プロデューサーさんの体が疲れてるから……いつかみたいに、代わりはできない……けど。休んでる体を、ちゃんと見守ってくれてる、よ……えへへ
あの子,……
