くるみ,まったく、ゆきのやつ。パンツぐらいちゃんとしまっておけよな。仕方ない、私が片付けてやるか。…………。これがゆきのパンツの匂いか……。さっき、着替えたばかりなのかも……。まだちょっと温かい……。ダ、ダメだ。何を考えてるんだよ、私は。これをかぶりたいなんて、そんな変態みたいな……！。で、でも、もう手が勝手に……。気分はエクスタシィィィ！！！
くるみ仮面,。フォオオオオオオ……服など着ていられるか！。何だ。この奥底からわいてくる溢れんばかりのパワーは……！。む！あれは、りーさんの悲鳴！。屋上か！待っていろ、すぐ助けに行く！。とうっ！
りーさん,あー、びっくりしたわ。もう……
？？？,どうした、りーさん？
りーさん,あ、ううん。ちょっとムカデがいて、それで驚いちゃって
？？？,そっか。なら安心だな。ああ、落としたシャベルはここにあるから
りーさん,あ、うん。どうもありがとう。あら、何かしらこれ？何かぷにぷにしてて生温かいけど……
くるみ仮面,それは私のあわびさんだ
りーさん,きゃあああああああああ！！。な、何なの！？何でパンツだけかぶって後は全裸なの！？誰！？
くるみ仮面,私の名前はスコップ仮面
りーさん,ひっ！
くるみ仮面,む、折角収穫したプチトマトが落ちてしまったぞ。だが、潰れてないから洗えばまだ平気だな。ん///。さあ、りーさん。食べるといい
りーさん,いやあああああ！！。来ないで！来ないでえ！
くるみ仮面,ダメだ、好き嫌いは許さない。食物を粗末にするなんて今の状況では万死に値する。どうしても食べられないというなら、私が食べさせてあげよう。
りーさん,ひいいいいい！！
くるみ仮面,さあ、思う存分味わうんだ
りーさん,ふわああああああ！！
くるみ仮面,あん！あん！///
りーさん,あ、あ、あ、あ……
くるみ仮面,成敗！。これでりーさんも好き嫌いがなくなったな。む！あれはみーくんの悲鳴！。今度は階段辺りか。すぐ助けに行くぞ！。とうっ！
りーさん,あわびが……。プチトマトが……
みーくん,あいたたたた……
？？？,どうした？みーくん
みーくん,あ、いえ、ちょっと階段踏み外しちゃいまして……
？？？,大丈夫？怪我はないか？
みーくん,ん……ちょっと足を挫いちゃったかもしれないです……
？？？,それなら私の手に掴まって
みーくん,はい。すみません……。ん？何だろ、手にしてはやけにぷにぷにしてるし、それに何かべとべとに濡れてるけど……
くるみ仮面,それは私のあわびさんだ
みーくん,ひあああああああああ！！。な、何ですか！何でパンツだけかぶって全裸なんですか！？誰なんです！？
くるみ仮面,私の名前はスコップ仮面
みーくん,ひっ！。っ！
くるみ仮面,む！その様子だと、部室に戻るのも難しそうだな。よし。私が連れていってやろう。さあ、私の股間に顔を埋めるんだ。引きずっていってあげるぞ
みーくん,助けてええええええ！！
くるみ仮面,どうした？遠慮はいらない。さあ、さあ！
みーくん,いや！いや！いやです！
くるみ仮面,仕方がない。それなら私の方から行こう。
みーくん,いやあああああ！！
くるみ仮面,さあ、部室に帰るぞ！
みーくん,ふぎゅううううう！！
くるみ仮面,あん！あん！///
みーくん,あ、あ、あ、あ……
くるみ仮面,成敗！。さて、足の手当ても終わったし、これでもう心配ないな。む！あれはゆきの悲鳴！。バリケード近くか！すぐ助けに行くぞ！。とうっ！
みーくん,あわびが……。ぬるぬるが……
ゆき,あー、もう！ダメだよ、太郎丸。逃げないで！
？？？,どうした、ゆき？さっきの悲鳴は？
ゆき,あ、ごみぃ。えっとね、太郎丸がいきなり走り出しちゃって、それで驚いちゃったもんだから
？？？,そっか。それで、太郎丸はつかまったのか？
ゆき,まだだよ。どこに行ったのか、わからなくてさあ。あーあ、ずいぶん太郎丸と追いかけっこしてたから、喉が乾いちゃった
？？？,それなら、これを舐めるといい。ジュースがたっぷりあるから
ゆき,本当！じゃ、いただきまーす
？？？,あん！///
ゆき,ってあれ、何かこのジュースしょっぱいよ。それにちょっと酸っぱいし、ぬるぬるしてるし……
くるみ仮面,それは私のラブジュースだ
ゆき,きゃあああああああ！！。な、なに！？何でパンツかぶって後は全裸なの！？誰！？
くるみ仮面,私の名前はスコップ仮面
ゆき,いやあ！。やだやだ、怖いよ！誰か助けてよ！
くるみ仮面,む。ゆき、そっち行っては駄目だ。そこから先は工事中だぞ。危ない
ゆき,助け……！助けて、めぐねぇ！
くるみ仮面,大変だ！バリケードを越えるな！危ない！。とうっ！。地獄のジェットトレイン！！
ゆき,ふぎゃあああああ！！
くるみ仮面,ゆき！大丈夫か！しっかりしろ！
ゆき,んぐぐぐぐぐぐ！！
くるみ仮面,あん！あん！///。しっかりするんだ、ゆき！さあ、水分を補給しろ！
ゆき,ふわわわわわわ！！
くるみ仮面,あん！あん！///。まだ水分が足りないのか！それならもっと！
ゆき,むぎゅぎゅぎゅぎゅ！！
くるみ仮面,あん！あん！///。ゆき！ゆき！ゆき！///
ゆき,んぐぐぐぐぐ！
くるみ仮面,くる！きちゃう！///。もう、ダメぇ！///。気分はエクスタシィィィ！！////
ゆき,んあああああっ！！///。あ、ん、あ、あ……///
くるみ仮面,成敗！！
ゆき,ん？何だろ、これ？。おお……。これはみーくんのパンツ……。みーくん、しまうの忘れたのかな？なら、私が片付けてあげよう。…………。これがみーくんのパンツの匂いかあ……。しかも、さっき着替えたばかりのかも……。まだちょっと温かいよ……。ダ、ダメだよ、わたし。何を考えてるの。これをかぶりたいなんて、そんな変態さんみたいな事……！。だ、だけど、もう手が勝手に……。気分はエクスタシィィィ！！！
