吉富敏,６６
テロップ,吉富敏６６
コンサートで上演される予定の音楽は、吉富の作った,交響曲第8番
大ホール。とある交響楽団により、吉富敏の,交響曲第8番
吉富,交響曲第9番……。私の作曲活動で、ここまでの産みの苦しみを味わったのは初めてだ……。それにしても、森は私の心を落ち着かせてくれる……
喪黒,こんにちは、吉富先生
吉富,あなたは一体……？
喪黒,私ですか？私は先生のファンなんですよ
吉富,東京文化会館でのコンサート……。JBCフィルによる演奏のですか？
喪黒,そうです。交響曲第8番の重厚深遠な世界観が反映されていて、実に見事でしたよ
吉富,交響曲第8番が最高傑作……。私にはそうは思えませんよ
喪黒,どうしてです？謙遜することはないでしょう
吉富,私の作曲家人生の最高傑作は、やはり来るべき交響曲第9番であるべきでしょう
喪黒,交響曲第9番ですか。交響曲第9番を作るのは、作曲家の夢と言っても過言ではありませんし……
吉富,そうですよ。ベートーベンも、ドヴォルザークも、シューベルトも交響曲第9番が最高傑作となったのですから
喪黒,ええ。マーラーの最高傑作である大地の歌は、彼の9番目の交響曲ですし……
吉富,その通りです。交響曲第9番とは作曲家にとって、最後の交響曲にして最高傑作という特別なものになるわけですから……
喪黒,先生が交響曲第9番を完成させたならば、歴史に残る最高傑作になるでしょうねぇ
吉富,まあ、そのことなんですけど……。今の私は、その交響曲第9番の作曲に取りかかったところなんですが……
喪黒,おそらく、音楽の作曲があまりはかどっていないのでしょう
吉富,はい。それどころか、構想すら頭に浮かんでこないのです
喪黒,そうですか……。私はファンの一人として、そんな先生のお力になりたいところですよ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
吉富,ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
吉富,聞いたことのないお仕事ですね……
喪黒,どちらかと言うと、ボランティアみたいなものですよ。いい店を知っていますから、そこでゆっくり話でもしましょうか
BAR,魔の巣
喪黒,吉富先生の音楽の世界観には、ある特徴があります。大自然や生命に対する畏敬の気持ち……
吉富,はい。私は森の中を散歩するのが日課ですから……。大自然への畏敬の気持ちは、そこで培われたのでしょう
喪黒,それと……。人間の苦悩や絶望感を描くものの、最後の方での一抹の希望を感じさせる終わり方……
吉富,ええ。私は若いころ、息子と妻を相次いで亡くしました
喪黒,それだけではありません。吉富先生の音楽活動は、一貫して古典回帰を目指したものでもありますよねぇ
吉富,はい。私は昔から、現代音楽というものに対して批判的でしたから……
喪黒,先生の音楽の世界観は、誰にも真似できるものではありません。哲学的なものさえ感じますよ
吉富,哲学的なもの……ですか。喪黒さん。あなたによる私の音楽の分析には、あるものが抜けていますよ
喪黒,ほう……。それは何ですか？
吉富,神に対する信仰ですよ。私の音楽の根底にあるのは、神への信仰心です
喪黒,おお、そうでした。吉富先生は敬虔なクリスチャンでしたなぁ
