二宮飛鳥,……余計な時間も戸惑うヒマも、もう残されてなんかいないのさ
荒木比奈,…
飛鳥,光と影がある。どんなセカイにも、きっとココロにだって
森久保乃々,んんー……なんだか数字が変なような気が…
飛鳥,いつだってそう。きっと彼らは、ボクを試しているんだね。光か闇……栄光か、それとも破滅か。今、ボクの未来の全てが賭かっている、そんな気さえするよ。決して終わることのないこの闘い……果たしてボクは、どちらに立つことになるのだろう……って
比奈,……夏休みの課題のことそんな大袈裟に言う子、初めて見たっス
飛鳥,手伝ってはくれないかい
比奈,嫌っスよ
乃々,うぅ、合わないぃ…
比奈,乃々ちゃん、それ多分こっちがｙだと思うっス
乃々,…あ、なるほど……こうやって代入すれば良いんですね……わかりくぼですけど…
比奈,もう少ししたら、キリの良いとこで休憩にしましょうか
乃々,はい…
飛鳥,…乃々とは大分扱いが違うんだね
比奈,頬杖ついて勉強サボってる子に教えることなんざねーっスよ
飛鳥,終わらなかったら比奈さんのせいかな、これは
比奈,１００％自業自得っス
飛鳥,そう…
比奈,相変わらずよく喋る子っスよ飛鳥ちゃんは
飛鳥,身体より、頭を動かすよう心がけてきたからね
比奈,その結果口の方が何倍も動いてるように感じるのは気のせいっスか
飛鳥,よしてくれ。照れるじゃないか
比奈,残念ながら全然褒めてないっス
乃々,むーりぃ……つかれました…
比奈,お疲れっス、乃々ちゃん
乃々,つかれくぼです…
比奈,進捗はどんなもんっスか
乃々,なんとか数学を終わらせることには成功したんですけど…
比奈,おおっ、随分早いっスね？
乃々,これしか手を付けていないので……他はまだ何も…
比奈,極端だなぁ
飛鳥,成程。吹き抜ける疾風の如く、槍のように一点突破。それがキミの戦術-ﾀｸﾃｨｸｽ-か…
比奈,やだその言い方カッコいい
乃々,苦手なところはさっさと潰してしまうのが後々楽かと思って…
比奈,けっこう怖いこと言うんスね乃々ちゃんは
飛鳥,フフ……嫌いじゃないよ、その考え方
乃々,飛鳥さんは、何の教科を進めているんでしょう？
飛鳥,ボクも今、数学に取り掛かっていたところさ
比奈,アタシの目には真っ白なノートしか映ってないっスけど
飛鳥,その通り。空白、空虚、純白……ああ、なんて美しい
比奈,ただの白紙ノートっス
乃々,ですね…
飛鳥,雪化粧のように白いこの１ページに濁りを入れるのが、ひどく罪深いことのように思えてしまって。つい手を止めてしまうんだ、困ったものだね…
比奈,物憂げに手を添えてるのも大変絵になってますけど。つまるところ手を付けたくないんスね
乃々,そうだったんですか……てっきり、難しすぎてお手上げの白旗状態なのかとばかり思ってたんですけど…
比奈,なんか棘がある
飛鳥,それは違うよ乃々。手が上がらないのではなく、そもそも動かないんだ
比奈,認めた！今認めたっスよこの子！？
飛鳥,…やれやれ。考えてもみてくれ、比奈さん
比奈,はい？
飛鳥,日頃アイドルとして、それなりにでも忙しい日々を送らせてもらっている、そんな中でだよ？。不意に訪れたオフ。学校も長期休暇に入り、灼熱が街を覆うこの昼下がり。こんな日は、冷房の効いた空間にて内に秘めた想いを解き放ち、創作活動にぶつける時間となるべきだとボクは思うんだ
比奈,…
飛鳥,だのに！世の中というものは、どうしてこうもボクらに制約を課したがるんだろうね！。いつもそうだ！学習指導要領なんて大層な名の元に、貴重な時間は無情にも奪われていく！理不尽な束縛なんて、ボクはまっぴら御免だというのに。ボクが求めていた時間は、自由は！こんな文字列と数字が並ぶ問題集と共に過ぎ去ってしまうものであって良いハズがない！比奈さんなら理解るだろう？！
比奈,…要約すると、宿題したくないってことじゃないっスか
飛鳥,イグザクトリィ
比奈,素直
飛鳥,しゅくだいしたくない
比奈,急にＩＱダダ下がりっスね。ほら、乃々ちゃん見習って少しは手を動かしたらどうっスか？こんなに黙々と宿題進めて…
乃々,うーん……羽根を描くのって、難しい…
飛鳥,スケッチブックを開いているようだね
比奈,あれー？
乃々,勉強飽きたんですけど…もりくぼ、絵本を描いていたいです…
比奈,飽きちゃったかー
飛鳥,フフ、歓迎するよ。キミなら理解ってくれると信じていた
比奈,さっきアタシにも同じこと言ってたような
乃々,もりくぼはただ、１教科終わったのでちょっとお休みしようかと思いまして…
飛鳥,…そう
乃々,思い付いたアイデアを下書きに残したら、今度は理科をやります…
比奈,あっちゅー間に１人に戻っちゃいましたね、革命軍
飛鳥,…そうだね
乃々,きゅうけいぃ…
比奈,休むついでに、ジュースでも飲むっスか？
乃々,良いんでしょうか……お邪魔させてもらってる上に、飲み物まで
比奈,だいじょーぶっス。いざという時のために、飲み物だけはいっぱい置いといてるんで。それに、脳が疲れた時は甘いものでも飲むに限るっスから。これ、経験談ね
乃々,で、ではお言葉に甘えて…。マロンホワイトショコラオレを１つ…
比奈,おーっとっと、ウチそういうオシャレなのは置いてないんスよ
乃々,がーん…
比奈,お言葉どころか、口の中まで甘々の甘じゃないっスか
乃々,この間買ってみたら、とっても甘くて美味しかったので…
比奈,そういう需要はコンビニで満たしてもらえると嬉しいっス
飛鳥,残念だったね乃々。では、ボクはコーヒーをお願いしようかな
比奈,飛鳥ちゃん多分これっぽっちも疲れてないでしょ……まぁ良いっスけど。はい、冷コー淹れてきたっスよ
乃々,あ、ありがとうございます…
比奈,インスタントだけど……って
飛鳥,…
比奈,なんだ、真面目にやってるじゃないっスか
飛鳥,ボクだって宿題くらいマジメにやるよ……気分の波が大きいだけで
比奈,あっはは、やる気になってくれたのなら結構なことっス。何のためにウチにきたのか分からんところだったっスから
飛鳥,そもそもボクは夜型の人間なんだ。この時間帯は、エンジンをかけるのも一苦労だよ
比奈,分かっちゃうのが悔しいところっスね…
乃々,冷たくっておいしいです……えへへ…
飛鳥,…ちなみに、手伝ってくれたりは
比奈,嫌っス
飛鳥,だろうね
比奈,もし本気で私に手伝わせるつもりで来てるんなら、今すぐ追い出すっスよ
飛鳥,……そんなつもりじゃないさ
比奈,分かってるっス
飛鳥,ジョークのつもりだったんだけどな…
比奈,ごめんごめん。まぁ、一応ね。宿題っちゅーのは１人でやるもんス。そこんとこ甘えちゃダメなのはアタシが一番知ってるっスから
飛鳥,……む
比奈,自分の分を誰かにやってもらえるならそりゃ楽で良いっスけど。そうもいかないのが現実の辛いところっスよね
乃々,おぉ……比奈さんのお口から、まともなお説教を聞ける日が来るとは…
比奈,どういう意味っスか
乃々,普段のだらしない比奈さんからは、想像できません…
比奈,そこは言い返せないなぁ…
乃々,比奈さんなら宿題の提出何回か間に合ってなさそうだなんて、これっぽっちも思っていませんけど……
比奈,今日の乃々ちゃんなんだかキレキレっスね
飛鳥,…
比奈,流石のアタシだって宿題くらいちゃんと提出してたっスよぉ
乃々,そうだったんですか…
比奈,終わるのはいっつもギリギリでしたけどね
飛鳥,瀬戸際じゃないか
比奈,いやぁ、懐かしいっス。夏休みの終わり際、急ピッチで宿題を進めてたあの日々を思い出すっスよ…
乃々,貯める派だったんですね…
飛鳥,…まぁ、どれだけ地道にやっていようと、最終日は苦労するものさ
比奈,休みあるあるっスよねぇ。最後の夜なんかは寝ないで取り掛かる、とか
飛鳥,耳が痛いな
比奈,飛鳥ちゃんは休み関係なしに夜更かししてるでしょう
乃々,もりくぼ、最後の日ぐらいはのんびり過ごしていたいです…
比奈,うんうん、それが一番っス。残り３日で全部でかすくらいなら最初の３日でやれよって話っスもんね
乃々,…
飛鳥,……
比奈,ん、あれ？どしたんスか
飛鳥,いや……最後まで何一つ手付かずというのは、流石に
比奈,ぬ？
乃々,恐ろしいことを言うんですね…
比奈,……。最終日の密度はアタシが一番だったみたいっスね。ふはは
飛鳥,威張れることなのだろうか
乃々,３日で全部とか、むーりぃ…
比奈,圧倒的じゃないっスか、我が軍は
飛鳥,背水の陣だけどね…
比奈,…だってやる気出なかったんだもん
飛鳥,理解ってくれると思っていたよ
比奈,そりゃどーも。人間、ある程度追い込まれないと頑張れないもんっス
乃々,自分を追い込みすぎなんですけど…
比奈,それに、こうして誰かと集まって宿題進める機会なんてのも全然無かったっスから。溜まっていくのも仕方ないっスね。１人でやる以外の選択肢がない以上、自分で責任持ってでかさないと
乃々,…
比奈,宿題とかノート見せてくれる友達いっぱい居る子が、あの時だけはちょっと羨ましかったっスよ
乃々,あっ
飛鳥,…
比奈,…？なにか
飛鳥,…その、
乃々,す、すみませんでした…
比奈,ちょちょっと待って、なんでこんな神妙な雰囲気に
乃々,比奈さんのお友だちがいなかった辛い事実を思い出させてしまって…
比奈,ひどい言い方だぁ
飛鳥,の、乃々。そんなにはっきり言ったら…
乃々,もりくぼ大反省ですけど…
比奈,ストップストップ、アタシに友達が１人もいないみたいな流れやめて
乃々,そうなんですか…？
比奈,友達いたっス
乃々,エア友達ではなく…？
比奈,ともちゃんいないから
乃々,良かったです…
比奈,今日の乃々ちゃんマジで辛口っスね
飛鳥,飲んでいるコーヒーはこんなに甘口なのにね
比奈,そんなにシロップ入れてるのも飛鳥ちゃんぐらいだと思いますけど。ちゃんといたっスよ友達。こんな感じに宿題一緒にやるような関係じゃなかっただけで
飛鳥,……そんなに深い仲ではなかった、ということかな
比奈,やー、仲は良かったと思いますよ？多分。何て言ったら良いかな……こうやってみんなで集まるのとかは、クラスヒエラルキー上位階層の人たちがずんどこわっしょいやってるような感じだったっていうか
飛鳥,…成程
乃々,確かに……お休みの度に集まってる方たち、いますよね…
比奈,そうそう。で、私らは私らで、別にわざわざ集まらんでも１人でなんとかやれてた人種の集まりだったんス
飛鳥,まぁ、集まってやらなければならない決まりも無いワケだしね。勉学ぐらい、独りでできるに越したことはないさ
比奈,同感っス
飛鳥,マジメにノートを取っていれば大した苦でもないだろうこんな紙束すら群がってやらないといけないなんて、難儀なものだね…
乃々,クラスの子たちと宿題…。うぅ……もりくぼ、黙々とノートを埋めるだけの機械になってしまいます…
比奈,その上、お決まりのようにマックやらサイゼやらで時間を過ごす訳でしょ？いやぁ、ちょっと理解し難い感覚でしたね
乃々,ひいぃ……帰らせてほしいんですけど…
飛鳥,安心するんだ乃々、此処にはポテトもミラノ風ドリアもないから
比奈,マックとサイゼに対する飛鳥ちゃんのイメージが何となく掴めたっス
