本田未央,うん……涙は見せないよ。泣くのはプロデューサーの元に帰ってきた時……嬉しい時にとっておくね
モバＰ,おぅ！……さぁ、旅立ちの時だ。胸張って肩で風切って
ヘレン,ヘーイ！！
モバＰ,んふんっ！
未央,……びっくりしたぁ
千川ちひろ,茶番を一瞬で吹き飛ばすヘレンさんの存在感、流石です
モバＰ,それもですが……ヘレンさん、ドアはもう少しゆっくりと開けて欲し
ヘレン,Ｐ！何を呆けているの？時は有限、グズグズしてたら世界のモードは起こせないわ！
モバＰ,あ、はい
未央,……世界のモード？
ヘレン,未央っ！
未央,ひゃ、ひゃいっ！
ヘレン,世界のモード、これが何を意味しているか分かる？答えてみなさい
未央,えぇぇ……ワールドワイドな
ヘレン,未央っ！何言ってるの、世界レベルよっ！つまり私！
未央,え……え？
ヘレン,世界レベルの私！そして同じく世界に通用する人材がこの事務所に集結してるわ！そうでしょう？
未央,そ、そうです……ね？
ヘレン,つまり、この事務所は今ひとつの世界レベルになってるの！
未央,な、何の話かもう……
ヘレン,未央っ！
未央,はいっ！
ヘレン,ワールドワイドな事でしょう！？
未央,……ﾝﾌﾌ。もうわかんない。助けて川島さん
ヘレン,自覚が足りないようね。いいわ！あなたもレッスンに来なさい！世界レベルの指導をしてあげるわっ！
未央,え！？ちょ、待って、私明日からツアーが……わわっ、引っ張らないでっ！んな～ぁぁぁ……
モバＰ,…………置いてかれた
川島瑞樹,さっき呼ばれた気がしたんだけど、どうしたの？
ちひろ,あ、お疲れさまです。ヘレンさんが未央ちゃんの理解の範疇をぶち抜いて、拉致っちゃったんです
瑞樹,……わからないわ。そうそう、Ｐ君。部長が話があるから会議室まで来てほしいって
モバＰ,え？今日のレッスンは付き添うって新人達に言ってたんだけど……仕方ないか
瑞樹,奏ちゃん達には私が付き添うわ。ここで待っていればいいの？
モバＰ,ええ。では、すいません。よろしくお願いします
瑞樹,私もアイドルデビューさせて貰えるって事だし、これも勉強のうちよ
モバＰ,そう言ってもらえると助かります。ホント、指導力のある瑞樹さんとヘレンさんのおかげで、かなり融通が利くようになりました。あざっす！
瑞樹,ふふ。プロデューサーに貸しを作っておくという意味もあるのよ？
モバＰ,そりゃ怖い。瑞樹さんがデビューしたあかつきには全力でプロデュースさせて頂きますので、何卒お手柔らかに
瑞樹,……当分はセルフプロデュースになりそうだけど
モバＰ,え？なんですか？
瑞樹,何でもないわ。それじゃあ、会議室までダッシュ！でも危ないから走っちゃダメよ
モバＰ,…………わからないわ
島村卯月,そんな時はスキップです！そう、フランダースの犬のオープニングの様にっ！
モバＰ,うぉ！居たのか。……フランダースの犬のオープニングってスキップしてたっけ？
卯月,してます！ほら、行きますよ！ららら～♪ららら～ん♪すぃんぐるしんぐぶれんふぃんぐす♪ららら～♪ららら～ん♪じんぐるふぃんぐすら～ら♪
モバＰ,卯月は行かんでも……あ、菜々さん。お疲れっす
安部菜々,……仕事から帰ってくるなり、アッパーなノリですね
ちひろ,菜々さんお疲れさまです。あれはフランダースの犬ごっこと思ってもらえれば
菜々,はぁ……フランダースの犬ですか。懐かしいですね
ちひろ,菜々さんが懐かしがるアニメを、卯月ちゃんよく知ってましたね
菜々,どういった意味ですかね～？ちひろさ～ん？
ちひろ,ん～？特に意味はないですよ？
菜々,……ちひろさんも、大概いい歳
ちひろ,ストーップ！菜々さん、私が悪かったです。ごめんなさい
瑞樹,……不毛ね
城ヶ崎美嘉,それじゃ、初めての全国ツアー！頑張ってくるね……って、聞いてる？プロデューサー！
モバＰ,…………え？あぁ、聞いてる聞いてる。うん……莉嘉は先輩がトイレに連れてったよ
美嘉,もう！
渋谷凛,……昨日から変だよ？どうしたの？なんかボーとしてるけど
前川みく,Ｐチャンは元々変だから判断に困るところだけど
モバＰ,おう、言ってくれるじゃねーか
みく,にゃにゃにゃっ！
神谷奈緒,最近仲いいな。ちょっとばかしイラーっとくるから、あんまイチャつくなよー？
みく,にゃふふ。Ｐチャンはみくの事が大好きだからにゃ～。すぐ構ってくるからみくも大変にゃ
モバＰ,そりゃあ涙目でもっと構って欲しいにゃって縋ってきたらな～。すぐいじけるからＰチャンも大変にゃ
みく,縋ってはないにゃっ！！
北条加蓮,構って欲しいとは言ったんだ……
凛,言ったんだ……
みく,にゃ！？目にハイライトがっ！そーゆーのは、まゆチャンの担当にゃ！！
佐久間まゆ,うふふ……
みく,あ、ごめんなさい
三船美優,も、もっと……構って欲しいにゃ
和久井留美,構って欲しいにゃ
モバＰ,………………………………え？あ、ごめんなさい。なんですか？
美優,ぁ、ぁぅ……
留美,ん゛ん！……何でもないわ
美嘉,……ねぇ、ホントに大丈夫？心ここに在らずっていうか。さっきから空元気じゃない？
まゆ,そうですよぉ。まゆは心配で心配で……
モバＰ,大丈夫大丈夫。ちょっと寝不足なだけだって
奈緒,Ｐさん、前にもこんな感じになってたような……
凛,働く事務所を勘違いしてた時じゃないかな……
加蓮,だよね……なんか、本当に心配だな……
モバＰ,……お、先輩と莉嘉来たな
城ヶ崎莉嘉,おっまたせ～☆Ｐくん、お見送りゴクロー！
モバＰ,おぉ。その様子だと、いきなりでかいステージでも大丈夫そうだな
莉嘉,もちろんっ！お姉ちゃんと一緒だしね☆ヨユーだよ！
美嘉,こらっ！調子乗らない
莉嘉,てへっ☆
先輩Ｐ,さて、これで全員か……ん？卯月と未央は？
モバＰ,先にバス乗ってます。昨日ヘレンさんにしごかれてグロッキーな未央を卯月が介抱してますよ
先輩Ｐ,そっか。それじゃ私達も行くか。お前も新人達のお披露目イベント頑張れよ
モバＰ,うす。みんな、体調には気を付けろよ！……元気でなっ！行ってらっしゃい！
アイドル達,行ってきます！！
モバＰ,……行ってらっしゃい。……ん、オッケー。これで明後日のデビューイベントは完璧だな
速水奏,ふぅ。どうかしら？これで、あなたの望んだアイドルになれそう？私なりにあなたの期待に応えたくて頑張ったつもりなんだけど
モバＰ,……うん。元々、奏には惹かれてたから。望むも何もないよ
奏,……あら、そう。ところでＰさん。人は想いを言葉にするとき、何かしら感情が表れるわ。上辺だけの言葉で飾った、偽りの仮面であろうとね
モバＰ,……あぁ、うん
奏,今のＰさんはただ反射で言葉を発しているだけ。おもちゃの人形と一緒。……ねぇ、ちゃんと私を見て。私の言葉に……想いに応えて
モバＰ,……うん、そうな
奏,……
モバＰ,……
奏,…………
モバＰ,…………
奏,キスしていい？
モバＰ,うん……
奏,ふふっ……ふふふ
輿水幸子,はいっ！ストーップっ！奏さん、ドサクサで何しようとしてるんですかっ
奏,あんっ。許可は得たのに……。Ｐさんは、私の言葉に……想いに応えてくれたじゃない
幸子,うるさいですよ！そのセリフの直前に、今のＰさんはただ反射で言葉を発しているだけって自分で言っといて！
奏,……やきもち？
幸子,は、はあ！？
宮本フレデリカ,大変だよプロデューサー！幸子ちゃんが嫉妬してるよ！幸子ちゃんにカワイイって言ったげてっ！
幸子,ちょっ！？
モバＰ,……ああ、カワイイカワイイ
フレデリカ,とは言いつつも、一番カワイイのは？……ﾌﾝﾌﾝﾌﾌｰﾝ♪ﾌﾝﾌﾌｰ♪
モバＰ,……フレデリカー
フレデリカ,流石プロデューサー分かってる☆
幸子,言わせただけでしょうがっ！ちょっとＰさんっ
姫川友紀,待って待って！幸子ちゃん待ってっ！！…………なんだかんだ言ってキャッツが？
モバＰ,……ナンバーワンだ
友紀,んふ～
幸子,訳わかんないですよっ！もう！Ｐさん、いい加減シャンとしてください！！
モバＰ,……え？おぉ、すまん。ちょっと考え事してた……あれ？芳乃は？
友紀,ん？どこだろう……あ、あそこでうつ伏せで転がってる
奏,すごくコミカルな光景ね……
依田芳乃,ばばさまがー、わたくしは共に行ってはならぬと申されー……
幸子,え！？もしかして明後日のイベントにですか！？
芳乃,違うのでしてー。その日は感謝と共に踊りませー。みなの幸せを祈りつつー
フレデリカ,そだねー。アタシなんか世界平和まで祈っちゃうからね！
芳乃,世界……そなたー、そなたー
友紀,ベースに届かなかったヘッドスライディングみたいになってる！すっごい涙目で両手を伸ばしてるよ、プロデューサー！
モバＰ,はは……仕方ないな。よっと……ほら、ちゃんと立って
芳乃,うぅ～、そなたー、そなたー
モバＰ,芳乃は知ってたか……そら、泣くな泣くな。ホントに幼女みたいだぞ
奏,……知ってた？
モバＰ,…………そう、よしのんは何でも知っている
フレデリカ,例えそれが、幸子ちゃんのおパンティーの色でさえも
幸子,何を馬鹿なことをっ
芳乃,知っているのでしてー、うぅ～……白でしてー
幸子,なぁ！？泣きながら何言ってるんですか！
友紀,ちっちゃいピンクのりぼん付きだよね！
モバＰ,漫画でよくあるパンツじゃん。あのりぼんってなんか意味あんの？
幸子,セクハラですよっ！友紀さんもなんでボクの……う゛ん！その……知ってるんですか！！
友紀,そりゃあ……ね？
フレデリカ,着替えの時、みんなでガン見したからだよね～。バレないようにガン見するゲーム♪
幸子,な、な、な……
奏,私はしてないわよ
幸子,うぅぅ、奏さんだけがまともな人ですよ～
奏,はいはい、よしよし
モバＰ,ふはは。それじゃ、明日は朝から前乗りするから今日は早く寝ろよ？特に友紀。ビールは禁止
友紀,あははっ
モバＰ,……なんの笑いだよ、おい
友紀,だいじょぶだいじょーぶ！プロデューサーは安心して京都に行ってきて。巴ちゃん達によろしく！
モバＰ,はいよ。夜にはそっちに行けると思うから。リハしっかりな
フレデリカ,オッケー☆任せといて！フレデリハ～♪なんて～♪
モバＰ,お、おう。楓イズムだな……まあ、奏。色々と頼むな
奏,ええ……。結局うやむやになっちゃったわね……それとも、うやむやにされたのかしら……
スタッフ,―――という事なので、別件になりますが、この後のポスター撮影も協力して頂けたらと
モバＰ,わかりました。これは誰でも？
スタッフ,依頼先も、急なお願いなんですべて任せるという事です。無理だったら無理で構わないとも
モバＰ,いえいえ。有難く受けさせてもらいます。取り敢えず、今はこの京都散策ロケ頑張りましょう
スタッフ,はい。それじゃあ宜しくお願いします
村上巴,どうじゃ、Ｐ！うちも撮影に慣れたもんじゃろ？我ながら上手く回せたと思うんよ
モバＰ,拓海、鈴帆、佐藤さん、楓さんのグループだもんな……。巴が居てくれて良かったよ……
巴,ほーじゃろーが。よいよ、疲れたわ
向井拓海,オイっ！アタシはまともだろーがっ！
モバＰ,お前と鈴帆、太秦でテンション振り切ってたじゃん。侍の格好で鈴帆怪獣と立ち回りだした時はどうしようかと思ったぞ
拓海,あれは、その……ウルセー！ばーかばーか！！
上田鈴帆,まあまあ。周りの子供達も喜んどったけん、よかよか
モバＰ,まあ、そうだな。勢いで佐藤さんにも切りかかったのは本気で面白かったし
佐藤心,それはあれか？はぁとが怪獣扱いされたからか？ぶん殴るぞ、おい☆
モバＰ,……髪おろして白無垢着た佐藤さん、綺麗だったなぁ
心,取って付けたようなフォロー♪よいしょー☆
モバＰ,おふんっ！かったい拳っ！！痣出来ちゃう！
高垣楓,え？じゃあ湯治？
モバＰ,行きません。あなた撮影ギリギリまで入ってたでしょ！
楓,ぶ～
モバＰ,はいはい、ほらロケバス来ましたよ。みんなの事よろしくお願いしますね
鈴帆,あれ？Ｐしゃんはホテルに帰らんと？
モバＰ,俺はこのまま新人達のイベント会場に行くから。ホテルに川島さんがいると思うから、ちゃんと言う事聞くんだぞ
巴,心配せんでも明日の応援には間に合うようにするわ。ほいじゃあ、Ｐも気をつけて行けぇの
モバＰ,あいよ。さて。俺もそろそろ……ん？
塩見周子,あれ？Ｐさんだっ！どしたのどしたの？なんでここに……ははーん。さては、シューコちゃんが恋しくなったなー♪
モバＰ,えっと……失礼ですがどちら様でしたっけ
周子,シューコちゃんゆーてるでしょ！そーゆーの、冗談でも結構傷つくのにー
モバＰ,ごめんごめん。好きな子に声かけられた時の照れ隠しだから
周子,ふふっ。いつまでたっても思春期なんだね！
モバＰ,そらそうよ。俺の思春期に終わりはないからな
周子,♪
モバＰ,………………………………えっと、周子さん？
周子,なにー？
モバＰ,一応言っとくけど、好きな子って言うのはあくまでも冗談で……
周子,わかってるわかってるって。思春期真っ只中なＰさん！
モバＰ,うん。分かってない
スタッフ,あの～……すいません、そろそろ撮影に入りたいと思います
モバＰ,へ？
スタッフ,あ、その子ですか？見かけない子ですが、新人さんです？
周子,ん？
モバＰ,あ……ああぁぁあああ！！そうだったぁ！！
スタッフ,！？
モバＰ,じ、時間っ！！よ、余裕はありますかっ！？今からでも呼び戻してっ！！
スタッフ,あ、あの。それが結構ギリギリで……え？この子がモデルじゃないんですか？
モバＰ,こいつは和菓子屋の穀潰しです！
周子,えー、ひどいなー。何をもってそんな事……んー、割と否定出来ないや
モバＰ,そこは否定しとこうな！じゃなくてっ！すいません！完全に俺のミスです！アイドル達帰してしまって……申し訳ございません！
スタッフ,あー……仕方ないです。元々こっちのミスでタレントを確保出来なかったのが原因なんですから。依頼先も後日でも構わないと言っているので、大丈夫ですよ
モバＰ,でも、一回引き受けてる以上は……
スタッフ,じゃあこの子を……なんて
周子,んー、いいよ？暇だし♪その変わり、色々手続きがめんどくさそうだから、Ｐさんのお手伝いって事でね
モバＰ,……マジで？
周子,マジマジ
スタッフ,冗談のつもりでしたが、この子ならポスターも映えると思うので、こちらとしても是非
モバＰ,……じゃあ、すまん！周子、よろしく頼むっ！
周子,オッケー。んじゃやっちゃいますかー。いやー、アイドルって色んな仕事があるんだねー。なかなか面白かったよー
モバＰ,ホント助かったよ。ありがとう、周子
周子,いいっていいって。ミスすることなんて誰にでもあることだしねー
モバＰ,そう言って貰えると救われるよ……。しかし、最近ボーとし過ぎて、細かいミスが多くてなぁ……いかんよ、これは
周子,どしたん？何かあったん？悩みなら、吐き出せば楽になっちゃうよ？
モバＰ,ほう……ぶちまけても受け止めてくれると？
周子,華麗に避けるけどねー
モバＰ,はは、じゃあ独り言。……俺、近々アメリカに行くことになったんだよ。プロデュース業の勉強にね
周子,そうなん？どのくらい？
モバＰ,一年くらい。状況によっては長くなるかも。どうなるかわからん
周子,そっかー。一年以上も勉強はめんどくさいよねー
モバＰ,……いや、そこじゃなくて。今プロデュースしてる子達と離ればなれになることにだな？
周子,あー、なるほどねー。でも今の時代連絡なんてすぐつくじゃん。それにアメリカなんて飛行機で半日だよ？寂しがる事なんて無い無い
モバＰ,！
周子,あ！しばらく、その子達をプロデュース出来なくなるって事もあるかー。むしろそっちが本題？
モバＰ,……うん、そうだな
周子,そっかー。それは悩ましいね
モバＰ,ごめん。そうじゃないんだ。いや、そうだと思い込んでた
周子,？
モバＰ,そこは、担当代えとかでプロデュース出来なくなる事もあるんだよ。この職に就いた以上割り切ってる事なんだ
周子,へー。じゃあ……
モバＰ,結局俺は寂しくなるのが嫌だったんだろうな～
周子,ふふ、かわいいね。いや、女々しい？
