俺,かばんさんは言ったそうなのだ。困難は駄作ＳＳは
かばん,えっ？ボクそんなこと言ってませんよ!？
杏,偵察先の学園から転校届けは出されているんだよね
桃,それに今回は秋山本人から電話での連絡もある
柚子,練習試合の日程に変更はありません
沙織,また情にほだされちゃったのかな？
華,そんなあきれかえった顔、優花里さんがお戻りになられた時泣かれてしまいます
麻子,昼食にいくぞ、どうでもいい事を考えるよりも食事優先
みほ,うん、そうしよっか
優花里,今回の偵察先は自然回帰を校風に掲げている学校でありますね。ややっ！？この学園艦はファミリーマートだけでサークルＫサンクスが無いであります！。しかも完全菜食主義でありますか、お肉が食べられないのはツラいですが偵察の間だけであります。ふむ、特に制服にも規定は無いでありますか。仕方ありません、ここはサバイバル道具一式を鞄に詰め込んで私服で向かうとしましょう。服装は・・・やはりサファリっぽい格好にしましょうか。上は赤いＴシャツ、ゆったり目の厚手のパンツ、革手袋、後は・・・。お母さーん、この虫食い穴の帽子貰ってもいーい？
辻,文科省の方針を伝えてあるにも関わらずこの学園が戦車道を未だ必修選択科目にしないのは何故でしょうか？
会長,科目としては存在するのです、履修希望者が揃わないだけなのです
辻,それは怠慢を認めると判断してもよろしいので？
会長,・・・
辻,１週間後に大洗女子学園との練習試合を組むように連盟に指示してあります。勝たねば廃校などとは言いませんが一定の評価を満たさねば万が一もあり得ます、無論試合放棄は廃艦候補のリスト入りを意味します。賢明な判断を期待します
副会長,会長、いかがいたしましょうか
会長,やっと招かれざる客が帰ってくれたのです、いつもどうりに呼んでほしいのです
ミミズク,はい、博士
コノハズク,参謀のかばんが転校し隊長のサーバル達もついて行ってしまった
ミミズク,どうしたものでしょう・・・ただでさえ隊員数が足りないというのに
コノハズク,考えるのです、我々は賢いのだから
ツチノコ,歴女。まあガッツリ落ち込んでてとても試合なんて無理だけどな
ミミズク,そもそも自称かりごっこ道家元というだけで戦車道ができるかどうか分かりませんが
ヒグマ,風紀委員
ミミズク,後にするのです、今はそれどころではないのですから
キンシコウ,いえ、それがですね
優花里,わーん！離すでありますー！！
コノハズク,！？
ミミズク,！？
ツチノコ,！？
ミミズク,かばん、なぜここに！？
優花里,かばん？人違いでありますー！
コノハズク,その荷物は？
優花里,？、鞄でありますが？
ツチノコ,やっぱりかばんじゃないか
優花里,
コノハズク,助手よ早くサーバルに知らせてやるのです
ヒグマ,それなら既にリカオンを向かわせた
サーバル,かばんちゃん！？。かばんちゃんかばんちゃんかばんちゃーん！！
優花里,苦しいでありますー！
サーバル,あ、ごめんねかばんちゃん
優花里,あの、さっきからのかばんって誰でありますか？
サーバル,え！？
コノハズク,かばん、まさか記憶が！？
サーバル,ウソだよね？冗談なんだよね？
優花里,いえ、ですから自分は秋ｙかばんさんが帰って来たってホントーなのだー？
フェネック,アライさーん待ってよぅ
トキ,わたぁーしはートーキー、かばんがーわたぁしーのー歌を―まあっていーるぅー
ジャガー,かばんが帰ってきたって？
カワウソ,わーい、うーれしー！
ミミズク,みんな静かにするのです
コノハズク,かばんはどうやら我々のことがわからないらしいのです
サーバル,かばんちゃん、本当にどうしたの？ゴコク分校で何かあったの？
優花里,自分は大洗から来たでありますー！
ビーバー,工業科生徒
プレーリードッグ,工業科生徒
ミミズク,大洗？
コノハズク,大洗とは・・・せんしゃどーの対戦校
サーバル,かばんちゃんまさか・・・私達のために１人で偵察に行ったの？
ヒグマ,前々から危なっかしい奴だったがそこまでするとは
アライグマ,でもそれでどうしてアライさん達のことを忘れてしまうのだ？
ツチノコ,あﾞ、あﾞあﾞあﾞあﾞ、まさかセルリアン・・・
コノハズク,なるほど、そういうことですか、全ては繋がったのです
オオカミ,博士、一人で納得してないで我々にも説明してくれないかな？
ツチノコ,ジャパリ学園にはセルリアンというバケモノの言い伝えがあってだな。そのバケモノは人を食べるんだよっ！
コノハズク,いや正確には人の心や思い出を食べるとあるのです
サーバル,そんな・・・心を食べられちゃったらどうなっちゃうの？
ミミズク,見てのとうり別人同然になってしまうのです
ヘラジカ,なら何故かばんはここに？
コノハズク,わずかに残った心が危機を伝えたかったのだろう。顔も名前も忘れても・・・サーバル、お前を助けたいが為に。大洗はセルリアンだと
優花里,なんでそうなるでありますかー！？てゆーかセルリアンってなんでありますかー！！
サーバル,ゴメンね、ゴメンね、かばんちゃん、私達の為に・・・。でももう大丈夫だよ、かばんちゃんはずっとここにいてくれればいいんだからね。大洗・・・ぜーったいに許さないんだから！！。みんな！かばんちゃんを守るために大洗と戦うよ！！
全員,おおーーーー！！
優花里,
ハシビロコウ,いや別人だよね？。ん？
優花里,わーーん！！
ハシビロコウ,わかっててごっこ遊びやってるんだ。・・・
桃,秋山は帰ってこないがジャパリ学園との練習試合は予定どうりに行う
杏,相手の戦力とか一切不明なんだよね、いやーやっぱり秋山ちゃんがいないと困るねぇ
柚子,連盟にジャパリ学園の戦績など問い合わせてみたんだけど私達との試合が初めてみたいなの
ねこにゃー,ジャパリ学園・・・ネイチャー主義、自然崇拝を校風にした学園。生徒達は動物コスをして互いをフレンズネームで呼び合うのが慣わしだったりするんだな
ももがー,なんでそんなに詳しいぞな？
ぴよたん,知り合いとかいるっちゃ？
ねこにゃー,中学の時の進路の第一志望だったんだけど。願書と案内を取り寄せたら校則で私物パソコンの持ち込み禁止だったんだな
ももがーぴよたん,あぁ
みほ,試合前の挨拶に来ました
優花里,西住殿ー、助けてくださーい！！
サーバル,あなたがセルリアンのボスね！かばんちゃんは渡さないんだから！！
みほ,セルリアン？かばんちゃん？・・・ホントに猫耳コスしてる。楽しそうだね優花里さん、まだ戦車道をやっているとは思わなかったよ
優花里,違うんです西住殿！今回は捕まっちゃったんですう！！
梓,新設チームでなら秋山先輩でも副隊長が務まるんですねぇ
優花里,
梓,西住隊長、この小芝居いるんですか？
みほ,これも戦車道よ
梓,
サーバル,大洗なんかかばんちゃんのカバン作戦でスッチャカメッチャカにやっつけちゃうんだから！！
みほ,ウサギさん、今回もお願いします
梓,わかりました
桂利奈,殺ったるぞ！！
あゆみ,やっと撃てる！！
あや,ぶっ殺せ―！！
優希,みんな桃ちゃん先輩みたーい
梓,ノリノリだし
みほ,パンツァー・フォー・・・ん？
大洗,わーーーーー！！？
審判＜大洗、Ⅲ号突撃砲、八九式、ルノーB1bis、ポルシェティーガー、ヘッツァー、三式、行動不能・・・,震え声
サーバル,車長兼砲手兼装填手
優花里,
アライグマ,操縦手
フェネック,通信手
優花里,その手に持ってるノートがそうでありますか？
サーバル,この作戦ノートは転校する前にかばんちゃんが残してくれたんだよ？。まだ思い出せない？
優花里,思い出すも何も自分は大洗かｒかばんさーん
