北条加蓮,う～……
？,加蓮、ボーっとしてどうしたんだい？
加蓮,あなたは…？
布団,おいおい、これから結婚する相手を忘れるなんてひどいじゃないか。布団だよ
加蓮,……は？布団？ていうかなんで私ウェディングドレス着てるの！？
布団,まだ寝ぼけてるみたいだね。いいさ俺のあったかい毛布で温めてやるよ
加蓮,ちょっ…やめ
？？,ちょっと待ったァ!!!
布団,君は……
使い捨てカイロ,やめてマフラー君っ！こんなことしても加蓮ちゃんは喜ばないよ！
マフラー,でも！俺たちにだって温めることくらいできるのに！
カイロ,私たちは夏に使うには暑すぎるの……だからダメなの
マフラー,でもっ！
カイロ,私はいいの。たとえ冬だけでも、加蓮ちゃんを温めることができるなら。私は幸せなの
マフラー,カイロ……
布団,話は済んだかい?じゃあ私たちは式場に行こう
加蓮,ちょっ、ちょっと待ってよ！あたし、あんたと結婚するなんて言ってない！
布団,・・・なんだって？この前あたしお布団と結婚する～って言ってたじゃないか！
加蓮,あれは……ちょっとした冗談というか、真に受けないで欲しいんだけど！
布団,そんな……君がそんな軽い女だったなんて
加蓮,いや、意味ワカんないし……
布団,こうなったら君を一生、布団から出れないようにしてやる！
加蓮,ちょ、ちょっとなにすんのよ！
布団,フハハハハ、所詮アイドルもヒトの子、わが布団の魔翌力からは逃れられないッ！
???,待てェ！！
加蓮,今度はなんなの！？
奈緒の髪,待たせたな、加蓮。さぁ一緒に行こう！
布団,に、逃がすか！加蓮を温められるのは…
奈緒の髪,いいや、加蓮のことを一年中いつでも温められるのは、この俺だ！。追手は撒けたようだな。これからはこのモフモフで、君を温めてやるからな
加蓮,いや、イヤだし……
奈緒の髪,どうしてだい？
加蓮,だって暑いし……。暑いし……。あつ……。………。あっっっっつい……。6月暑すぎでしょ……二人で毛布かけてたらそりゃ暑いよね
奈緒,そこだ～フルボッコちゃん
加蓮,……。てりゃっ
奈緒,………んがっ。なんで鼻をつまむんだよ！息できないだろっ
加蓮,ごめんごめん
奈緒,ったく……てか暑っい。毛布はもういらないかな
加蓮,そうだね～
奈緒,なんだその目は……別にアタシの髪のせいで暑いわけじゃないだろ
加蓮,そうですね～。奈緒～あたしも汗かいちゃったから一緒にシャワー浴びよー
奈緒,はぁ！？シャワーくらい一人で浴び……なんで暑いのにくっつくんだよ！そして髪をモフモフするな！
加蓮,え～いいじゃん
奈緒,よくない！
