ﾓﾊﾞP,以下P
紗南,.........
P,紗南？...おはよう
紗南,......。ﾋﾟｯ
P,紗南、おはよう
紗南,おはよう！
P,あ、よかった。別に問題はないか...どうした？ゲームごっこか？
紗南,ここはじむしょだよ！
P,紗南？
紗南,おはよう！ここはじむしょだよ！
P,え？何があったんだ？
紗南,おはよう！ここはじむしょだよ！
P,晶葉！どこにいるんだ晶葉！なにしやがったあきはぁ！
晶葉,...すまん
P,言い訳と謝罪は良い。...何をした？
晶葉,このスイッチを見てくれ
P,なにこれ
晶葉,助手はゲーム脳という言葉を知っているか？いまや完全に死語だが...
P,ああ、ゲームと現実の区別がつかなくなって暴力的になるとかいうやつだろ？...でもあれ眉唾じゃなかったか？
晶葉,厳密には少し違う。ゲームやPCを使っている人間は認知症老人と同じ脳になってしまうという理論だった
P,え、そうなの？
晶葉,しかし、言い出した学者の測定器は自作。そもそも提唱者は脳ではなく筋肉の研究科で、測定は不可能だと証明されている
P,...それは知らんかったなあ
晶葉,しかもそのとき実験に使ったゲームは家の有名なテトリスだ。暴力的な表現は一切ない
P,えぇ...
晶葉,一時期マスメディアが頑張ろうとはしていたが...結局は証明できなかった代物だ
P,実際ゲームだけで犯罪起こすようになったら今の時代犯罪まみれだからな
晶葉,犯罪者は全員水を飲んでいる...というほどではないが、まあそれでも実際どうなるかははっきりしていない...そこでだ
P,そこで？
晶葉,うちの事務所で一番ゲーム脳になりそうなのは誰だと思う？
P,...まあ、そういうふうに言い出したら...紗南になるんかなあ？
晶葉,そんなわけで紗南のゲーム脳を加速させるスイッチを作ってみたのだ！
P,何してくれてんのお前？
晶葉,だた...思ったよりおかしな方向に行ってしまったんだ...
P,何故かゲームのキャラクターになりきってるのか？
晶葉,わかるのか！？
P,どうみてもさっきの事務所の人Aだったもん...やべぇよやべぇよ...
晶葉,しかしおかしいんだ。これではまるでゲームキャラそのものじゃないか
P,確かに
晶葉,ちなみに紗南の予定は？
P,今日はレッスンだけだな...治る予定は？
晶葉,...何故か今紗南に対しての言語に漢字とアルファベットがなくなっているんだ
P,...初期のファミコンかな？
晶葉,インタビューの開始時間までにはなんとか...漢字をつかえるようにはしてみせる
P,駄目じゃねえか！
晶葉,いや、なんかおかしいんだよ...これ、紗南の脳内データなんだが
P,ふむ
晶葉,赤と青と黄色のウィルスが妨害してくるんだ...
P,うわあ、すっげえみたことある...
晶葉,どうすればいいんだ...おそらく一番上のゲージを上げれば良いんだと思うんだが
P,晶葉、菜々さんに連絡取れ、俺はこの...ドクターサナ？をクリアするから...コントローラーあるか？
晶葉,キーボードなら
P,右回転と左回転は...よし！いくぞ！
晶葉,2等身の紗南がカプセルをなげたらウィルスが消えていく...どういうことだ！？
P,多分これ...ファミコンのレトロゲームが元なんだよ。クリアするだけなら割と楽だしなんとかなるだろう
晶葉,そ、そうか...
P,晶葉はこういうのどうだ？
晶葉,うーん...興味はなくもないが...なんというかのんびりしているきがする
P,元ネタをやってる女の子は結構いた気がするからどうかなと思ったんだけどな...まあいいや、よしクリア
晶葉,しかし菜々でわかるのか？
P,...リメイクめっちゃあるからありすとかでも知ってるかも
晶葉,なるほど...。よし！これで少しは進んだぞ！
P,何ができるようになった？
晶葉,これを見ろ！
P,これは...ドット絵？...事務所だ、これは...もしかして紗南か？
晶葉,紗南を操作できるようになったぞ！
P,...そうか。もうつっこまないからコントローラーよこせ
晶葉,どうするんだ？
P,まず紗南をここに連れてくる
晶葉,そうだな
紗南,......
泰葉,あ、紗南ちゃんおはようございます
紗南,......おはよう
泰葉,お、おはよう
紗南,......
泰葉,さ、紗南ちゃん？だ、大丈夫ですか？
紗南,ﾋﾟｯ→とびら
泰葉,？？？？？？？？
晶葉,おい
P,便利ボタンなんてものは存在しないからな...このドット絵時代だと...
晶葉,...ん？階段前で立ち止まったな
P,......かいだんコマンドとか懐かしすぎるだろ...
