宮本フレデリカ,つーかーれーたー！
橘ありす,声が大きいですよ……
フレデリカ,だって疲れたんだもん！
速水奏,まあ、フレデリカはお昼から出ずっぱりだったものね
フレデリカ,ろーどーほーはどうなってるのカナカナ！？フランス人差別だー！なんて国だー！
ありす,その労働基準法のおかげで未成年の私たちはこの時間に帰れているんですから……
フレデリカ,……確かに！！！ニッポンバンザイ！
ありす,というか普通に元気じゃないですか
奏,でも、年の瀬まで求められるなんて、アイドル冥利に尽きると思わない？
フレデリカ,うんうん！奏ちゃんの言う通り！ありすちゃん、ワガママはダメだよ！
ありす,なっ……！文句を言ってたのはフレデリカさんでしょう！
フレデリカ,バレちゃった！さすがはありすちゃん～！天才！神の子！数の子！
ありす,さりげなくおせちの具材にしないでください！
奏,ふふっ、仲良しね。嫉妬してしまいそう。私、お邪魔かしら？
ありす,そ、そんなことないです！むしろフレデリカさんが邪魔ですよ
フレデリカ,ひどい！
奏,まあまあ、そんなこと言わないであげて？フレデリカったら、前半の仕事中ずっとこれが終わればありすちゃんとお仕事……！って言いながら頑張ってたんだから
フレデリカ,わお！奏ちゃんったら、そういうことは言わぬがハナだよ！……とはいえこれでありすちゃんもフレデリカさんが私との共演をそんなに楽しみにしてたなんて……！嬉しいです！フレデリカさん大好き！ってなっちゃうカモ！？ありフレた幸せルートへのドアはまだ開かれていたのだー！
ありす,zzz……
フレデリカ,なーんでーやねーん！
ありす,あ……す、すみません……
フレデリカ,フレちゃんあんなにしゃべったのに！そんなラノベの主人公みたいな！
ありす,主人公……？
奏,もう良い子は寝る時間ね
ありす,……眠く……ないです
フレデリカ,じゃあ、夢にフレちゃんが出て来る魔法をかけてあげよー！こっち見て！
ありす,別に……見たくは……
フレデリカ,いちフレ～にタカ～さんデリカ～！！！
奏,聞いたことない言葉ね？
フレデリカ,これで間違いなし！
奏,これだとふたり出るのかしら？楽しい夢になりそうね
ありす,悪夢ですよ……
フレデリカ,寝ながら突っ込まれちゃった……！？
ありす,zzz……
フレデリカ,こ、このまま寮までオモチカエリしても……！？
奏,馬鹿なこと言っていないで。そろそろありすちゃんの家に着くわよ。玄関までおんぶしてあげましょう
フレデリカ,タクシー降りてもタクシーフレデリカ！
奏,ふふっ、おやすみなさい
フレデリカ,よいお年を！
ありす,zzz……。あれ……へや……？。ふれれりかさん……かなでさん……？。ねむい……でも……としこし……おふろも……。だめ……べっど……。zzz……。……。……。……はっ！？。あ、あれ？ここは……？。わ、私……何をしていたんでしたっけ……？。思い出せない……あれ？。机の上に……ボタン……？。３つ……１。押せ……ということでしょうか……。……。と、とりあえず……１を……
フレデリカ,いちフレ！！！
ありす,わああああ！？。ふ、フレデリカさん！？いきなりドア開けて……！ビックリするじゃないですか！
フレデリカ,まあまあ！２番も押してみて！
ありす,フレデリカさん、このスイッチが何か知ってるんですか……？
フレデリカ,……
ありす,……
フレデリカ,……
ありす,えっ無視！？。よ、よくわかりませんが……２も押しましょうか……
鷹富士茄子,にタカ～
ありす,！？
茄子,タカじゃなくてカコですよ～？
ありす,自分で名乗ったのでは……？。ええと……２番は茄子さんを呼び出すボタンなんですか？
フレデリカ,……
茄子,……
ありす,さっきからなんで無視するんですか！？。わかりました……いえ、何もわかりませんが、３を押せという流れですよね……？。……えいっ
フレデリカ,さんデリカ～！！！
ありす,二人目！？！？！？
フレデリカA,なるほどなるほど！
フレデリカB,今回は
茄子,この３人なんですね～
ありす,い、いや、な、なんでフレデリカさんがふたり！？か、茄子さん！ほら！おかしいですよ！
茄子,カコじゃなくてタカですよ～
ありす,この人わりと面倒くさいですね！？
フレデリカA,まあまあ！
フレデリカB,落ち着いて落ち着いて！
フレデリカAB,ひっさつ☆フレちゃんエコー！
ありす,うるさい！！！！！。なんなんですかこれは！
フレデリカA,あらあら、不満のようだよフレちゃん？
フレデリカB,おやおや、不満のようだねフレちゃん？
ありす,鼓膜がいらないと思ったのは人生で初めてです
茄子,そんなこと言っちゃダメですよ～？
フレデリカA,しょうがない……ありすちゃんにはこれを授けよう……！
ありす,これは……またボタンですか……
フレデリカB,なんて書いてある？
ありす,ええと……リセット……？
茄子,さあ、ひと思いに押しちゃってください！
ありす,で、では……。！？。な、え……き、消えた……！？。ふ、フレデリカさん！？茄子さん！？。……。そして机の上のボタンが復活している……？。……。……またフレデリカさんが出てくるんでしょうか。……。……
佐久間まゆ,いちマユですよぉ
ありす,えっ。えっ、ま、まゆさん……？
まゆ,そうですよぉ？
ありす,えっ、と、とりあえず次……
森久保乃々,にノノ……ですけど……
まゆ,あら乃々ちゃん、こんにちは♪
乃々,ど、どうも……
ありす,と、いうことは……ランダム……？。え、えいっ
星輝子,さんショウコォ！！！
ありす,ひぃっ！？
まゆ,輝子ちゃん、ドアはゆっくり開けなきゃですよ？
輝子,あっ、ご、ごめんなさい……フヒ
ありす,ええと……結局、どういうことなんですか……？
まゆ,……
乃々,……
輝子,……
