透華,このSSは松実姉妹の平凡な日常を淡々と描くものですわ。過度な期待はしないでくださいまし！
カガヤイテ～ココイチバン～～♪,OP
菫,・・・
照,・・・はぁっ
菫,・・・
照,いったい、いつまでそうしてる気なの菫？
菫,・・・
照,いつまでっていうか、いつからやってるの？こんなこと
菫,・・・
照,後輩たちがこんな菫の姿見たら泣くよ？
菫,・・・
照,部活の時はこんななのに・・・。・・・なのに今の菫は
菫,・・・松実宥、早く私の前に姿を現せ
照,・・・とっても気持ち悪い
菫,ん？今何か言ったか照？
照,・・・ううん、何にも言ってない
菫,そうか、照が私の悪口を言った気がしたんだが・・・
照,悪口というより、事実を言っただけだけどね
菫,はぁー・・・宥・・・
照,・・・。ねえ菫
菫,何だ照、こんなに忙しい私に用事か？
照,菫は本当に、松実宥さんの事が好きなんだよね？
菫,・・・
照,！？。無言でめっちゃこっち見てる・・・
菫,照・・・実は私も薄々感づいていたんだ
照,なっ、なにを？
菫,このままじゃいけないって・・・
照,・・・あーそう、それは素晴らしいことだよ菫。菫は成長してる、それに気付けたのは大きな進歩。薄々って所が気になるけど・・・
菫,このままじゃいけないんだ・・・私は・・・。私は・・・私はもっと直に宥と触れ合いたい！
照,・・・あれ？
菫,そのためには今のままじゃいけないんだ！
照,・・・あのー、菫？
菫,ん？どうした照？
照,薄々感づいてたのって、ストーカー行為の事じゃないの？
菫,ストーカー行為？なにを言っているんだ？。私はただ遠くから宥を見つめていた、ただそれだけじゃないか
照,だからそれがストー菫そろそろ次のステップに進むべきだと思うんだ。あっ、私の話聞いてない
菫,さて、ここで問題だ照
照,・・・何？。心なしか笑顔まで気持ち悪く見えてくる・・・
菫,次のステップに進むために、私が取るべき行動は何だと思う？
照,それは・・・
菫,答えは聞き込みだ
照,私の答え聞くきないんじゃん。・・・聞き込みってどういうこと？
菫,ふっ、まだまだ甘いな照。恋愛とは駆け引きなんだよ
照,どの口が言うのか
菫,押しは強すぎずかといって弱すぎず、そしてたまには引くことも大事だ
照,えらそうなことを
菫,そういった恋愛の駆け引きをするためには、宥自身の情報が必要だ
照,あっそっか、菫は彼女のこと全然知らな菫というわけで、宥に身近な人間に宥の事を聞いてみようと思う。・・・変なところでマメというか、なんというか
菫,情報は武器だ、知っておいて損なことなどひとつもない
照,そこだけ聞いたら、とてつもなく物騒な感じがする
菫,ふっ、恋愛とは戦いなんだよ照
照,もういいよ、菫の好きにすれば
菫,・・・ってなわけで、宥と近しい人を探そうと思うんだが・・・
照,心当たりがあるの？
菫,宥は麻雀部だ、同じ麻雀部の部員ならなにかしら宥の情報は持っているだろう
照,同じ麻雀部かー・・・誰に聞くの？
菫,狙いは決めてある・・・彼女だ
灼,さて、帰って店番店番
照,彼女は・・・
菫,鷺森灼、阿知賀女子麻雀部の部長だ。彼女ならきっと私に有益な情報をくれるだろう、じゃあいくぞ
照,その行動力をもっと生かせばいいのに・・・
菫,君！ちょっと待ってくれ！
灼,えっ？私？
菫,そうだ君だ、少しお話させてもらえないだろうか？
灼,ええっと・・・あれ？あなたは白糸台の・・・
菫,知っていてくれたか、白糸台高校麻雀部部長、弘世菫だ
灼,えっ？なんで白糸台の部長さんが私に・・・
照,あの、ちょっとだけでいいんでつきあってあげてください
灼,！？。こっちはインハイ王者宮永照！？どういうことなのこれ！？
菫,きっ・・・君の麻雀部に松実宥という者がいるだろう？
灼,えっ？宥さん？
菫,じっ実は、彼女のことを知りたいんだ、彼女のこと少し教えてくれないかな？
灼,・・・何この人、さっきから妙に息づかい荒いんだけど
菫,何でもいいんだ、どんなささいなことでもいい、教えてくれ
灼,ひぃ
照,あっダメだこれ、完全に向こうが引いてる
灼,何この人、宥さんをどうするつもりなの？。さっさと帰りたいけど、ペラペラと宥さんの事を話すのも危なそうだし・・・
菫,さあ教えてくれ早く、彼女は何が好きで何を食べ休日は何をしていつもどんな事を考えてるんだ！？。教えてくれ！！
灼,ひいぃ。なんなののこの人！？意味が分かんない！言葉で上手く表現できないけど・・・なんというか
