こんな性格をしているから、,私に限っては芸能界も意外と現実的だ
私には,華々しい夢
着任当初は気鋭があって将来性のある役員だと思った。蓋を開けてみると,重役の息子、お坊ちゃん、コネ
先程のタイミングを修正しやや早めにスイングした。自分では早すぎたと思ったが、芯を捉えた打球は鋭く、ライナー性でセンター方向へ。右方向へ斜めに曲がっていった打球はそのまま,ホームラン
そうして辿り着いたバッティングセンター。貯金も底をついてきていよいよ地元に帰ろうと思っていた時だ,なんだか負けた気がして帰りたくもなかったのだけれど
そんな私をあの男は全て受け止めて、,アイドルにならないか
私、今日だけでも何回,ヤケ
うん、ごく普通のうどんね。コシもへったくれもない,ただの麺類
少しレトルト――というか、冷食のような感じは否めない。けれど、そばつゆか何かを出汁に使っているのか、まさに,そば屋さんのカツ丼
すかさずうどんを啜る。コロッケ、カツ、ビールという個性が強い組み合わせの中、唯一の無個性,失礼
何も聞こえなくて、ただ,誰かの為に
コロッケそばならまだ分かる――いつだったか、ワイドショーで立ち食いそばを特集していた。その中で,立ち食いそばマニア
なんでも、マニアにとってこのメニューは,ツウ
だから,コロッケそばになれ
しかし、彼が主張したのは,うどん
そこで、さっきの,ワイドショー
なんだかもったいないような気がするけれど、これも,楽しみ方
決して褒められた行為ではない。そんな、,ザ・底辺
残り僅かとなったコロッケ雑炊うどん,意味不明
私はここにいていいのか。そして、,コロッケうどんになれ
あの時は確かあいにくの雨だった――けれど、,雨の御苑もなかなか乙でしょ
上智大が所有する真田濠,さなだぼり
特に親しかったわけでもないが、何故か招待状が届き――その流れに流されて参列した結果、これでもかと幸せを,見せつけられた
皇居の外濠……。日中はランナーが絶え間なく行き交うこの場所も、今はただぼんやりとした街灯が滔々,とうとう
裏を返せば,これから流行る
いつか,これで正しかった
