地の四天王,以下、地王
地王,だが、お前は……そんな俺を救ってくれた！。お前が居なければ、とうに俺の命は尽きていただろう！。……ふっ。光の勇者よ！例え、敵同士であろうとも……。お前は……俺の――真の友だ！。友よ、本当に世話になった！
光の勇者,以下、勇者
勇者,だけどな？地の四天王。なんで……こんな朝っぱらから、そんな事を言うんだ？。……と、いうか――。――お前はどこに居んだよおおおおお！？。起きたら、お前の痕跡は綺麗サッパリなくなってるし！。大体、どっから思念波飛ばしてんだ！？酔い止め！？。地の四天王！まさかとは思うが……。――全部放り出して、逃げる気じゃねえだろうな！？。待て！待て待て待て待て！待て！！。お前、ふざっ……ふざけんなよ！？。計画にしても、まだお前の仕事が残ってんだろうが！。せめて、それを片付けてからにしろよ！。やる事をやってからだろ！？なあ、おい！！。ふっざけんじゃねえぞこらあああああ！？。お前は、真の友と言っておきながらそういう事するのか！？。状況が状況なら、感動する台詞だよ！。けどなぁ！この状況で言われても怒りしか湧かねえよ！。さっさと戻って来い！冗談じゃねえぞ！？。……こんのクズ野郎があああああ！！
地王,まあ、俺とてこの決断をするのは躊躇った。……だが！。俺は、気付いた！気付いちゃったのだ！。――あれ？。何がどう転んでも、俺が死ぬ状況になっているな？。……とな！
勇者,そもそも、お前が原因だろうが！。勇者に尻拭いを頼む四天王が何処に居る！？。っつーか、友とかいう発言はどうしたんだよ！。お前、友に対する仕打ちがこれか！？。聞けよお前はよおおおおお！？。……もうキレた。ああ、上等だよ！地の四天王！。お前の所業を洗いざらいぶちまけてやるよ！。そうすりゃ、魔王や四天王達がお前を追うだろうからな！。……どチクショウがあああああ！！
地王,それになぁ……嫌な予感がするのだ。こう、何と言うかな？。――今が、限界。――これ以上は、必ず誰かが不幸になる。……とな。まあ！その、誰か、の中に俺は確実に含まれているが！。――光の勇者よ！。お前は、この俺が見込んだ男！。どんな苦難にも負けず、未来を掴み取る！。――真の勇者だ！。それに……お前は、父親になるのだろう。へこたれている暇など……あるまい？
勇者,あああもう！何て言えば良いんだよ！？。聖女は魔王と仲良くなってて……。剣の乙女も、火の四天王と……。それに！他の四天王にも何て言えば！。まるっきり俺任せじゃねえかあああああ！！
地王,ふはは！ならば、今一度言おう！。光の勇者よ、助けてくれ！。……と、言うわけで俺はもう船に乗り込む。なので、別れの挨拶はこれで終わりなのだ。――船に乗り遅れる訳にはいかんからな！。そして！。――もし出港が遅れでもしたら、気まずいのでな！。まあ、なんだ。――待っていてくれ、必ず戻る。……とか言っておけば大丈夫なのだ！多分！。それでは――光の勇者よ、さらばだ！。また、相まみえる日を楽しみにしているぞ！。はい、終了……と。……さて。船室に行き、たらふく酒を飲んでくれるわ！。はっはっはっ！はぁ―――っはっはっはっ！！
勇者,おい！ちょっ……おい、マジでか！？。……。マジでかぁ……！？。……。本当に……俺がやるしかねえのか……！？。アイツの……超弩級の尻拭いを……！？。……。こんな事になるなら……！。最初から、奴を倒しておくんだった……！
地王,……う……むむ。……ふわぁぁあ……む。……。あー……たらふく飲んで、寝てしまったのだ。……む？。船室で飲んでいた筈なのだが……。……むうう？。俺は、どうして砂浜で寝ているのだ？
