莉嘉,みんなでお花見楽し～！桜、チョー綺麗だね☆
楓,ええ。それに、こういうイベントで食べるおべんとはまた格別ですね……フフッ
芳乃,……
楓,凛ちゃん、知ってますか？
凛,何を？
楓,血流が悪いと悩んでる人って居ますけど、お酒を飲むとそれだけで、結構血行が良くなるんですよ
凛,それを言うためだけに、また事務所でお酒飲んでたんだ……プロデューサーに怒られるよ？
芳乃,……
美優,楓さん、これ、この間山歩きのロケをした時に採ってきたんですけど、良かったらどうですか？
楓,まあ、ふきのとうに、タラの芽に、わらびまで……。どれも立派な山菜ですね。ありがとうございます、美優さん
美優,いえ、私も一人では食べきれない量でしたし
楓,フフッ。大人が食べてもさんさいとは、これいかに……なーんて♪
美優,えっ？
楓,あ、ええと、何でもないです……
芳乃,……！。楓殿ー
楓,あら、どうしました？芳乃ちゃん
芳乃,大人が食べても"山菜３才
楓,……！これいかに？
芳乃,３才児でも"小児小２
楓,……
芳乃,……
乃々,楓さんと芳乃さんの話し声が聞こえると思って、机の下から覗いてみたら、お二方ががっちり手を繋いでたんですけど……何なんでしょう、この光景……
仁奈,飛鳥おねーさん、飛鳥おねーさん！
飛鳥,おや、何だい？仁奈
仁奈,パンはパンでも食べられないパンは何でごぜーますか？
飛鳥,フフッ。ずいぶんと懐かしいなぞなぞだね
仁奈,知ってやがりますか？
飛鳥,ああ。答えまで含めて、ね。フライパンだろう？
仁奈,ぴんぽーん！正解でごぜーます！簡単すぎでごぜーましたかね？
飛鳥,さてね。たしかに有名な問題ではあると思うけど、ボクがたまたま知っていただけかもしれないし……おや、あそこに楓さんと芳乃さんがいるよ。彼女たちにも問題を出してみればどうだい？
仁奈,あ、ほんとーだ！仁奈、行ってきやがります！。楓おねーさん！芳乃おねーさん！
楓,あらあら、仁奈ちゃん、こんにちは
芳乃,わたくしたちに、何か用でしてー？
仁奈,はい！突然だけど、なぞなぞですよ！パンはパンでも食べられないパンは何でごぜーますか？
楓,鉄板
芳乃,審判
楓,プロパン
芳乃,活版もでしてー
仁奈・聞き耳立ててた飛鳥,！？
楓,……では、ベタですがジーパンで
芳乃,らいぶでの、物販も当てはまりましてー
楓,サイパン
芳乃,かんぱんでしてー
楓,あら、乾パンなら食べられますよね？
芳乃,その乾パンではなくー、船の甲板の事なのでー
楓,……アルセーヌ・ルパン！
芳乃,ふれでりっく・しょぱん殿でしてー♪
仁奈,何だかよく分からねーですが、二人ともすげーです！
飛鳥,ずいぶんと白熱した戦いを見せてくれるじゃないか、二人とも……。だけどそれ、子供の前でやることかな！？
こずえ,……。……。かえでー……
楓,あら、こずえちゃん。どうかしたの？
こずえ,てれびみてたら、わからないことばがあったからー……おしえてー
楓,ふふ、いいですよ。どんな言葉かしら？
こずえ,えーっと……ずんどこべろんちょっていうのと……らっすんごれらいって、いうの……
楓,ズンドコベロンチョに、ラッスンゴレライ……
こずえ,しってるー……？
楓,それは、いわゆるハナモゲラに分類される言葉ですね
こずえ,はなもげらー……？それ、なにー……？
楓,そうですね。一言で説明するのも、なかなか難しいんですけど
芳乃,ふむー。はなもげらの創始者の一人は、こう解説しておりまして―
楓,あら、芳乃ちゃん。解説なんて私も聞いたことがないんですけど、どんなものなんですか？
芳乃,それによればー、モケサのこの状況を、ハラメヨジレマイオして考えれば、すでにケセラの方向性が、ハナモゲラの自然発生を、アカザネめいているところに、現代社会のヘケメロしたモロヘテをケサマラしているといえようとのことでしてー
こずえ,……？
楓,フフッ……なるほど。つまり、モロにセケメケときたら、ハカマカになるということですね？
芳乃,まことにその通りでしてー
こずえ,ふわぁ……こずえには、よくわかんないのー……
楓,それで正解です♪芳乃ちゃんの言っていることも、私の言っていることも、意味なんて何もないんですから
こずえ,ええー……？じゃあ、さっきのかいせつはー……？
芳乃,単なるぎゃぐなのでして―
こずえ,ええー……
楓,ハナモゲラは、無意味な言葉の中にそれっぽさを見出したり、音の響きを楽しんだりする言葉遊びなんですよ。でたらめなのが楽しい言葉遊びですから、意味なんて何もないんです
こずえ,じゃあー……こずえがわからなかったの、あたりまえー……？
芳乃,むしろ、意味が分かったら教えてほしいくらいなのでしてー
こずえ,そうなんだー……わかったー……かえでー、よしのー、ありがとー……
楓,……みじかびのきゃぶりきとればすぎちょびれ
芳乃,すぎかきすらのはっぱふみふみ……有名なはなもげらですが、それがどうかしましてー？
楓,いえ、さっきのこずえちゃんと同じで、私も前からどういう意味なんだろうと気になってた言葉だったので。きっと意味なんてないんでしょうけど、それが分かっていても、ついついこういう言葉に惹かれちゃうのは何故でしょうか
芳乃,……ずんどこべろんちょの放送された翌日、てれび局にはおよそ６５０件もの問い合わせがあったそうでしてー
楓,！
芳乃,つまるところ、分からないものを知りたいと思うのは、人の性なのでしてー。楓殿の場合でも、それは例外ではないかとー
楓,芳乃ちゃん……
文香,呼びましたか……？
楓・芳乃,……
文香,お呼びでない……？お呼びでないですね……こりゃまた、失礼いたしました……
