桃井あずき,ふっふっふ……やっと来るよ、あの日が……
あずき,みんなはちゃんと覚えててくれてるかな？。おっはよっ！
佐城雪美,……あずき……おはよ……
あずき,あれっ？雪美ちゃんしかいないの？
雪美,……うん……P…は…お仕事……
あずき,そっか、じゃあ仕方ないね……
雪美,…………
あずき,…………
雪美,……すわら……ないの……？
あずき,あっ、そ、そうだね！あずきもゆっくりしとこうかなっ！
雪美,……あずき…今日は……早い……
あずき,えへへっ、今日はちょっとね！
雪美,…………
あずき,雪美ちゃんはちゃんと覚えててくれてるかな……？。ねえねえっ、雪美ちゃん！
雪美,……なに……？
あずき,明日って何があるか知ってるかな？
雪美,……明日……？
あずき,そうそう、一年に一回のあの日だよっ！
雪美,……知ってる……
あずき,雪美ちゃん……ちゃんと覚えててくれたんだねっ！
雪美,……七夕……私……おねがい…かく……
あずき,…………
雪美,……どう……したの……？
あずき,そ、そうだよねっ！七夕だよねっ！
雪美,……うん……あずき…も……おねがい…書くの……？
あずき,うーん、あずきも何か考えないとね……名付けてお願い大作戦！
雪美,……短冊……あるから………
あずき,……みんなにはちゃんと言ってなかったし、普通はそうなるよね……。でもあずきから言うのも何か変だし……。うーん、どうしたらいいのー……
雪美,……悩んでる……？
望月聖,おはよう……ございます
あずき,聖ちゃん！
雪美,……聖……おはよう……
聖,今日は……２人だけ…なんですか？
雪美,……うん……お話…してた……
聖,じゃあ……私も…混ぜて…もらって良いですか？
あずき,えへへっ、聖ちゃんもゆっくりお話ししよっ！
雪美,……聖……今日…お休み……だった……
聖,はい……今日と明日は…オフ……貰ってますから
あずき,今日と明日はお休み……つまり事務所に来た目的って……。ひ、聖ちゃん！？
聖,えっ……どうしたん…ですか？
あずき,もしかして……、今日ここに来た目的って……？
聖,目的……？
あずき,う、うん！何か用事があってきたんだよねっ！？
雪美,……そう…なの……？
聖,え、えっと……
雪美,……聖……
聖,そ、そうですね……明日のために……みなさんとお願い事を…書こうかなって
あずき,！？
雪美,……あずき……どう…したの……？
聖,大丈夫ですか……あずきさん？
あずき,んぐっ……だ、大丈夫……そうだよね、七夕だもんね……
聖,なにか……あったんですか？
あずき,な、な、なんでもないよっ！そうだよ、早くお願い書こうっ！！。聖ちゃんと雪美ちゃんは知ってなくても仕方ないのかな……
聖,は、はい……
雪美,……聖の……短冊……
聖,ありがとう……ございます
あずき,そう言えば、２人はどんなお願いごとにするの？
雪美,……私……これ……
あずき,……なんとも雪美ちゃんらしいね
聖,書けました……
あずき,あっ、聖ちゃんのお願いはどんなのなのかな？
聖,はずかしいですけど……これです。あの……変じゃないですか？
雪美,……良いと…思う……
あずき,えへへっ！聖ちゃんもとっても素敵なお願いだと思うよっ！
雪美,……あずきは……なに…書いたの……？
あずき,えっ？そうだなぁ、あずきはどうしようかなぁ……
聖,思いつかない……ですか？
あずき,あずき的にはアレもしたいし、コレもしたいしね……。あっ、そう言えばこの短冊を飾る笹は？
聖,Pさんが……用意しとくって聞きました
雪美,……うん……
あずき,そっか、じゃあそこは心配なさそうだねっ！
雪美,……あずきも……おねがい……書いとく……
あずき,うん、ちゃんと作戦は考えてあるから大丈夫だよ！
聖,作戦……ですか
あずき,雪美ちゃんと聖ちゃんは覚えて無かったから……。でも、誰か一人でも覚えていれば大丈夫だよね……
小早川紗枝,……ふぅ
浜口あやめ,さすが紗枝殿ですね、流れるような見事な舞です！
紗枝,ふふっ、おおきに。でもうちももっと練習せんといけまへんなぁ
あやめ,ふむ、紗枝殿は誠に努力家ですね。わたくしも負けてられません！
あずき,はぁはぁ……やっとみつけた！
紗枝,あ、あずきはん？
あやめ,あずき殿、ど、どうなされたのですか？そんなに息を切らせて……
紗枝,えっ？
あずき,さ、紗枝ちゃん！あやめちゃん！明日は何の日だと思うっ！？
あやめ,そ、そのような剣幕で言われるとなると何か特別な日なのでしょうか……？
紗枝,明日やと七夕やないですやろか？
あやめ,そうですね、わたくしも七夕の事と思っております。そう言えば雪美殿が後で短冊を書いて欲しいと言っておりましたが、あずき殿はもう行かれたのですか？
紗枝,うちらも後で書きに行こうと思うてたんどす
あずき,…………
紗枝,ど、どないしたんですやろ？
あずき,そ、そうだよねっ！七夕だよね！？
あやめ,えぇ、それがなにか……？
あずき,なんでもないよっ！紗枝ちゃんとあやめちゃんはどんなお願いするのかな？
紗枝,うちはそうどすなぁ……こうやってみんなとお仕事を続けていけますようにってお願いしようかなぁと思うてます
あやめ,わたくしはより技に磨きがかかるようにとお願いしますよ！
あずき,へぇー、２人ともちゃんと考えてるんだね……
あやめ,あずき殿はどうなされるのですか？
あずき,あ、あずきはまだまだ考え中だよ！そう、七夕大作戦！！
紗枝,ふふっ、時間はいっぱいあるさかい
あずき,た、七夕よりもっと気になる事があってそれどころじゃないんだけどなぁ……
