ガブ,そうか？私はいつも通りだけどな
ヴィーネ,変わったわよ。だって……
ガヴ,おっと。今日は新作の料理を試食できる日だったな。じゃあまたなヴィーネ！
ヴィーネ,あっ、うん、また明日……。最近、ガヴに新しい人間関係ができた。
PC部モブA,天真さん！私達の作ったゲームやってみてくれない！？意見を聞かせて欲しいの
ガヴ,フッ、プロゲーマーの私の採点は厳しいぞ？
ヴィーネ,あんたはただのネトゲ廃人でしょ……
美術部モブB,天真さん！美術のモデルになってくれないかな！？
ガヴ,あー、同じポーズのままはしんどいからパス。それはサターニャにでも頼んでくれ
モブB,胡桃沢さんは描きたがる方だから
ガヴ,あー……
サターニャ,私の事を呼んだかしら？って、その微妙な顔はなによ
ガヴ,いや、お前の絵が微妙って話をさ
サターニャ,なっ、なんですってー！？
美術部モブB,あはは
ヴィーネ,そして仲良くなった調理部の人達の友達からも繋がりが生まれ、ガヴの交友関係は広がっていく……。……。ふぅ……今日は沢山宿題が出たわね。ガヴの事だから宿題写させてって言いそうね。でも、今回はちょっと位は見せてあげるべきかな。後は一緒に勉強して……。ねぇガヴ……
ガヴ,おう
ヴィーネ,えっ、ちょ、ちょっとガヴ！
ガヴ,ん、どうしたヴィーネ？
ヴィーネ,いや……あんた大丈夫なの？今日、沢山宿題出されたでしょ？
ガヴ,ああ、今日は試食部の皆とやる事になってるんだ
ヴィーネ,えっ……
ガヴ,田中上野が料理担当で委員長が勉強担当。最強の布陣だ
委員長,天真さんも見てるだけじゃなくて参加するのよ！？
ガヴ,じゃ、そゆことだから。またなヴィーネ
ヴィーネ,…………。……だから何でｽﾞｷｯってなるのよ。ガヴが更生していくのは良い事じゃない。良い事のはずなのに胸が痛む時が増えていってる……どうして
ラフィ,ヴィーネさん、大丈夫ですか？顔色が何だか悪いような……
ヴィーネ,えっ！？ああ、ごめん！ちょっとボーッとしてただけだから！
ラフィ,それなら良いのですが。ゲームセンターの中は音が凄いですし、熱気もありますからね
ヴィーネ,ラフィは良いの？さっきからガヴとサターニャの対戦を見てるだけだけど
ラフィ,はい。サターニャさんの負けっぷりを観戦するのが私にとっての神ゲ……ああ、いえ。サターニャさんの勇猛果敢なプレイを見守る事こそが弟子の私の務めですから～
ヴィーネ,……ラフィはブレないわね
ラフィ,ヴィーネさん、表にあったUFOキャッチャー、一緒にやりませんか？可愛いぬいぐるみがあったんですよ
ヴィーネ,あっ、うんしまった。ラフィに気を遣わせちゃったかも……
サターニャ,ふ、ふん！今日はこの辺で勘弁してあげるわ！
ガヴ,いや、お前、全敗だったじゃん。負けた奴は、勝った奴の分まで払うって約束だけど、この後のご飯代残ってるのか？
サターニャ,うっ！あっ、当たり前でしょ！今日は私の調子がたまたま悪くて運が良かったわね！
ガヴ,あの約束、もう何戦したか覚えてないからチャラでいいぞ
サターニャ,えっ！？ほ、ほんとに？
ガヴ,その代わり今度の昼はお前のおごりな
サターニャ,わ、忘れたなら仕方ないわね！いいわよ！好きな物頼みなさい！
ガヴ,何でお前が偉そうなんだよ
ラフィ,ふふっ、ガヴちゃんったら……
ヴィーネ,天使だ……。ガヴは更生している。見た目も態度も堕天使のままだけど、内面は天使に戻っている……以前はガヴを更生させようと頑張ってた。なら嬉しいはずでしょ？なのにどうして……。寂しい……。……あ、あれ？私、今日ガヴとお話したっけ……？。ガヴの家……なんだか緊張する。今まで当たり前の様に入っていたのに……。ガ、ガヴー？入るわよー？。部屋はどうなっているんだろう。ガヴの外見がそのままなんだから部屋もまだ……って、何期待してるのよ私は
ガヴ,あ？なんだヴィーネか
ヴィーネ,……部屋綺麗ね
ガヴ,まだ結構散らかってるけどな。部活で食べた後片づけたりしてたら家でもやりたくなってさ。今丁度オムライス作った所なんだけど、ヴィーネも食べてかない？作りすぎちゃってさー
ヴィーネ,ガ、ガヴがオムライスを……？。お、美味しい……
ガヴ,……うむ。ヴィーネや田中上野には及ばないが、委員長には勝ったな
ヴイーネ,……何時から自炊やってたの？
ガヴ,あー、何時からだったけ？忘れた。家でも作り出したのは最近か？
ヴィーネ,食べてるだけと思ってたのに……私、何にも知らなかった。ご馳走様……そ、そうだ、後は私が片付けとくわね
ガヴ,いや、良いよ。ヴィーネはゆっくりしててくれ
ヴィーネ,え……で、でもいつも私がやってた事だし……
ガヴ,いいって。片付けもやりたくなってきたって言ったろ？
