速水奏,……っていうユニット、どうかしら？
新田美波,ま、待って！？とりあえず、いろいろと整理させてもらってもいいかな！？
・,アイドルマスターシンデレラガールズ
美波,急に二人に合わせてみてって言われたから、とりあえずやってはみたけれど……。えっ、何？シャイニング……何！？
奏,何って、ほら
星輝子,シャイニングゥ！
神谷奈緒,ゴッデス！
美波,……え、えぇっ……！？
輝子・奈緒,……
美波,ぁぅ…………み、ミナミ！
奏,そういうことよ
美波,どういうことなの！？
奏,そこまで狼狽えるものでもないと思うけど。私の考えなんて、単純なものよ。ねぇ？
奈緒,なあ
輝子,あぁ……
美波,えぇー……？。……あっ、思い出した！シャイニングゴッデスって、あの時……楓さんや川島さんと一緒にお仕事した時の！
奏,ええ、そうね。あの経験は、とても有意義だったわ
美波,確かに、大人組はもちろん、奏さんや涼ちゃんからも色々なことを学んで……。……って、そうじゃなくって！。奏さんったら、まだあの時のネタでからかうつもりなんですかっ！？
奏,からかうだなんて、とんでもない。私はただ、あの時側で感じた貴女の輝きを、もっと多くの人に知ってもらいたいと思って、こうして提案しているだけよ
美波,だ、だからって……。シャイニング、だとかゴッデス、だとか……恥ずかしいっていうか、私には分不相応だわ
奏,うふふ。謙遜しちゃって
輝子,フヒ……美波さんは、いつもキラキラしてるからな
奈緒,それな。女神！って感じするよ
美波,もう、輝子ちゃんに奈緒ちゃんまで……
奏,あら、もてるのね美波。妬けちゃうかも
美波,そ、そんなんじゃありませんってば！
輝子,……もしかして……
美波,えっ
輝子,美波さんは……私たちと一緒にユニットやるの、嫌……かな？
美波,！！？
輝子,そ、そうだよな……。奈緒さんはともかく、私みたいな、ボッチで暗い子なんて……相手してもらえない、か。フヒ
奈緒,お、おい輝子！しっかりしろ！
美波,そ、そうよ！私は、みんなと……輝子ちゃんとも、一緒にお仕事してみたいって、思ってる！
輝子,お、おぉ……？
美波,だって私、知っているもの！輝子ちゃんの可愛いところも、カッコいいところも！ステージの上で、どれだけキラキラしてるかってことも！。そんな輝子ちゃんと、もし並んでステージに立てるなら、私も嬉しいな！
輝子,あぅ……そ、そんなに見つめないでくれ……眩しくて目が眩みそうだ……///
奏,うーん、さすがシャイニングゴッデス美波ね
奈緒,その瞳は見る者全てを浄化し、その微笑みは見る者全てを虜にする、か……恐るべし、だな
美波,ちょっと奈緒ちゃん？やめてよ、そんな大仰な表現するのっ
奈緒,って、こないだアーニャが言ってた
美波,アーニャちゃんっ！？
輝子,シャイニングゥゥ！
奈緒,ゴッデスッ！
美波,ミっ……あぁ、もう！乗せようとしないのっ！
奈緒,惜しいっ
美波,ふぅ……そもそもそれって、もとは二人と智絵里ちゃんとのユニットの自己紹介じゃなかった？。私がどうこうって言うより前に、智絵里ちゃんの気持ちも考えるべきじゃないかしら？。というか、智絵里ちゃんさっきからずっとここにいるのよ！？
緒方智絵里,……
美波,ねぇ、智絵里ちゃん。ユニットで一人だけのけ者にされるの、嫌じゃないの？
智絵里,あっ……いえ、その……私なんかよりも、美波さんのほうがステキで、輝いてて……このユニットには相応しいと思うから……
美波,もうっ！智絵里ちゃんまでそんな謙虚なこと言って……
奏,だって、目の前に女神のような存在がいるんですもの。誰だって謙虚にもなるわよ
奈緒,女神のようなっていうか、女神そのもの？
美波,ちょっとっ、私、女神とかじゃないから！人！人だから！
奈緒,つーか、別にシャイニングゴッドチェリーを解散するとか、そういう話じゃないしな
輝子,あぁ……ユニットの掛け持ちは、よくあることだしな
奏,輝子なんて、特にいろいろと引く手数多だものね
美波,そうだけど……そうだけどっ！
輝子,フヒ……だから、美波さんにはこのユニットのセンターとして、最高のきらめきを見せてほしい……
奈緒,だな。あたし達に美波のバックが務まるかは不安だけど……精一杯頑張るからさ
美波,……え？待って。私がセンターなの？
奈緒,そりゃそうだろ
奏,そりゃそうよね
輝子,むしろ、私たちはオマケみたいなものだな……
美波,えええっ！？そ、そんなこと言わないで！せめて対等にいきましょう！ねっ！？
奈緒,いやいやいや！女神と対等だなんて、そんな恐れ多い！
美波,ああっ、また女神って言った！。私、そんなに女神女神してるかな？ねぇ、どのあたりが女神なの？
奈緒,えー？まず、大人っぽいところだろ？
奏,シャイニングアダルトね
奈緒,ろ、露出の多い衣装なんかもカッコよく着こなすしさ
奏,シャイニングセクシーね
輝子,ああ……いつも綺麗で……目を奪われる……
奏,シャイニングビューティね
奈緒,電気タイプのジムリーダーかな？
美波,なんでもかんでもシャイニング付けるのやめてくれない！？
奏,あら、シャイニングツッコミ？
美波,だから！
輝子,シャイニングゥゥ！
奈緒,ゴッデスッ！
美波,ミナミ！！。……じゃ、なくてっ！！。時々アイキャッチみたいに会話に混ぜてくるの、何なの！？
奈緒,こうやってアピールすれば、ファンにも名前を憶えてもらいやすくなるだろ？
美波,むしろ私に刷り込ませようとしてない……？
奏,サブリミナミね
美波,奏さん！私の技みたいにしないで！
奈緒,だって、美波にはファンを虜にする99の必殺技があるとか
美波,な、何その凄い設定！？
奈緒,って、こないだアーニャが言ってた
美波,アーニャちゃんっ！？
輝子,フヒ……みんな、美波さんに、首ったけ……。あ。ちなみに、首ったけのタケは、キノコとは関係、ないよ
美波,わ、私も！私と女神は何の関係も無いから！
奏,美波が女神じゃないっていうなら、誰が女神だって言うのよ
美波,えぇと……あ！ほら、楓さんとか！
高垣楓,呼びましたか？
奏,あら、噂をすれば
楓,うふふ。私にも、美波ちゃんは眩しすぎて……目がみ、えなくなりそう
奏,ほら、楓さんもああ言っているじゃない
美波,それただダジャレ言いたかっただけですよね！？
輝子,……足湯で疲れを、フットバス……なんちゃって
奈緒,なんか輝子が対抗しだした
奏,そもそもよ、美波。ヴィーナスの名を冠したソロ曲を持っていて、ユニットでは神話のヴァルキュリアをモチーフにした歌を歌って……。そういうイメージを持たれない方がおかしいと思わない？
美波,あぅっ……そ、それは、プロデューサーさんの方針で……
奈緒,そういう方針がまかり通ること自体、美波がゴッデスしてる証拠だよ
美波,その動詞、初めて聞くんだけど
奏,知ってる？美波がいつも使っている更衣室のロッカー、神棚って呼ばれてるのよ
美波,それも初耳ですけど！
輝子,あと、うちの事務所のPC……めがみで新田美波に変換出来るように辞書登録されてるって、ちひろさんが……
美波,知らないところで私の神格化が進んでるんですけどぉー！？
