橘ありす,おはようございま……ってあれ、誰もいませんね……
ありす,タブレットでもいじって……。いや、たまには雑誌でも読んでみましょうか。いろいろな雑誌がこの部屋にはありますし。えっと……ファッション誌……これはきらりさんの好きなブランドですね、私には合いません……。“月刊メガネ”……、“キグルミの世界”……、“今、この植木鉢が熱い！”……、“BBQの全て”……。なんですかこのピーキーな品揃え。やっぱりタブレットでも……。うぇえ！？。ふ、フレデリカさん！いきなり大きな声を出すのはやめてくださ……って、え？ど、どこにいるんですか？。え？机から声……。下！？
宮本フレデリカ,やっほー♪
ありす,なにしてるんですか！？あなた本当に19歳ですか！？
森久保乃々,ううぅ……
ありす,の、乃々さん！？
フレデリカ,ノノちゃんかーわいー！
乃々,ううぅ……
ありす,ちょ、嫌がってるじゃないですか！
フレデリカ,そんなことないよねー？
乃々,ううぅ……
ありす,さっきからうめき声以外を発してませんけど！？。とにかく出てください！
フレデリカ,しょーがないなー……よいしょ……っと！。はい！ノノちゃんも！
乃々,え、い、いや、もりくぼはこのままでいいんですけど……
フレデリカ,だーめ♪
乃々,うううぅ……
ありす,抵抗弱っ！
フレデリカ,さて！
ありす,いや……あの……
乃々,……
ありす,なんで乃々さんを膝の上に……
乃々,どうしてこんなことにぃ……
ありす,でも常識人が増えてちょっと嬉しいとは言えませんね
フレデリカ,あれは、フレちゃんがまだお布団の中にいたころ……
ありす,今朝じゃないですか
フレデリカ,フレちゃんは考えていたのです……！なぜこの世界に生まれたのか……。そして、なぜアイスを食べると頭がキーン！ってするのか……
ありす,あれはアイスクリーム頭痛といって、急に下がった口内の体温を上げようと血液をたくさん流すから起きるらしいです
乃々,そこは2つの落差についてツッコミを入れるところじゃないんですか？
フレデリカ,さて問題です！
ありす,はい？
フレデリカ,シューコちゃんやシキちゃんは、アタシのことをなんと呼ぶでしょう！。はいノノちゃん早かった！
乃々,なんにも言ってないんですけど……
フレデリカ,ヒント？探したきゃ探せ！荷物の全てを家に置いてきた☆
ありす,いきなり海賊王みたいな煽り方するのやめてください
乃々,単なる忘れ物宣言ですし……
ありす,いつもフレちゃんって呼ばれてますよね
フレデリカ,あー！ボタン押さずに答えるのはルール違反だよ！はいこれ！
ありす,ルールなんて初耳ですけど！？最初っから出してくださいよ！まったく……。懐かしっ！！！
フレデリカ,ちなみにこの金のぴにゃこら太は
乃々,ど、どこからでてきたんですか
フレデリカ,はいメロンパン入れになってまーす
ありす,読めてましたけども！！！
乃々,会話が進んでないんですけど……
ありす,いつものことです……
乃々,遠い目をしてる……
フレデリカ,でね！でね！いつも“フレデリカ”の“フレ”を使われることが多いの！
ありす,ああ、確かに、略すとそうなりますね
フレデリカ,そしたら、それに怒った“デリカ”が反乱を始めちゃったのだ！ピンチ！
乃々,……？？？
ありす,こっち見ないでください。私にも意味不明です
フレデリカ,怒った“デリカ”が“フレ”を追い出しちゃったの！だから、事務所に来るまでは“宮本デリカ”だったんだよ！
ありす,使用言語が同じなのにここまで置いてきぼりになることがあるんですね
乃々,というかさっきから普通に自分をフレちゃんって呼んでますけど
フレデリカ,細かいことはテムズ川に流しちゃえ☆
ありす,一応言っておきますけどテムズ川はフランスじゃなくてイギリスです
フレデリカ,そこで宮本は考えました！“○○デリカ”じゃないと語呂が悪い！よし！事務所内の2文字の名前のアイドルをもらっちゃえ！ってね！
ありす,起点から終点までひどい論理で動いてますね
乃々,あの……それでどうしてもりくぼに……？
フレデリカ,厳正なる審査の結果！ノノデリカが勝ったんだよ！
ありす,なんの勝負ですか……
フレデリカ,いやぁ、ニナデリカ、ソラデリカ、ユカデリカ、ヘレン・デ・リカは強敵でしたねぇ……
ありす,最後なんか美容院の名前みたいな無理矢理具合でしたけど
フレデリカ,と、いうことで！今日は宮本ノノデリカなのだ～♪
乃々,う、ううぅ……
ありす,乃々さんは撫でられたり抱き着かれたりすると弱いんですね
乃々,なんで冷静に分析してるんですか……！
フレデリカ,あ、トモデリカもよかったんだけどね！
ありす,朋さんをあまり巻き込まないであげてください！
藤居朋,はっくしょん！！！
白菊ほたる,風邪……ですか？
朋,うーん？体調は悪くないんだけど……
ほたる,えっと、風邪の時のための民間療法があったような……。確かネギで……
緒方智絵里,殴りかかる？
朋,智絵里ちゃん！！！
フレデリカ,あ！その顔！ノノちゃんの可愛さがわかってないでしょ！
ありす,え？いや、乃々さんが可愛いのはわかりますけど
乃々,恥ずかしいぃ……
ありす,かわいいですね
フレデリカ,ほんまやな
ありす,キャラのぶれ方が見過ごせないレベルですよ！？
フレデリカ,でも、ありすちゃんはノノちゃんとあんまりおしゃべりしてないでしょ？
ありす,まあ……そうですね……。フレデリカさんは、確かバレンタインの時に一緒だったんでしたっけ
フレデリカ,うん！こねこねするノノちゃん、かわいかったよ～♪
ありす,それは見たかったですね
フレデリカ,しかも、ノノちゃんったら、バラのチョコは気をつけないとバラバラになるなーんてギャグまで言って！盛り上がったな～
乃々,いっそ殺して……
ありす,恥ずかしいのはわかりますけど元気出しましょう？
フレデリカ,バｗｗラｗｗｗバｗｗラｗｗｗｗ
ありす,やめましょう！！？？
フレデリカ,まあそれは置いといて、消えゆく自然に対して我々は何が可能なのだろうか
ありす,話題と口調の落差でこっちは眩暈がしそうですよ
乃々,いつもこんな感じなんですね……
ありす,ヒトとかイヌみたいなカテゴリで“フレデリカ”って独立してると思ってください。それくらい読めません
フレデリカ,今夜～の～おかずはハンバーグかな～♪。フンフンフンフンフンフンフンフン♪フンフンフンフンフンフンフンフン♪。フー♪。レー♪。デー♪。リー♪。かっぱ寿司
乃々,……
ありす,だからこっち見ないでください
フレデリカ,どうしたの？
ありす,こっちの台詞ですよ
乃々,反応が慣れてる……
フレデリカ,だいじょーぶ！ノノちゃんもすぐについてこれるよ！
乃々,なにも大丈夫じゃないんですけど……
ありす,これからよろしくお願いしますね
乃々,えええ……！？
フレデリカ,あ、今何時かな？
