橘ありす,うーん……
的場梨沙,あら、ありすじゃない、小難しそうな顔してどうしたのよ
ありす,ああ、梨沙さん、お疲れ様です……
梨沙,ん、お疲れ様……原稿用紙？
ありす,宿題です
梨沙,へぇ、読書感想文とか？あ、横、座るわね……よいしょ
ありす,いいえ、作文の宿題なんです
梨沙,ありすが悩むなんて珍しいわね。テーマが面倒なの？
ありす,はい、将来の夢なんですが……
梨沙,ふーん？アンタ、夢ないの？
ありす,急に夢と言われても……梨沙さんはあるんですか？
梨沙,アタシの夢は決まってるじゃない！パパと結婚するのよ！
ありす,……ああ、そうでしたね
梨沙,何よその目
ありす,いえ……、こういう宿題が出た時、梨沙さんはそう書いたんですか？
梨沙,ウチの学校はなりたい職業だったから、"総理大臣"って書いたわ！そんで、法律？を変えてパパと結婚できるようにしてやるの！
ありす,それは……難しいと思いますが……
梨沙,何？オンナは総理大臣になれないって言うの？
ありす,そ、そっちでは
梨沙,パパが言ってたわ！"今は女性の社会進出も凄い"って！アタシは絶対に叶えてやるわ！
ありす,いくら総理大臣と言えど、そこまで出来るのでしょうか……
梨沙,できるでしょ？総理大臣は1番エライんだから！
ありす,しかし……
梨沙,じゃあ、聞いてみるわよ！知ってそうな人に！
ありす,そ、そんな人、事務所にいるんですか？
梨沙,わかんないけど、こんだけ人数がいれば1人くらいいるわよ！きっと！
ありす,て、適当な……
梨沙,あ！早速誰か来たわ！ちょっと、聞きたいことが
宮本フレデリカ,うおっほん！総理大臣フレデリカだよ～！何でも聞いてね♪
梨沙,ああ、ごめん、何でもないわ
フレデリカ,あれ！？
ありす,次に部屋に来た人に聞きましょうか
梨沙,それがいいわね
フレデリカ,ち、ちょっと待った！
ありす,なんですか？私達、ヒマじゃないんですが
フレデリカ,いつもより冷たくないかな！？
梨沙,ってかどうしたのよ、そんなカッチリした服着て
フレデリカ,き、今日のフレちゃんは総理大臣なんだよ！
梨沙,いつ議員になったのよ
ありす,どの党から出馬したんですか
梨沙,ってか被選挙権もないでしょ
ありす,どの選挙区から出たんですか
フレデリカ,た、タイム！タイム！いつもそんな詳しい……しょーさい？みたいなの聞かなかったよね！？
ありす,総理大臣なんて、今までのキッザニアと違って本当に重要な役職じゃないですか
フレデリカ,キッザニア！？
梨沙,あら、そう言ってありす、"今日はフレデリカさんがこんなことして～"って、口を開けば話してるじゃない
ありす,り、梨沙さん！
フレデリカ,へぇ～？
ありす,腹立つ顔ですね
梨沙,もう普通に悪口よ？
フレデリカ,でもそっか……いきなり総理大臣は難しいかー
ありす,いきなりでなくても難しいですよ
フレデリカ,わかった！じゃあ、まず国会議員さんになるね！
ありす,そ、そういう問題ではなくて……
梨沙,そ。じゃ、総理大臣になれたらやり方教えてね。お疲れ～
ありす,ち、ちょっと！このタイミングで離脱するんですか！？
梨沙,いや、だってこっからはありすの仕事でしょ
ありす,なんでですか！
フレデリカ,梨沙ちゃん！楽しみにしててね！
梨沙,はいはい、期待してるわよ～
ありす,ああ……今回は負担が減ると思ったのに……
フレデリカ,本音は～？
ありす,今回は負担が減ると思ったのに……
フレデリカ,変わってない。じゃ、気をとりなおして！
ありす,何をするんですか……
フレデリカ,フレちゃんは勉強したんだよ！総理大臣になるためには、マニフェストが必要なの！
ありす,はぁ……、まあ、付き合いますよ……
フレデリカ,ありがとー！でさ？
ありす,？
フレデリカ,マニフェストって、なに？
ありす,お疲れ様でした
フレデリカ,わ！ちょっと待って！ディーフェンス！ディーフェンス！
ありす,子供ですか
フレデリカ,それとも、ありすちゃんはマニフェストの意味を知らないとか～？
ありす,む……、安い挑発ですが、乗ってあげますよ……
フレデリカ,ちょろい！ちょろい！
ありす,1ミリくらい隠す努力をしてください
フレデリカ,まあまあ、そんなのどうでもいいから～
ありす,はあ……。マニフェストというのは、選挙公約のことです。簡単に言えば私が当選したらこんなことをします！という約束ですね
フレデリカ,なるほど！じゃあ、みんなにやってほしいことを聞いて、それを叶えますって言えばいいんだね！
ありす,そんな単純な話じゃないんですって
フレデリカ,なんで？
ありす,じゃあ例えば、経済を回すべきだから消費税を上げてくれ
フレデリカ,明日から消費税50％！
ありす,短い政権でしたね
フレデリカ,辞めるの確定！？。いやあ、消費税なんていらないってフレちゃんも思ってたんだよ～
ありす,絵に描いたような二枚舌じゃないですか
フレデリカ,じゃあどうすればいいの！？
ありす,そこをなんとかするのが総理大臣とか、そもそも議員さんのお仕事なんですってば！
フレデリカ,むむむ……フレちゃん、国会議員をナメてたかも……！
ありす,むしろどんな仕事だと思ってたんですか……
フレデリカ,国会で居眠りして、たまに野次るお仕事！
ありす,ちょっとこれ認識に重大な齟齬ありますね。もうなんか根本的にダメです！
フレデリカ,ええ～？
ありす,まず、国会議員というのは、国民の声に真摯に耳を傾け、貰った信任と一票に恥じぬように身を粉にして働くものなんです！
フレデリカ,ふむふむ！
ありす,その代表とも呼べるポジションが総理大臣なんです。わかりましたか？
フレデリカ,せんせー！質問です！
ありす,誰が先生ですか
フレデリカ,総理大臣ってなんでもできるんですかー？
ありす,はい？。……確かに、大まかな政策の選定や決定権はありますが、細かいことは各省庁が進めるんです
フレデリカ,かくしょーちょー？
ありす,聞いたことありますよね？○○大臣って
