エレン達が内地の大浴場,温泉
エレン,はぁ…
リヴァイ,兵士があまり挙動不審にキョロキョロすんな
ハンジ,どうしたのエレン？
エレン,いや、オレがこうして内地に来ることになるとは思ってなくて…なんか物珍しいと言うか
ハンジ,来るだけなら調査兵団は結構機会はあると思うよ。国王様への定例報告があるから
リヴァイ,暮らせるのは丸々太った貴族の豚どもと工場都市の連中、あとは憲兵団とウォール・シーナ担当の駐屯兵でも一握りくらいだがな
エレン,あの大きな建物ってなんですか？
ハンジ,あれは大浴場だよ
エレン,大浴場？
リヴァイ,温泉だ
エレン,温泉って、地下の熱で温まってる天然の風呂というか…そんな感じですよね
ハンジ,へぇ、よく知ってるねエレン
エレン,確かアルミンに読んでもらった本にそんなのがあった気がする。温泉って、凄い温度で吹き出してきたりするって聞いたことがあるし火傷とか結構危ないんじゃ…
ハンジ,あはは！大丈夫だよ。そうならないようになってるから
エレン,なってる？どういうことです？
ハンジ,大浴場は、地下から温泉を汲み上げているんだよ。その途中で、人が触っても大丈夫なように温度が調整されてるんだ
エレン,汲み上げてる…？
ハンジ,そう。ポンプのような装置があって…立体起動とか技術部の兵器製造の副産物だね
エレン,………
ハンジ,どうしたのエレン、なんだか複雑な顔してるけど
エレン,資源の無駄遣いだ
ハンジ,え？
エレン,いつ巨人が襲ってくるかも知れないのに…内地の連中は緊張感ってやつをどこかに置いて来たのか？。技術班の目的は巨人に対抗することだろ！？そんなことに貴重な技術や資源を使って…
リヴァイ,そんなことだと？温泉の何が悪い
エレン,え？リヴァイ兵長…
リヴァイ,温泉はいい…旅の疲れもベッタリまとわりついた汗もキッタネェ巨人の体液も全て洗い流せる。てめぇはくせぇんだよ。家畜の臭いだ、豚同然だな。人間様と会話してぇなら、まずは体を洗ってその鼻の曲がりそうな臭いを消してこいよ豚野郎が
エレン,………
ハンジ,リヴァイは潔癖性だからね…温泉が大好きなんだ
エレン,すみません、なんだかここの連中が能天気に暮らしていると思うと許せなくて…。しかし頭ごなしに否定したのは軽率でした
ハンジ,まぁ、エレンがそう言いたくなる気持ちもわからなくはないけど…でも、人間には楽しみがなければ生きていけないから
エレン,そう…ですね。安全となれば今度は娯楽を求める、人間ってのはそんなもんだ。オレだってガキの頃はアルミンの読んでくれる外の世界の話で退屈を紛らわせてたし…そんなものなのかもな…
ハンジ,そうだ、エレンも大浴場に行ってくるといいよ
エレン,え？オレが？
ハンジ,一度行ってみれば考えも変わるかも
エレン,まぁ、それは…そうですね、よく知りもしないのに批判するのもよくないですよね。金とか、いりますかね？
ハンジ,本当ならいるんだけど、エレンは兵士でしょ？身分を示せばタダで使えるよ
エレン,身分を示すのって…
ハンジ,その制服を着ていけばいいかな。それは調査兵団のものだから
エレン,それは助かる…のかな…
ハンジ,タオルもちゃんと向こうで用意してくれるから、そのまま行って大丈夫だよ
エレン,わかりました。それじゃ行ってきます
ハンジ,あ、ちなみに大浴場は混浴だから
エレン,え！？。こうしてオレは大浴場に足を踏み入れた。石…じゃなくて大理石で作られてるのか？贅沢だな。壁はガラス張りで、大きな壁の手前に小さな東洋風の庭が見える。ミカサはこういうの好きそうだな。そしてこの浴槽…でけぇな、この水全部が温泉なのか…。しかし…。誰もいない。いや、別に何も期待なんてしてないけどさ…。誰に言い訳してるんだよ、オレは…。！。誰か入ってきた…
ジャン,なんだ…テメェかよ…
エレン,それはこっちの台詞だ…
ジャン,いや、待てよ…お前がいるってことはミカサもいるのか！？
エレン,いねぇよ…オレは今リヴァイ班だしミカサとは別だろ
ジャン,そうか…
エレン,つーか、なんでミカサなんだ？
ジャン,え！？な、なんでって…
エレン,見てぇんだろ？女の体…お前はそういう奴だ
ジャン,人を勝手に変態にするんじゃねぇよ！
エレン,はいはい。でさ、そういうの求めるならミカサはないだろ
ジャン,なんでそんなことテメェに言われなきゃなんねぇんだよ
エレン,あいつめっちゃ鍛えてるしさ…体ガチガチだぞ
ジャン,めっちゃ鍛えてんのか…
エレン,めっちゃ鍛えてる
ジャン,待て待て！体ガチガチだとかなんでお前そんなこと知ってんだよ！？まさか…
エレン,そりゃ、対人格闘でよく相手してたしな
ジャン,…ああ。しかしよ、こんなところでお前に会うとは意外だな
エレン,意外？なんでだよ
ジャン,だってよ、こんな道楽施設を作って内地の奴らは堕落してる！とか言いそうじゃねぇか
エレン,オ、オレだって娯楽を否定する気はねぇよ。人間は楽しみがなけりゃ生きていけないからな
ジャン,いや、それとも…ははーん？
エレン,なんだよ…
ジャン,お前って駆逐駆逐言ってて変な奴だと思ってたけどよ、結構ムッツリか？
エレン,はぁ！？なんでそうなるんだ！？
ジャン,いやいや何も恥じるこたぁねぇよ。男としちゃ当たり前…
エレン,うるせぇ！さっさと出て行けばいいんだろこんなところ！
ジャン,オイ待てよ死に急ぎ野郎
エレン,なんだよ！？
ジャン,そっちのシャワーで体を洗ってから入るんだぜ。そのまま入ったら湯船が汚れるからな
エレン,それは…教えてくれて助かったよ。やっぱお前、内地のことには詳しいのか？
ジャン,ここに入る前に言われただろうが
エレン,あんまり興味なかったから聞いてなかったな…
ジャン,ところでよ、お前シャワー使えんのか？
エレン,馬鹿言えよ、それくらい知ってる。うわ！？なんだこれ、あったけぇぞ！？お湯だ、お湯が出る！
ジャン,アーッハッハッハ！ハーッハッハッハッハ
エレン,笑うんじゃねぇよ！
ジャン,いや、悪ぃ悪ぃ…テメェの姿がおかしくってよ…
エレン,チッ…水が出てくると思ったのに、これも温泉なのか？
ジャン,いや、これは水を別の場所で暖めて汲み出してるらしい
エレン,そんなことまでやってるのか…？
ジャン,オレもよくは知らねぇけどよ
エレン,まぁ、いいか…そういうことは終わってから考えよう。お、桶まで置いてある。気が利くじゃねぇか…。よっと。ふぅっ…。体なんて全然洗えなかったから久々に水浴びて結構さっぱりしたな…
ジャン,………
エレン,ん？ジャン、お前どこ見て…。お前…！どこ見て…
ジャン,ハッ
エレン,テメェ今笑ったな！？
ジャン,あーすまない、正直なのはオレの悪いクセだ
エレン,人の股間凝視しやがって！キメェんだよ！
ジャン,ああん！？男として自分とどっちがでけぇのか気になるのは当然だろうが！
エレン,意味わかんねぇこと言うんじゃねぇよ！
ジャン,しかし、これならオレの方がでけぇな
エレン,は？
ジャン,なんつーか男として勝ったって気分だなぁこりゃ
エレン,オイ待てよ、お前のを見てないのに一方的に言われるのはなんか腹立つぞ
ジャン,お？やっぱ気になんのか？
エレン,どうでもいい、お前も見せろ！
ジャン,ほらよ、見やがれ！
エレン,うおっ…！。ジャンの野郎、言うだけあってでけぇじゃねぇか…馬面だからか…。…ん？。お前、これちょっと勃起してねぇか？
ジャン,う…なんだよ、負け惜しみはみっともねーぞ？
エレン,そうだよな…そりゃ、通常時のアレがちょっと勃起してるアレに勝てることってあんまねぇよな…
ジャン,…ハァ、そうだよ。ちょっと勃起してるよ
エレン,なんで勃起してんだよ…お前…
ジャン,いや、風呂に入る時ってなんか開放感ねーか？
エレン,…オレのを見て興奮したとかそういうことじゃないんだな？
ジャン,そういう発想が出てくるお前が気持ち悪ぃよ
エレン,つーかよ、こういう大きさ比べって通常時より勃起時で比べるもんなんじゃねぇのか？
ジャン,それは確かに…一理あるかもな。いいぜ、勃起した大きさで決着をつけようじゃねーか！
エレン,乗ってきた…ジャンは本気で俺に勝てると思っているのか。だとしたら、この勝負…逃げるわけにはいかない！。よし、なんとか勃起したな…これで…
ジャン,オラ、見やがれエレン！こいつが本当のオレだ！
エレン,なっ！？さっきまでのは本気じゃなかったのか…！？
ジャン,これは…結構でけぇじゃねぇか、オレと同じくらいか？
キース,グリシャ…今日お前の息子の息子が…兵士になったぞ
エレン,なんだ、こうなったらオレの方がでけぇな
ジャン,あん？いーや、オレの方がギリギリ勝ってるね
エレン,もっと近くではっきりと調べてやろうか…
ジャン,ヘッ、望むところだ…
エレン,くっ…近くで比べようとすると擦れるな…
ジャン,なんかヌルヌルするな…なんだ？
コニー,あ！エレンとジャンがチ○ポぶつけあってるぜ！
ライナー,なに？兜合わせだと？
アルミン,ちょ、ちょっとこれまずいんじゃ…
ベルトルト,ご、ごゆっくり…
ジャン,違ぇ！これは大きさを比べてるだけ…
エレン,…！！
コニー,お？なんだよ、何人の股間ジロジロ見てんだよ
エレン,オレ達は何を小さなことで争っていたんだろう…
ジャン,まったくだな…
コニー,あん？なんだよ、どうしたんだよ？
ジャン,えーと、これはですねコニーさん…
エレン,いえですねコニーさん、本当に小さなことでして
コニー,お、おうなんだ気持ち悪ぃ…
エレン,かくかくしかじか
ライナー,なんだ、そういうことか
ベルトルト,てっきりエレンとジャンがそういう関係だったのかと…
ジャン,気持ちの悪いことを言うんじゃねぇよ！
エレン,そうだ、誰がこいつなんかと…
コニー,お前ら仲いいな
エレン,ちょっと、勘弁してくださいよコニーさん
ジャン,そうですよ。こいつなんかと一緒にされちゃ困りますよ
コニー,なぁ、なんで二人はオレに敬語使ってんだ？オレってもしかして偉いのか？
アルミン,ある意味そうなんじゃないかな…
エレン,コニーさんは丸出しだけどよ…お前ら揃いも揃ってタオルで隠してんな
ライナー,ん？
ジャン,もう出しちまえよ。気持ちいいぜ
ベルトルト,いや、だって…
アルミン,…ねぇ？
ライナー,そんなに見たいのか？
エレン,え？
ライナー,見たければ見せてやろう
エレン,…………。いや、別に見たくねぇけど…
ジャン,馬鹿、てめぇそれでも男か！？
エレン,なんで好き好んで男の○ンポなんて見なきゃならねぇんだよ…
