藤居朋,……ほたるちゃん
白菊ほたる,……はい
朋,この会議室、少人数での話し合いのために、円卓と4つの椅子がある部屋じゃない？
ほたる,そうですね
朋,智絵里ちゃん
緒方智絵里,……はい
朋,あたしたちが3つ席に座って、1つ椅子が余るわよね？
智絵里,そうですね
朋,……ラスト1つ、めっちゃ豪華な椅子なんだけど
ほたる,……
智絵里,……
朋,まるで……
美城常務,"まるで偉い人が座るかのようだ"とでも言うつもりか？
朋,わぁ！！！。じ、常務！？
常務,驚かせてしまったなら謝ろう
朋,い、いえ、大丈夫です……
智絵里,常務が直々になんて、なにかあったんですか？
ほたる,ま、まさかクビとか……！？
朋,ほ、ほたるちゃん！冗談でもやめて！
常務,……
朋,常務！？
智絵里,ほ、ほたるちゃんはクビにしてもいいので朋さんだけは！
朋,智絵里ちゃん！！！その助かり方なんにも嬉しくない！！！
常務,ふ……冗談だ。気を悪くさせたなら謝ろう
朋,心臓に悪いわよ……
智絵里,胃ではなくてですか？
朋,わかってるなら自重してくれないかな？
ほたる,どうせ私なんてアイドル向いてないんです……
朋,自嘲しろとは言ってないわ
常務,藤居に食べさせるタンメンはない
朋,次長課長も関係ないですよね！？
常務,(ツッコミが)有能すぎるのも困りものだな……
朋,あたしは常務に困ってますけど！？
常務,困らせてしまったなら謝ろう
朋,さっきから謝ろう謝ろううるさい！！！
常務,私の会話のクセをもう見抜くとは、有能すぎるのも……
朋,早く本題に入ってください！！！
智絵里,誰がクビなんですか？
朋,クビ前提で話を進めないで
常務,ここにくじ引きがある
朋,原始的
智絵里,ほたるちゃん、残念だったね……
朋,単純な運の勝負とわかった途端に勝ちを確信しないで！
ほたる,こういうのは、残された人の方が辛いものです。"運悪く"残ってしまうかもしれませんね
朋,ある意味茄子さんより怖いんだけど！？
常務,おふざけはここまでだ
朋,くじを投げるな！！！
智絵里,で、今回はどのテレビ番組を潰すんですか？
朋,智絵里ちゃん
常務,いや、今回はそういう話ではない
朋,今回"は"！？
ほたる,えっと、良い話でしょうか？それとも悪い話……？
常務,良い話と悪い話がある。どちらから聞きたい？
朋,うわぁ、よくある導入……
智絵里,とりあえず悪い話から聞いておきましょうか……？
ほたる,そうですね……
常務,ふむ、悪い話だが
朋,……
常務,今朝、飼っていたインコが亡くなった
朋,知るか！！！！！
常務,で、良い話だが、キミ達の冠番組が決まった。おめでとう
朋,ええええええ！？一番大事なことをそんなにさらっと！？
