藤居朋,ほたるちゃん、遅いわね……
緒方智絵里,はい……
朋,常務に呼ばれてからけっこう経つけど……
智絵里,退職金の交渉中でしょうか……？
朋,なんでクビ前提で話を進めるの？
白菊ほたる,戻りました
朋,あっ、ウワサをすればなんとやらね。おかえり～
智絵里,送別会はいつにする？
朋,だからクビじゃないってば！
ほたる,告別式……？
朋,聞き間違いが不穏ね！？
智絵里,ご祝儀包まなきゃ……
朋,告別式は香典でしょ！？……いや死んでないけど！
ほたる,智絵里さんよりは長生きしたいですね
智絵里,ほたるちゃんなんて明日にも不慮の事故に巻き込まれるかもしれないのに……？
ほたる,巻き込まれた隣の友人だけ不幸にも……というパターンも
朋,もうやめて！！！。なんで顔を合わせると煽り合いしちゃうの！
智絵里,ご、ごめんなさいっ。つい魔が刺して……
ほたる,智絵里さんはいつも魔が刺したような行動ばかりですよね
智絵里,ほたるちゃんもその植木鉢の破片を刺したような顔、やめたほうがいいと思うよ？
朋,言ってるそばから！。はい！この話題終わり！
智絵里,引き分けにしておいてあげるねっ
ほたる,年上を立てるのも大切な仕事ですからね……
朋,戦ってないと死んじゃうの？
智絵里,そういえば、常務とはどんなお話をしたの？
朋,そうそう、それよそれ！
ほたる,ふふっ……嬉しいお話でしたよ
朋,お！なになに？
ほたる,はい、とあるプロ野球チームが、私に公認サポーターのオファーを出してくださって、その面談だったんです
朋,へえ！プロ野球チームからって凄いじゃない！
智絵里,不運の象徴であるほたるちゃんを公認……！？
朋,智絵里ちゃん
ほたる,いえ、私も正直、そう思いました。スポーツに運って凄く重要だと思うんですけど、大丈夫なんですかって
朋,ま、まあ、確かに……
ほたる,そうしたら。と
朋,馬鹿じゃないの？
ほたる,それと。とも言ってくださって……
朋,なるほどね……！それは確かに！
智絵里,というか、ケガは運ではなくてチームとしての管理不足だと思うんですが……
朋,……何も言えない
ほたる,"早速明日から植木鉢を頭突きで割るトレーニングをさせよう！"とも仰ってました
朋,悪いけどその人クビにした方がいいわよ
ほたる,シーズンはもう少しで終わってしまうので主な活動は今年のオフからですが、なんと、明日の試合で始球式をさせていただけることになったんです……！
朋,へー！すごいわね！
智絵里,頑張ってね！
ほたる,はい……！テレビでも中継するようなので、よかったら見てくださいね
朋,もちろんよ！あ、練習とかする？ちょうど倉庫にグローブとボールあったはずだし！
智絵里,いいですねっ
ほたる,ふ、藤居ー、野球しようぜー……！
朋,ほたるちゃん？。じゃ、いくわよほたるちゃーん！
ほたる,どうぞー
朋,今日の投擲運はバッチリだったんだから！ストライク決めてみせるわ！
ほたる,使い道が少なそうな占いですね……
朋,やっ！
ほたる,わわっ、ナイスボールです……！
智絵里,ｱｱｱｱｲｲｲｯｯｯ!!!
朋,うるさい
智絵里,これが普通なのかと……
朋,特例中の特例だから
ほたる,智絵里さん、投げますね
智絵里,うんっ
ほたる,えいっ
朋,おー、いい感じじゃない！
智絵里,はわわわわ
朋,あら、こぼしちゃった。どんまーい！
智絵里,え、えっと、な、投げますっ
朋,ばっちこーい！
智絵里,え、ええい……！
朋,……
ほたる,……
智絵里,あ、あれ？も、もう一回ですっ。えいっ！
朋,……
ほたる,……
智絵里,と、飛ばない……
朋,かっわいい！！！！！
ほたる,かわいい……！！！
智絵里,かっとばせー、ほ・た・る！
朋,見学に回った途端うるさいわね！？
ほたる,照れ隠しでしょうね
智絵里,ほ、ほたるちゃん！
ほたる,レッスンの時や、私と戦う時はキレのある動きなんですが……
朋,アイドルが普通に"私と戦う時は"とか言うのやめない？
ほたる,智絵里さんに投擲武器がないとわかったのは大きな収穫ですね
