藤居朋,いやー、緊張するわねー！
白菊ほたる,はい……！ゲームショーでのお仕事なんて……！
緒方智絵里,しかも、有名ゲームの販促ステージですっ……
ほたる,面白さをちゃんと伝えなくちゃですね……
朋,うんうん！……あれ？なんてタイトルだっけ？
智絵里,ええと……ファーストファンタジークエスト：ラストエピローグ・ジ・ビギニングファイナル～始まりの物語の終焉～ですっ
朋,終わるのか始まるのかハッキリしてくれない？。あんまり言いたくないけど、面白いのかしら……？
智絵里,紗南ちゃんに聞いたんですけど、確か……。……と
朋,へ？
ほたる,延期に延期を繰り返しているようですね……
智絵里,その間に外伝やスピンオフばかり出してお茶を濁して……
ほたる,やっとナンバリングタイトルが出たけどストーリーが全然わからない……
朋,す、ストップ！！！そのパターンは傑作が出るやつだから！だ、大丈夫だから！
司会者,はい！ファファクエ最新作のステージをご覧のみなさん！こんにちは！。今日は、豪華なゲストに来ていただいています！LackLuckのみなさん！お願いします！
朋,こんにちは～これファファクエって略すのね……
ほたる,よろしくお願いします……
智絵里,あっ、ほたるちゃんがいるからといって、延期のお知らせではないですよっ
朋,智絵里ちゃん
司会者,3人は、ファファクエはプレイされたことはあるんですか？
朋,ごめんなさい、あんまりあたし、ゲームとかやったことなくて……！でも、これを機にやってみようかなって思うわ！
司会者,ほたるさんはどうですか？
ほたる,なぜゲームのコントローラーはあんなにすぐ壊れるんですか……？
司会者,え？
ほたる,決して私がゲーム下手というわけではなく、本当にコントローラーがすぐ効かな
朋,ち、智絵里ちゃんは！？
智絵里,はいっ！ファファクエラスジビハジモノシュはわたしもとっても楽しみにしていましてっ
朋,さ、さすが智絵里ちゃん……！でも略し方キモっ！
司会者,そうなんですね～。では、3人が実際にゲームの世界に行ったら、どんな職業をやってみたいですか？
ほたる,あ、確か朋さんは以前、ファンタジーをモチーフにしたお仕事をされていましたよね……？
朋,うん！その時は吟遊詩人と踊り子をやったけど……やっぱり占い師とか魔法使いとか、そういうのがいいわね！未来を予知したりして戦うの！あんたの運勢……大凶よ！って言いながら、魔法で敵を倒したりしちゃって！カッコいいでしょ！
ほたる,そうですねぇ
智絵里,そうですねぇ
朋,あっ！その聞く姿勢ずるい！。あたしだけはしゃいでるみたいじゃないの！
智絵里,じ、実際はしゃいでいたような気がします……
朋,ほらほら！ほたるちゃんはどう？
ほたる,植木鉢職人としてひっそりと暮らします
朋,剣も魔法もファンタジーもありゃしないじゃない！
ほたる,争いは何も生みだしません……
朋,もうちょっとゲームイベントのコンセプトに順応して！ち、智絵里ちゃんは！？
智絵里,クローバー農家としてひっそりと……
朋,もー！！！
司会者,ふふ……ほたるさんと智絵里さんは、平和的なタイプなんですね
朋,いえ、そんなことないわ
ほたる,本人たちより先に否定を……
智絵里,暴力反対っ！ですっ
朋,どの口が……？
司会者,だがその余裕もいつまで続くかな
朋,急にどうしたの！？
司会者,ここで3人には、ミニゲームに挑戦していただきます！
朋,え？
ほたる,ミニゲーム……ですか？
司会者,あちらをご覧ください！
智絵里,？
朋,あれ、いつの間にかステージの上に……何？
ほたる,人形……でしょうか？
司会者,ぜひ、近づいてみてください！
朋,？
ほたる,あ、これは……
智絵里,ほたるちゃんの人形……？
朋,ぬいぐるみね！かわいい！
智絵里,メルカリの準備をしますねっ
朋,売らない売らない
司会者,あっ、動かしちゃダメですよ！
智絵里,？
司会者,では、そのほたるさん人形の真上をご覧ください！
朋,真上……？
ほたる,……あっ、天井の骨組みにスタッフさんがいます……！？
朋,えっ、けっこう高いわよ！？大丈夫なの！？
智絵里,何か持ってますね……？
朋,あれは……う、植木鉢！？
ほたる,……ですね
朋,あ、危ないじゃない！あんな高さから落としたら……！
司会者,いえ、遠くてよく見えないかもしれませんが、あれもぬいぐるみなんです
朋,あ、そうなのね……
智絵里,それなら安全ですね……
ほたる,はい……
司会者,では、ルール説明に
朋,……
ほたる,……
智絵里,……
司会者,では、ルール説明に
朋,バカじゃないの！？！？！？。えっ、じゃあやっぱアレ本物じゃない！
智絵里,スタッフさんの手、プルプルしてますね……
司会者,ルールは簡単！上から降ってくる沢山の植木鉢がほたるさん人形に当たらないように、この剣で弾き飛ばしてください！リズミカルに振ることがコツですよ！1つでも人形に当たったらゲームオーバーです！では、頑張ってください！健闘を祈ります！！！
朋,反論を挟む隙間もない！！！
智絵里,ど、どうしましょう……
朋,い、イヤよ！ケガしちゃうかもだし！
ほたる,では……私が出るしかありませんね……
朋,か、かっこいい……
ほたる,これは、私のぬいぐるみ
朋,が、頑張って！
智絵里,ほたるちゃん人形も、がんばってね
ほたる,では、おふたりは人形から離れてください。流れ植木鉢が当たる可能性があります……
朋,き、聞き覚えがない概念だけどスルーするわね！
智絵里,頑張って……！
ほたる,はい、もちろんで……
朋,……
ほたる,……
智絵里,……
司会者,準備はいいでしょうか！
朋,いいわけないでしょ！！！！！。10のはずが100！？バカじゃないの！？今にも崩れそうじゃないの！。え！？。いや意味わかんな
ほたる,と、朋さん！智絵里さん！
智絵里,きゃああああ！！！
朋,わああああああ！！！！！。……はっ！。あ、あれ……ここは……。え……原っぱ……？
ほたる,あ……目が覚めましたか……！
智絵里,よかった……
朋,あ……ほたるちゃんと智絵里ちゃん……って、その格好は……
スライム,ピギー！！！
朋,えっ！？な、なに！？
ほたる,朋さん！下がっていてください……！
朋,えっ
ほたる,……落ちろっ！
スライム,ピギー……
朋,えっえっ
ほたる,ふう……
智絵里,おケガはないですか……？
朋,えっ、何……この……えっ何！？
ほたる,語彙力の低下が見られますね……
朋,だ、だって、さっきまでゲームのイベントに……！
ほたる,はい、ですが気がついたら……
智絵里,ここに3人で倒れていたみたいです……
朋,そんなことって……っていうか、その恰好は
スライムの群れ,ピギー！！！
朋,なんなのもう！！！
智絵里,話はあれを倒してからですっ
朋,それどっかのゲームでよく聞くけど！
智絵里,5体！
スライムの群れ,ピギー！！！
朋,わああ一斉に来た！！！
智絵里,ほたるちゃんっ！
ほたる,はいっ！。1体外しました……！
スライム,ピギー！！！
朋,きゃあっ！
智絵里,朋さんっ！
朋,な、何……！？地面から草が……クローバー！？
智絵里,捕らえてっ！
スライム,ピギッ！？
朋,か、絡みついた！
ほたる,――スキだらけです
スライム,ピギー……
ほたる,ふぅ……
智絵里,ふぅ……
ﾊﾟﾁﾝｯ,ハイタッチ
朋,ふたりの適応能力は何なの！？
智絵里,……落ち着きましたか……？
朋,……まあ、ほたるちゃんが植木鉢を落とせるのはいいわよ
ほたる,いいんだ……
朋,智絵里ちゃんが地面に手を着いたと思ったら、敵に絡まるようにクローバーが生えてきたでしょ？あれは何？
智絵里,ステータス画面に使えるって書いてあったので……
朋,また知らない概念が……
ほたる,では、試しに私のを見てみましょう……”ステータス”
朋,わ！く、空中にウィンドウが……？。希望そのまま通っちゃったの！？。だからそんな陶芸家みたいな服装だったのね……。HPはわかるけど、UPって何？
智絵里,ウエキバチ・ポイントですね
朋,なるほどね思考放棄
ほたる,ああっ、朋さんが考えるのをやめてしまいました……
朋,……これほたるちゃんいれば負けなくない？。このパラメータいる！？
効果：敵一体に防御力無視の大ダメージ,10個まで同時発動可能
ほたる,一体に10個をぶつけることもできますよ
朋,強っ……
智絵里,次はわたしですっ……”ステータス”
朋,もうこれモブでしょ。こっちは普通にマジックポイントなのね……
智絵里,ほたるちゃんよりちょっとかしこいんですよっ！お姉さんなのでっ
朋,かわいさのパラメータあったらトップかもね。あってるけども
ほたる,では、朋さんのステータスも見てみましょう……
朋,ち、ちょっと緊張するわね……えっと、”ステータス”。あまり聞かないわね……？
ほたる,占い師と魔法使いの中間職でしょうか……？
智絵里,なるほど……
朋,ち、ちょっと待って！
ほたる,どうかしましたか……？
智絵里,全体的に数値は低いですが、朋さんは普通の人なので……
朋,じゃあふたりは普通の人じゃないの！？。……って、そこもだけどそうじゃなくて！
ほたる,え？
朋,かしこさが一番低いってなんで！？あたし最年長よ！？
ほたる,あっ
智絵里,あ、あの……ゲームのパラメータですから……
朋,でも現実準拠なんでしょ！？異議ありよ！異議あり！
智絵里,お、落ち着いてください……！おそらく他の19歳と比べてというモガッ
ほたる,さ、逆撫でしてどうするんですか……！
智絵里,もごもご
ほたる,き、きっと、朋さんが目覚める前に私と智絵里さんは魔物と少し戦ってたので、そこでレベルが上がったのかと……！
智絵里,もごもご……
朋,むぅ……
智絵里,もご……も……
ほたる,あっ、ほ、ほら朋さん！じゅもんの欄がありますよ……！
朋,えっ！あ、ほんとだ！あたし、呪文使えるの！？
ほたる,セーフ……
智絵里,……
ほたる,……あ
朋,智絵里ちゃん！！！
智絵里,三途の川で加蓮ちゃんが手を振ってました……
朋,存命よ
ほたる,す、すみません……
朋,えっ、2種類も……！？
ほたる,さすが朋さんです……！
智絵里,すごいですっ
朋,つ、使ってみていいかな？
智絵里,どうぞっ
朋,じゃあ……ファイア！。……
ほたる,……
智絵里,……
朋,えっ、弱っ
ほたる,ええと……
智絵里,あ、暖かい風が……きました……ね
朋,……
ほたる,も、もしかしたらサンダーの方がメインかもしれませんっ……！
智絵里,そ、そうですよっ！見てみたいな！朋さんのサンダー！
朋,……サンダー！。……
ほたる,……
智絵里,……
朋,静電気レベル……
ほたる,はわわわわ
智絵里,はわわわわ
朋,……あたし、ファンタジーの才能ないのかな
智絵里,た、たいきばんせいなんですっ！きっと！
ほたる,だ、誰でも最初はこんなものですよ……！
朋,……
ほたる,……
智絵里,……
朋,……ま、落ち込んでてもしょうがないわね！
ほたる,ほっ
智絵里,ほっ
朋,？。とりあえず、今後の動きを決めましょうか？
ほたる,そうですね……
智絵里,でしたら、あっちに見えるお城を目指しませんか……？
朋,お城？……あっ、ホントだ！
ほたる,あの規模のお城なら、城下町も大きそうですね……
智絵里,まずは情報を集めましょうっ
朋,でも、スライムにお城に呪文……まるでド◯クエみたいな世界観ね……
智絵里,はい……まるで◯ラ◯◯みたいな世界観です……
朋,せっかくの伏せ字を器用に無効化するのやめてくれない？。わ！結構栄えてるわね！
智絵里,お城も大きいです……
ほたる,とりあえず適当な人に……
朋,あ、すみません！。だ、ダサくないし！！！
ほたる,お、落ち着いてください……
朋,いきなり煽るなんてどういう了見なのよ！？。それはもう聞いたから！。だーかーらー！。もう！！！NPC！！！
ほたる,このツッコミは滅多に聞けないやつですね……
智絵里,ともかく、お城に向かいましょうか……？
朋,大丈夫かしら？こういうの、いきなり捕まったりとか……
ほたる,その時は……少し眠っていただきましょうか
朋,冤罪が現行犯になるだけよ
智絵里,このほたるって人に脅されて……
朋,仲間を売る予行練習をしないの。うわっ、広い……！
智絵里,豪華なお城ですね……
ほたる,王様とかに話を聞ければ早いのですが……
朋,ううん……あれ？
ほたる,あっ
朋,ち、ちょっとそこの……。やっぱり！菜々ちゃん！？
メイド長・ナナ,ええと……ご、ごめんなさい、どこかでお会いしましたか……？
朋,えっ
ほたる,どうやら、私たちの知っている菜々さんとは別人のようですね……
朋,あ、そうなんだ……じゃあ、性格も違うかも……
智絵里,メイドさんのお仕事が終わったらやっぱり一杯飲むんですかっ？
ナナ,そうそう、疲れた体にこの一杯が効くぅ～……って！ナナはお酒飲めない歳ですからっ！！！
朋,菜々ちゃんだ～！！！
ナナ,わひゃう！？
朋,――というわけなの
ナナ,そ゛うなんでずか゛ぁぁぁ……
朋,そ、そんなに泣く！？
