橘ありす,おはようございます
宮本フレデリカ,ありすちゃん！！！
ありす,声が大きいですよ……どうかしましたか？
フレデリカ,結婚しない！？
ありす,ええ！？！？！？。けっけけけけけけけっこん！？い、いやいやそ、そんなわたしはふれれりかしゃんをそんなめでみてるわけでは
フレデリカ,しないの？
ありす,で、ででですからこころのじゅんびといいますかやはりこういうのはおつきあいからはじめるべきでそんないきなりなんて
フレデリカ,残念……
ありす,ざ、残念って……も、ももももしかして
フレデリカ,せっかくフレちゃんがありすちゃんの結婚式のプランを考えてあげようと思ったのに！まだ予定がないならしょーがない！
ありす,……
フレデリカ,？
ありす,……はい？
フレデリカ,あ！言い忘れてた！今日のフレちゃんはウエディングプランナー！みんなの幸せをプロデュースしちゃうよ！
ありす,……
フレデリカ,？
ありす,……
フレデリカ,い、痛い！！！
ありす,それで、何がしたいんですか
フレデリカ,怒ってる？
ありす,怒ってません！！！
フレデリカ,わ！びっくり！
ありす,と、とにかく、ウエディングプランナー……でしたか
フレデリカ,最近はありすちゃんも積極的で嬉しいな～
ありす,諦めているだけです……
フレデリカ,もう6月でしょ？テレビで昨日、やってたの！
ありす,ああ、ジューンブライドの季節ですからね。それ関連のお仕事の特集もあるでしょう
フレデリカ,みんなの幸せのために働く……！これこそやりがいだよね！
ありす,まあ……素敵なお仕事とは思いますが……
フレデリカ,ありすちゃんはどんな結婚式をしたい？
ありす,どんなって……まだ小学生ですし……
フレデリカ,やっぱり身内だけでしめやかに？
ありす,それ葬儀の時に使う言葉じゃないですか？
フレデリカ,まあまあ、雰囲気だけでも♪
ありす,そうですね……なんとなくですが、教会で挙げたいという気持ちはあります
フレデリカ,シャベル！
ありす,チャペルです。誰が穴を掘るって言いましたか
フレデリカ,それでそれで？
ありす,衣装はやっぱり、純白の……
フレデリカ,ハチマキ！
ありす,台無しですよ。見たことありますか結婚式の衣装で真っ先にハチマキの色を指定する花嫁！
フレデリカ,まだない！
ありす,これからもない！
フレデリカ,続きをどうぞ！
ありす,まったく……とは言っても、ここからは普通に進行してくれればいいと思いますが……
フレデリカ,普通に？
ありす,はい。2人は互いを愛することを誓い……
フレデリカ,うんうん
ありす,そして誓いの……
フレデリカ,誓いの……？
ありす,キ、キス……を……
喜多日菜子,……しようとした瞬間に勢いよく開かれる教会の扉……！そこに立つは王子様……！！！
ありす,！？
フレデリカ,！？
ありす,ひ、日菜子さん！？
日菜子,そして王子様に手を引かれ、愛の逃避行へ……むふ。むふふ……
フレデリカ,日菜子ちゃんの世界に入っちゃってるね！
ありす,か、帰ってきてください！
日菜子,ところがどっこい！！！
ありす,なんなんですか！
日菜子,その王子様も実はニセモノ！
フレデリカ,急展開だね！
日菜子,逃げ出した花嫁はとうとう辿り着いた！王子の待つ約束の地……
フレデリカ,マクドナルド
日菜子,そう、マクドナルド……？お、王子様……？
フレデリカ,ご一緒にポテトはいかがですか♪
日菜子,ポテト……でもカロリーが……
ありす,混乱させないであげてください
日菜子,はっ！
フレデリカ,やっほー♪お目覚めしるぶぷれ～？
日菜子,あ、あれ？フレデリカさん……ありすちゃん……？
ありす,むしろ私たちの方が先にいましたが……
日菜子,そうでした～、部屋に入るなり、”結婚”とか”誓いのキス”とか、妄想パワーが湧きたつワードが聞こえてきまして～
フレデリカ,今日のフレちゃんはウエディングプランナーなんだよ！日菜子ちゃんはどんな結婚式にしたい？
日菜子,結婚……結婚式……！！！むふふふふふふふ……！！！！！
ありす,また旅立ってるじゃないですか
日菜子,まずはですねぇ～、日菜子を取り合う王子様を何人かキャスティングしてもらって……むふ
ありす,結婚って知ってます？相手は自分で用意するんですよ
フレデリカ,じゃあマナミ王子とアイ王子とナツキ王子を呼んでおくね！
ありす,全員女性では……
日菜子,むふふふ～！！！！！
ありす,いいんだ……
フレデリカ,それでー、3人の王子みんなと幸せに～
日菜子,それは違います
ありす,！？
フレデリカ,！？
日菜子,もちろん、ハッピーエンドそれ自体を否定するわけではありません。妄想だからこそ、誰もが幸せになっていいはずだという意見、ごもっともです。でも、それでも、誰か1人を選ばなければいけないという苦しみが、選ばれなかった人間の悲しみが、そのマイナスの思いこそがハッピーを色濃くする最高のスパイスになるんです。選ばなければいけないからこそ、揺れる。選ばなければいけないからこそ、迷う。選べるという最高の自由が、選ばなければいけないという最悪の不自由に化ける時！その物語の本質が滲み出て、見ている人の心を掴むんです！！！
フレデリカ,う、うん……
ありす,そ、そうなんですね……
日菜子,そして、小さな、寂れた、誰もいない礼拝堂で……真実の愛を……むふふふふふふふ！！！
フレデリカ,これ、ウエディングプランナーいらないんじゃないかな！
ありす,そもそもターゲットが間違えてるんです
フレデリカ,他に誰か結婚したい人いないかなー？
ありす,いたら大問題ですよ
フレデリカ,なんで？
ありす,なんでって……アイドルなんですよ？そんな行き遅れるとか、結婚できないとか、そんなの気にするべきではないです！
佐藤心,うおお～、何だよみんなしてジューンブライドジューンブライドって……！どうせはぁとは崖っぷちで行き遅れですよう……！結婚してえなあ……☆
フレデリカ,……
ありす,……
フレデリカ,ありすちゃん
ありす,見ちゃいけません
心,お、フレちゃんとありすちゃんじゃーん☆
ありす,げ
心,オイ☆
フレデリカ,何かおしゃべりしながら歩いてたけど、お悩み事？
心,あちゃー、聞かれちった？
ありす,というか心さん、以前はアイドルはぁとはみんなのモノだからとかはぁとにはスイーティーなファンがたくさんいるもんとか言ってたじゃないですか
心,スウィーティーな☆
ありす,めんどくさっ
心,とはいえなー、そりゃアイドルのうちは平気でも、将来を考えるとさ？さすがにはぁともブルーになるっての☆
フレデリカ,じょうねーつの！まっかなばーらをー！！！
ありす,今はブルーなはぁとさんの話をしてるのであってブルーハーツの話はしてません
心,そのツッコミできるの以心伝心かよ☆。ってかありすちゃん、ようやくはぁとって呼んでくれた！？
ありす,では心さん、忙しいのでこのあたりで
心,いけずぅ～☆
フレデリカ,それで、佐藤さんはどんな結婚式をしたいのかな？
心,距離感☆はぁとって呼べな？
