期間は2/27,水
P,朋花！足ツボマッサージのレポーターをやってくれ！
朋花,低俗な欲望が透けて見えるようですね～、お断りします～♪
P,あれ？おかしいな。朋花！可憐と一緒にオススメのアロママッサージを受けてみないか！
朋花,そういって足ツボマッサージを受けさせるつもりですね～♪お断りです～♪
P,あれ？。朋花！ちょっとこの椅子に座ってみてくれ！
朋花,その装置から邪悪な気配を感じますのでお断りします～♪
P,あれ？。朋花！この車は外から見えない構造になっていてだな
朋花,プロデューサーさん？何か企んでいませんか～？
P,ぐっ！？。くっ、このままじゃいつまでたっても朋花に足ツボマッサージを受けさせることはできない･･･。こうなったら最後の手段か･･･
朋花,子豚ちゃんたち～、今年もちゃんと良い子にしてましたか～？。うふふ～♪私が良いと言うまで可愛い声で鳴かないとダメですよ～♪
P,朋花の感謝祭･･･、毎度のことながらすごい盛り上がりだな
朋花,それではまずはライブパートから始めますよ～、盛り上がる準備は出来てますか～？。みなさ～ん、今日は私のために集まってくれてありがとうございます～。今日は思いっきり楽しんで、全てを出し切ってくださいね～♪。もう明日は声を出せなくなってしまっても構いませんよね～？。それではもう一度聞きますね。盛り上がる準備は出来てますか～？
P,もうなんか心配になるくらいの盛り上がりだな
朋花,望まないでね恋は銀色に光る不条理
P,その後は朋花の持ち歌で盛り上がったり
朋花,そうですね～、夜想令嬢の後から恵美さんと遊びに行くことが増えました～♪
P,子豚ちゃんからの質問に答えたり
朋花,この公演の前は皆さんとピクニックに行きまして～
P,今年の活動を振り返ったり
朋花,優しくされるたびに胸キュンッてなる
P,リクエスト曲のカバーをしてみたり。今年も流石のファンサービスだな･･･
朋花,さて、次のコーナーは～？。子豚ちゃんたちからの愛を私が受け入れるコーナーです～♪。聖母として、どんな愛でも受け止めてあげますからね～♪。毎年恒例ですが、愛の内容は天空騎士団の方が決めてくれるので、私は何も知らないんです～。去年は可愛い子猫ちゃんと遊ばせてくれて、一昨年は美味しい料理をご馳走してくれましたね～♪。今年は何をしてくれるのでしょうか～？
スタッフ,こちらの椅子にお座りください
朋花,はい～、おや？これは･･･
スタッフ,はい、それでは先生、お願いします。
指圧師,失礼します
朋花,んっ、肩のマッサージですか～、あぁ･･･気持ちいいですね～♪。あまりこういうものを受けたことが無かったのですが、んぅ、良いものですね～。ひゃ、その、あまり首の近くは触らないでくださいね～
指圧師,あっ、失礼しました
朋花,確かに気持ち良いですが、変な反応しないように気を付けないとですね～
P,くくく･･･始まったようだな･･･。この日のために天空騎士団の感謝祭担当者各位に入れ知恵をし続けた甲斐があった。最近疲労が溜まっていて、マッサージに興味があるようだ。彼らには朋花がくすぐったがりなことは伝えていない、完全に善意でマッサージを組み込んでくれているハズだ。そのため朋花のセンサーには引っかからず、朋花は彼らの善意を受け入れるしかない･･･。そして衣装を着ている状態で出来るマッサージは限られている。行きつくところは･･･。我ながら鬼畜な発想だ･･･
指圧師B,朋花様、失礼いたします
朋花,おや？もう一人ですか？
指圧師A,はい、本当は全身を施術できればよかったのですが
朋花,え？
指圧師B,衣装が擦れあがってしまってはいけないですから、裾を腿と椅子に固定いたしますね
朋花,あの
指圧師A,万が一に備えて椅子は側面に向けますのでご安心ください
指圧師B,では、私はアイマスクを着用させて頂きます。ブーツだけ、外させて頂きます
朋花,ちょっと、待っ
指圧師B,御免
朋花,ア゛ッッッッ！！！
指圧師A,大丈夫ですよ～、大丈夫ですからね～
朋花,かた、かたをっ、抑えないで
指圧師B,失礼
朋花,ふン゛ッンゥッ！！
指圧師A,衣装が崩れちゃいますからね～
朋花,はぁっ、はぁっ、ちょっと、待ってもら
指圧師B,凝ってますね～
朋花,いっっっッッ！！！。ちょ、ちょっと一旦待って、ください･･･。痛い、すごく、痛いですので･･･
指圧師B,痛いってことは悪いものが溜まってる証拠ですからね～
朋花,あアァッッッ!!!!!!。この人たち、まったく邪気を感じない、本当に良かれとおもって･･･。それは、分かってはいるんですが
指圧師B,徐々に楽になっていくハズですからね～
朋花,いっッたあぁｧ！！！！。もっ、無理、プロデュ、サ･･･
P,！。がんばれ、朋花･･･っ！
朋花,ちが、そうじゃ、助け
指圧師B,えい
朋花,ﾝｩｩｩぅうう！！！。誰かっ、だれか･･･！
舞台裏の騎士団A,朋花様の様子がおかしい！？
舞台裏の騎士団B,大丈夫なのか？
朋花,騎士団の方たち･･･っ！
舞台裏の騎士団A,そんなに疲労が溜まるほど頑張ってくれていたんですね、朋花様･･･！
舞台裏の騎士団B,俺たちからのささやかな御礼です･･･！
指圧師B,
朋花,もおおぉぉぉぉぉぉ！！！！！！！
指圧師B,
朋花,ｱｧｧｧｧｧｧｯｯｯ！！！！！
指圧師B,
朋花,ﾝｯ！････ｯｯ！！
指圧師B,
朋花,
指圧師B,
朋花,
子豚A,おい、朋花様大丈夫か･･･？
子豚B,我々はこの場面を見ていて大丈夫なのか･･･？
朋花,
指圧師A,これにて施術は終わりです。お疲れさまでした。
指圧師B,よく頑張りましたね
朋花,･･･。･･･
P,あっ、朋花ちょっと泣いてる
指圧師B,拘束を外させていただきます
指圧師A,では私たちはこれで
朋花,･･･。･･･待ってください。指圧師さん、今日は私のためにありがとうございました。
指圧師A,いえいえ･･･
朋花,それでは、そこに正座してください
指圧師B,え？
朋花,私の言ったことが聞こえませんでしたか～？今すぐ靴を脱いでそこに正座してください～
指圧師A,は、はいっ！
朋花,背筋は伸ばす！
指圧師B,はい！
朋花,次、プロデューサーさんとそこにいる天空騎士団の方々、同じくここに並んで正座してください～
P,え？
裏方の騎士団A,はい
裏方の騎士団B,はい
P,え？君たちなんでそんな早いの
朋花,早くしてください～
P,ひゃい･･･
朋花,今年も私のために企画してくれたんですね～、ありがとうございます～。ご褒美として、この後のステージを正座で観る権利を与えます～
P,あの、私は企画してないんですが
朋花,問答無用です
P,はい
朋花,さて、客席の子豚ちゃんたち～？。ちょ、ちょっとだけ痛かったですが、皆様からの愛は確かに受け取りました～♪。これからも、応援よろしくお願いしますね～♪。それでは、ライブパートに戻りますよ～！
指圧師A,え、これ本当に我々ステージ横で正座し続けるんですか
指圧師B,そうみたいですね
裏方の騎士団A,ﾊｲｯﾊｲｯ！
裏方の騎士団B,ﾊｲｯﾊｲｯ！
P,いつの間にサイリウムを･･･
朋花,きちんと背筋を伸ばしてくださいね～♪
P,はい
朋花,それでは行きますよ～♪
P,足ツボマッサージを受けてちょっと泣いちゃったり今も顔真っ赤で汗ばんでるけど。ファンからの善意に全力で応え、ファンのために全力でパフォーマンスするなんて。･･･まったく、朋花は最高だな！
長年の夢,？
