櫻木真乃,そうなんだよ～
ピーちゃん,ｸﾙｯﾎﾟｰ
風野灯織,え、ええっと……？どういう……
八宮めぐる,それほんと！？すごーい！！！
灯織,えっ……
真乃,私もびっくりしちゃった
灯織,ご、ごめん、言ってる意味がよくわからなくて……
めぐる,え？ピーちゃんの色でプロデューサーの状況がわかるんだよね？
真乃,そうだよ？あ、ピーちゃんっていうのはこのハトさんのことで……
ピーちゃん,ｸﾙｯﾎﾟｰ
灯織,い、いや、えっと、聞き取れてはいたんだけど、それ以前の問題というか……
真乃,それなら、一回見た方がいいかも……
灯織,そ、そうだね……？
真乃,あっ、早速
ピーちゃん,ｸﾙｯﾎﾟｰ
灯織,ひ、光った！？は、ハトが光った！？
めぐる,おお～！すごいすごい！
灯織,いやいや、おかしいよね！？発光してるよ！？
ピーちゃん,白
真乃,これは……真っ白になったね
灯織,いや、もともと白かったと思うけど……
めぐる,真っ白だとどういう意味なの？
真乃,うん、何かいいことがあったみたい
灯織,そ、そんなわけ……
P,うーっす、お疲れ～！
めぐる,あっ！プロデューサー！
真乃,おつかれさまです～
灯織,お、お疲れ様です……
P,おう！3人とも、元気そうだな！
めぐる,プロデューサー、ニコニコしてるね！
真乃,なにかいいことあったんですか？
P,お、わかっちゃうか？実はさっき、営業先から電話があってな。1つ、仕事が取れそうなんだ。ぜひウチのアイドルに！ってさ
めぐる,おおー！
真乃,やっぱり、いいことがあったんですね
灯織,ええ……？
P,やっぱり……？まあいいや、俺は仕事するから、3人は自由にしててくれ
めぐる,おっけー！
真乃,ね？灯織ちゃん。当たってたでしょ？
灯織,で、でも、偶然かもしれないし……いや、発光した時点で偶然も何もないけど……
めぐる,もー！灯織は心配性だねー？
灯織,心配性……なのかな……？
真乃,じゃあ、もう一回見せれば納得してくれるかな？
灯織,そう都合よく……
ピーちゃん,ｸﾙｯﾎﾟｰ
めぐる,わお！！
灯織,ええ……！？
ピーちゃん,黒
真乃,黒くなったねっ
灯織,これもうカラスにしか見えないけど
めぐる,黒ってどういう意味なの？
真乃,黒は、白の反対だから、何か悪いことがあったみたい
灯織,悪いことって……プロデューサーはそこで普通に仕事してるけど……
P,……
灯織,なんか凹んでる……！？
めぐる,プロデューサー！
P,あ、ああ……どうした？
灯織,プロデューサーの方こそ、どうしたんですか……
真乃,何か悪いことが……？
P,す、すまん、顔に出てたか……いや、大したことじゃないんだ。ちょっとPCがクラッシュして、徹夜した企画書が全部消えたくらいだから
灯織,一大事じゃないですか！？
めぐる,そっかー……
真乃,元気出してくださいっ！むんっ！
灯織,いや、そんな軽い話じゃないと思うけど……
P,そうだな！くよくよしててもしょうがないな！
灯織,えっ、メンタル強っ……！？
P,俺はちょっと打ち合わせで外に出てくるな。留守を頼んだぞ
めぐる,わかった！
真乃,気をつけてくださいね
P,おう！
灯織,ぜ、全然流れについていけない……
真乃,ね？灯織ちゃんもこれで納得してくれた？
灯織,う、うん……いや納得はしてないけど……
ピーちゃん,ｸﾙｯﾎﾟｰ
めぐる,あ、もとの色に戻ってる！
真乃,プロデューサーさん、もう大丈夫みたいだね
灯織,なら……いいけど……
ピーちゃん,ｸﾙｯﾎﾟｰ
真乃,わわっ！
灯織,ま、また！？
ピーちゃん,緑
めぐる,あ、緑色だ！
灯織,こ、これはどういう意味？
真乃,緑茶を飲んでるだけみたい
灯織,そのレベルで反映されるの！？
真乃,ううん、ピーちゃんが”これは知らせなきゃ！”って思ったら教えてくれるんだよ？
灯織,これピーちゃんの意思だったの！？
めぐる,すごーい！賢いんだね！
灯織,そ、そういう問題じゃないと思うけど……
真乃,ありがとうね
ピーちゃん,ｸﾙｯﾎﾟｰ
めぐる,すごいすごい！
ピーちゃん,ｸﾙｯﾎﾟｰ
灯織,まあ……すごい……のかな？
ピーちゃん,……
灯織,なんで黙るの……！？
めぐる,もー、灯織がまだ、ピーちゃんを疑ってるからじゃないの？
灯織,そ、そんなこと言われても……
真乃,まあまあ、灯織ちゃんもちょっと慣れてないだけだよね？
灯織,発光するハトに慣れてる方が問題だと思う……
めぐる,そろそろ次の色になるころかな？
真乃,そうかも
灯織,どういう予想……？
ピーちゃん,ｸﾙｯﾎﾟｰ
灯織,でもちょっと慣れてきてる自分がいる……！！！
ピーちゃん,黄
めぐる,今度は黄色だ！
灯織,き、黄色……！？黄信号とか言うし、これって良くないことなんじゃ……
真乃,カレーを食べてるみたい
灯織,それだけ！？
真乃,ピーちゃん、おなかすいたのかな？
めぐる,じゃあパンあげる！
ピーちゃん,黄
灯織,気分に左右されるの……？
ピーちゃん,ｸﾙｯﾎﾟｰ
真乃,ほわっ！連続だね
ピーちゃん,金
めぐる,これは……黄色っぽいけど、金色……かな？
灯織,えっと……これは？
真乃,これは、めぐるちゃんの色だね。プロデューサーさん、めぐるちゃんのことを考えてるみたい
めぐる,そうなの～？嬉しいな～！！！
ピーちゃん,金
めぐる,わっ！まただね！
灯織,薄い……ピンク？
めぐる,わかった！真乃の色だ！
真乃,ほわ……そ、そうだね……
ピーちゃん,桃
めぐる,続くね！
灯織,こ、この流れだと……私の……
ピーちゃん,緑
真乃,カレーを食べ終わって、お茶を飲んでるんだね
灯織,おかしくない！？。えっこの流れで来ないとかあるの！？
真乃,プロデューサーさん、ご飯食べるの早いからね
めぐる,ゆっくり食べなきゃ体に悪いのに～！
灯織,そ、そういう問題じゃなくて……！
ピーちゃん,ｸﾙｯﾎﾟｰ
めぐる,次は何色だろ！？
灯織,全然ワクワクできないんだけど……
ピーちゃん,赤/水色
灯織,えっ！？
めぐる,わぁ！赤色と水色が交互に！
灯織,な、なにこれ……！？
めぐる,ピーちゃんの色がリズミカルに変わってく！
灯織,あ、赤と水色が交互……？
真乃,太鼓の達人をやってるんだね
灯織,何してるの！？
真乃,同じバンダイナムコ系列だから大丈夫だよ～
灯織,そういうことを言ってるんじゃなくて！
めぐる,あ、黒になった
真乃,失敗したんだね……
灯織,だから何してるの！！！
めぐる,まあまあ、きっと打ち合わせまでヒマを潰してただけだって！
真乃,うんうん
灯織,それにしたって……
真乃,ほら、ピーちゃんの色が落ち着いてきたから、打ち合わせが始まったのかな
灯織,そもそもハトの色が落ち着くって何……？
ピーちゃん,緑
めぐる,あっ、またお茶飲んでる
灯織,お茶はもういいよ……！
めぐる,そろそろ打ち合わせも終わるころじゃないかな！
真乃,そうかも……
ピーちゃん,ｸﾙｯﾎﾟｰ
めぐる,あっ！さっそく！
灯織,なんか新しい連絡手段みたいになってる……
ピーちゃん,白
めぐる,白だ！打ち合わせ、上手くいったみたい！
真乃,うんっ！
灯織,受け入れるしかないのかな……
ピーちゃん,白
灯織,ま、また光りだした……
ピーちゃん,紺
めぐる,紺色！これは？
灯織,どうせ大したことじゃないんでしょ……？
真乃,これは、”歩いていてふと見たらすごい可愛い娘がいたから声をかけたんだけど不審者扱いされちゃって青い服のお兄さんたちに囲まれちゃってる”って状況みたい
灯織,警察呼ばれてるよね！？というかそんなに詳しく状況わかるの！？
めぐる,ドジなんだから～
真乃,そうだね～
灯織,笑ってる場合！？
ピーちゃん,白
めぐる,ほら！白くなったってことは大丈夫だったんでしょ？
真乃,うんうん
灯織,スレスレでしょ……
ピーちゃん,白
灯織,打ち合わせ終わってから多くない！？
ピーちゃん,虹
灯織,なんかもうハトとは思えない色になってるし！！！
めぐる,きれい～！！！
灯織,虹色のハトだよ！？目を覚まして！
めぐる,これはどういう状況？
真乃,スターを拾って無敵になってるんだよ
灯織,！？
めぐる,すごーい！！！
灯織,今日イチ理解できない……！！！
真乃,道行く人や自転車をものともしないで事務所に帰ってきてるみたい
灯織,ものともしてよ。もう人間じゃないよ
ピーちゃん,ｸﾙｯﾎﾟｰ
めぐる,あ、戻った！
ピーちゃん,黒
めぐる,と思ったら黒に！
真乃,無敵切れ直後に敵に当たっちゃったんだね……
めぐる,BGMちゃんと聞かないから……
灯織,もうなんなの！！！！！
P,戻ったぞ～
めぐる,あ！おかえり！
真乃,打ち合わせ、どうでしたか？
P,ああ！いい感じだ！
めぐる,やったね！
灯織,……
P,って……あれ、灯織、どうした？
灯織,今日、全然2人についていけなかったな……。アイドルなのに、会話のノリとか掴むの苦手だし……。そういえばプロデューサーも、真乃とめぐるのことは考えてたけど、私のことは……。やっぱり私、アイドル向いてないのかな……
ピーちゃん,青
灯織,あ……ピーちゃん……慰めてくれるの……って、青？
めぐる,青色は……
真乃,うん、灯織ちゃんの……！
P,灯織
灯織,あ……ごめんなさい
P,ほら、資料。目、通しておいてくれ。な？
灯織,……え？
P,”え？”じゃないだろ。お前ソロの仕事だよ。頑張って取ってきたんだから
灯織,打ち合わせって……これの……？
P,どうにか3人の仕事にできないかってのも考えたんだけどな。これは灯織1人に任せた方がきっと上手くいく。……どうだ？
灯織,や、やります……！
P,ならよかった
灯織,あ、あの……
P,ん？
灯織,あ、ありがとう……ございます……
P,……ああ
ピーちゃん,赤
めぐる,わ！赤色だ！
真乃,プロデューサーさん、灯織ちゃんに真っすぐお礼を言われて、照れてるんだね
P,何か言ったか？
めぐる,わああ！な、なんでもないよ！！！
真乃,灯織ちゃん！よかったね
めぐる,灯織ならソロのお仕事もきっと上手くいくよ～！
灯織,2人とも……ありがと
めぐる,……照
真乃,……照
灯織,？
ピーちゃん,ｸﾙｯﾎﾟｰ
灯織,あ……、ピーちゃんも、ありがとう。……最初は疑っちゃってごめん
ピーちゃん,気にするなよ
灯織,！？！？！？
真乃,灯織ちゃんもピーちゃんと仲良くなったみたいだし……
めぐる,ハッピーエンド！だね！
灯織,い、いやっ！今、しゃ、しゃべっ！！！
ピーちゃん,黒
灯織,ってまた黒！？
めぐる,プロデューサー！？
P,大丈夫だ。FXで貯金を全部溶かしただけだからな
灯織,何してるの！！！！！
