前スレ真,仮面ライダーも楽じゃないよ
Ｐ,律子ー、戸締りはー？
律子,大丈夫です。鼠一匹入れませんよ
小鳥,こっちもオッケーです。さ、帰りましょうか
Ｐ,はぁー、しっかしここまで厳重にやらなきゃならないかねぇ
律子,一応事務所ですから。人材が一番重要とはいえ、しっかりしておくに越したことはないですよ
Ｐ,いや、でもさぁ。俺っておおらかな郷育ちだから、こういうの何か嫌なんだよなぁ
小鳥,仕方ないですよ。ほら、最近は……
Ｐ,わかってますよ。物騒な世の中になったもんだなぁなんて、自分が言うと思いませんでいた
律子,そうだ、ちゃんとみんなに帰宅報告徹底させてますか？
Ｐ,やってるやってる。美希なんかめんどくさがってたけどな
律子,……最近の事件の多さ、本当に悪の組織でも暗躍してるんじゃないかと思っちゃいますね
小鳥,ショッカー？ゲルショッカー？GODですか！？
律子,はいはい、どれでもいいんですけどね。だって、奇妙じゃないですか
Ｐ,確かにな。誘拐が増えたとはいえ、大抵被害者は救助されてる。それから、テロなんじゃないかって噂されてる事もあるな
律子,響と貴音のステージで観客スタッフ全員眠っちゃったって聞いた時は何事かと思いましたね
Ｐ,何か都市伝説と化してるぞ今
律子,他にもいろんな所でテロ“未遂”が起きてるみたいですよ。全部未然に防がれてるみたいですが
Ｐ,うーん、悪の組織もそうだが本当に仮面ライダーでもいるみたいだな
小鳥,個人的にはやっぱり良太郎くんがいいなぁ
律子,私は光太郎さんが……って、それは流石に無いでしょう
Ｐ,わかんないぞー、悪の組織があるんだから正義の味方だっていてもいいだろ
小鳥,モモちゃんに罵られたいわぁ……
律子,だったら希望があっていいですね。それじゃ、失礼します
Ｐ,おう。律子も一応帰ったら連絡しろよ
律子,はいはい、わかってますよー
小鳥,はぁん！釣られちゃう！釣られちゃうわ私！
Ｐ,……帰ろ。寒いし
春香,……こっちも、ほら
真,あ、これはボクがやった
美希,こっちは？
春香,私
美希,で、これはミキがとっちめてやったの
春香,じゃあ……これは？
真,……ボクじゃない
美希,ミキでもないの
春香,やっぱり、私達が解決してない事件もあるみたい
真,でも、だとしたら変じゃない？確かに被害者は出てるけど、結局は戻ってきたり、怪我も無かったり……
春香,そうなの。だからちょっと相談したくて
美希,あ、店員さん。イチゴババロアくださいなの。あと鮭おにぎり……ないの？仕方ないからババロアだけでいいの
真,ってことは考えがあるんだよね？春香はどう思ってるの？
春香,ん、まずショッカーの目的なんだけどね
美希,世界征服なの
春香,だと、私達は思ってるし、実際私もそう聞いたんだけど。だとしたら、おかしくない？
真,まぁ、確かに。局地的すぎるというか、回りくどすぎるというか
春香,まるで本当に特撮ドラマみたいに、劇場型の計画が多くないかなって
美希,ゲキジョーガタ？
春香,えっと……私もちょっとかっこいいから使ってみたんだけど、合ってるかどうかわかんないよ？
真,なんていうか、見せつけるような事件が多いって事だよね
春香,そうそう、そんな感じ。いつもいつも何かする前に名乗ったりするし……
美希,ミキが見たDVDではショッカーってそんな感じだったよ？
真,そうだね。だけどそれが現実に起きてると……
春香,おかしいよね。人を改造出来るような技術力がある組織で、未だに警察に尻尾も掴ませてない。そんな組織が、こんな効率の悪いことを繰り返すかな？
真,うーん、どうだろう。何か他に意図があるのかな
春香,私、なんだかそんな気がするんだ。それに、真は話したかどうかわからないんだけど……。死神博士っていうショッカーの幹部がいるの。マントの人
真,いや、話してないなぁ。ボクの時はコブラ男が誰かの指示を受けて指揮してたから
春香,それでね、死神博士……なんていうか、寂しそうだったんだよね
美希,あ、それミキのなの。ありがとう店員さん。ん？そうだよ、星井美希。知ってるの？
真,寂しそう？
春香,モニター越しだし、気のせいかも知れないんだけどね。私が仮面ライダーの事を知らなかった時だから……
美希,サイン？いいよー。エプロンに書いちゃっていいの？ペンある？んっ、さらさらっと
春香,当然ショッカーの事も知らなくて。だから、死神博士に“ショッカーなんて知らない”って言ったの
真,そうしたら寂しそうな顔をしたの？
美希,ババロアおごり！？ありがとーなの！また来るね！あはっ
春香,そうなの。だから、もしかしたら本当は何か思う所があって……
美希,思う所があったら悪い事してもいいの？
春香,そっ……れは、ダメだけど
真,んー、春香が気にしてる事もわからなくも無いけど、ボクも美希と同意見だな。どっちにせよ、やることは決まってるよ
春香,うん……そうだよね。止められるのは私達だけなんだし
美希,そういう事なの。全部終わってから考えても多分遅くないの
真,……もうすぐ、終わるんだよね
春香,多分、だけどね。予感でしかないから
真,信じるよ。とりあえず最後まで戦い抜こう。ボクたちだったらやれるよ
美希,そうなの。ミキたちだけじゃなくて、千早さんや雪歩、響と貴音、それにでこちゃんだって応援してくれてるの！
春香,負けられないよね。それじゃ改めて……765プロ仮面ライダー部。ファイッ！
真・美希,おー！
Ｐ,えーと、春香は俺とな
春香,あ、はーい
Ｐ,じゃあ行ってきます。後任せました
小鳥,任されました！
Ｐ,うっしそれじゃ行くぞー。……どうした？何か忘れ物か？
春香,えっ！？あっ、いや、別になんでもないですっ！今日も頑張って行きましょう！
Ｐ,お、おう。そうだな、頑張ろう。おい、春香。本当に大丈夫か？眉間にシワ寄ってるぞ
春香,あぅぅ、やめてくださいよ。ん、いえ、ちょっと体調が。でも大丈夫ですよ
Ｐ,そうか？……ああ、そうか。言い難い事もあるもんな
春香,あの、セクハラやめてもらっていいですか
Ｐ,いっ、言ってないだろ何も！
春香,あはは、冗談ですよ、冗談
Ｐ,そういうのは反応に困るからやめてくれよ……
春香,ごめんなさいでした。えと、今日は関西の方でしたっけ
Ｐ,ああ、京都の方で……。お疲れー
春香,あ、プロデューサーさん。挨拶回り終わったんですか？
Ｐ,ああ、とりあえずな。一応この後は時間あるけど、何か見たい物とかあるか？
春香,んー、なんだかんだで京都も何回目かわかんないですからね……
Ｐ,お、売れっ子みたいな発言しやがって
春香,敏腕プロデューサーのおかげですかね？
Ｐ,もっと褒めてもいいぞ
春香,はいはい
Ｐ,……なんか律子みたいな言い方だな。悲しいぞ俺は
春香,愛ゆえにですよ
Ｐ,お、おう……
春香,今日の所は早く帰りましょうか。事務所の方も気になりますし
Ｐ,そうするか。……気になるって何がだ？
春香,あっ、いやなんでも……！？
Ｐ,ど、どうした春香！？頭でも痛いのか！？
春香,す、みません。ちょっと頭痛が……
Ｐ,あ、えっと、あの日だからか！？
春香,声大きいですし違います！ほんと、大丈夫ですから
Ｐ,そうか……？
春香,あの、私やっぱりちょっとゆっくりしててもいいですか？
Ｐ,そりゃ好きにしていいけど、本当に大丈夫か？俺もついて……。悪い、小鳥さんからだ。もしもし？。どうしました？何かあったんですか？。美希が！？体は大丈夫なんですか！？。良かった……いや、良くないですよ！何事ですか！！。わかりました、急いで帰り……春香？
春香,はぁっ、はぁ……
Ｐ,おいおいお前まで……どうしたんだよ一体……
春香,だいじょうぶ、です。それより、美希がどうしたんですか？
Ｐ,わからん。けど何か怪我してるらしい。急いで帰るぞ、いいな！？
春香,は、はいっ！
Ｐ,美希っおわっ！
春香,美希！！
美希,あ、春香。おかえりなのー
春香,美希、あれ？体は、えっと……
美希,なんかゆっくりしてたら治っちゃったってカンジ
春香,治っ……はぁ、もう……心配かけないでよ……
Ｐ,あのー、小鳥さん……
小鳥,違います、嘘じゃないんです。ほんとに、気付いたら傷が消えてて……
Ｐ,メイクでしょうか、番組の企画とか……
小鳥,私もプロデューサーさんも知らない企画なんて来ると思います？
Ｐ,うーん……あ、律子は知ってるとか
小鳥,現時点では不明です……仕事が終わり次第様子を見に来てくれるらしいですけど……
春香,やばっ、美希、すっごい疑われてるよ……
美希,大丈夫なの。だってあのままじゃ病院連れてかれる所だったの。そっちの方が確実にバレちゃうの
春香,そっか、それはそうだね。えっと……ところで、何があったの？
美希,……真クンが帰って来てから話すの
Ｐ,あ、あー、美希？体は本当に大丈夫なのか？
美希,ハニー、心配してくれてたの？
Ｐ,当たり前だろ。で、どうなんだ。平気なのか？
美希,うん、平気だよ。心配してくれて嬉しいの！
Ｐ,回避っ
美希,ああんなのっ
Ｐ,……そんだけ元気なら大丈夫だろ。結局何があったんだ？
美希,それは……
Ｐ,言い難い事か？
美希,すっごく言い難いの。言っちゃうとハニーも危ないし。そのうち説明するから、待ってて欲しいな
Ｐ,そういう事ならいいけど。あんまり心配かけるなよ……
美希,ごめんなの、あはっ
真,美希！ケガしたって！？
美希,あ、真クンおかえりー
真,……あれ？
小鳥,違うの、違うのよ真ちゃん……私嘘ついてないの……だからそんな目で見ないで……
真,小鳥さんならやりかねないと思って
小鳥,どういう意味なのそれ……
真,……はぁー、でも無事で良かったよ。名古屋からすっ飛んで帰ってきたのにがっくりだけどね
美希,ごめんなの。でも……その判断は多分間違ってないの
真,何言って……ああ、そういうことか
春香,あの、ちょっと美希と出てきますね
Ｐ,ん？何かいるものがあるなら、わざわざ美希を連れていかなくても俺か小鳥さんが……
春香,あ、えーっと、その……
美希,もうっ！ハニー、セクハラなの！
Ｐ,ええっ！？
美希,いくらハニーだからって見られたくない買い物だってあるの！女の子なんだから当たり前！なの
Ｐ,あ、ああそういう……今日その話ばっかりだな
小鳥,本当に大丈夫なの？なんなら私が……
美希,自分のは自分で選びたいの。小鳥もわかるでしょ？
小鳥,まぁ、それは……
