霊幻新隆,モブ、今日の仕事はデカいぞ。お前にもボーナスやる
影山茂夫(通称モブ),あ、ほんとですか……！
霊幻,おう、最上の時は結局報酬貰わなかったからな。今回はその時のも兼ねてな
モブ,それで師匠、今日はどんな依頼なんですか？
霊幻,おう、とある芸能人の護衛を頼まれてる
モブ,芸能人の護衛？なんで僕達が？
霊幻,ま、着いてくりゃ分かる。ここだな
エクボ,け、随分とまた辺鄙な所に連れてこられたな
モブ,あ、エクボいたんだ
プロデューサー,あ、霊幻先生！お待ちしておりました！
霊幻,どうも。こちらが今回の依頼主だ。前に心霊バラエティの番組に出た時お世話になった
エクボ,霊幻が公開処刑されたアレか
霊幻,うるせえよ
プロデューサー,いやぁ拝見させて頂きましたよ、先日の記者会見！アレ、霊幻先生の霊能力でしょう？私は最初から貴方が本物だと思ってたんですよ～
霊幻,……それで、詳しい依頼内容を聞かせていただきましょうか
プロデューサー,あ、はい！霊幻先生には彼女達のロケにご同行願いたいんです
霊幻,彼女達？
プロデューサー,はい。みなさん！こちらが今日我々を守ってくださる霊能力者の霊幻新隆さんです。自己紹介して！
丸山彩,あ、はい！私達、Pastel*Palettes(パステルパレット)っていうアイドルバンドやってます！ボーカルの丸山彩です。よろしくお願いします！
霊幻(ほう、なかなか可愛いな),どうも、世紀の霊能力者、霊幻新隆です。私がいるからには大丈夫です。あなた方を危険な目には合わせません
白鷺千聖,ベースの白鷺千聖です。今日はよろしくお願いします
氷川日菜,はいはーい！次アタシ！ギターの氷川日菜だよ！たしか霊幻さんって調味市の兄とか、第二の最上啓示とか言われてるすごい人だよね～
若宮イヴ,キーボードの若宮イヴです！霊能力者……陰陽師ですね！ブシドーを感じます！正々堂々よろしくお願いします！
大和麻弥,イヴさん、正々堂々の使い方間違ってますよ。あ、ジブンはドラムの大和麻弥です。どうもよろしくお願いします
霊幻,さて、それでは……今日行くのはあの廃病院ですか？
プロデューサー,そうなんですよ！バラエティの心霊スポット調査ロケなんですけどね、元々ここは戦時中に軍が運営してた病院で、黒い噂が耐えない場所なんですよ
霊幻,どうだ、モブ
モブ,そうですね、微かに感じますけど、悪霊ではなさそうです
千聖,あら、そちらの方は？
霊幻,ああ、こいつは弟子のモブです
モブ,どうも
千聖,そうですか、どうも
エクボ,おいシゲオ、あっちの嬢ちゃんなかなかいいケツしてんじゃねーか。ツボミちゃんとどっちがかわいいよ？
モブ,えっ………………。……………………
エクボ,いや、そんな真剣に悩むなよ……
プロデューサー,それじゃあ、そろそろ行きましょうか！
霊幻,おう、行くぞモブ
モブ,あ、はい……
彩,なんだか昼間なのに薄暗くて怖いな……
イヴ,心頭滅却すれば南無阿弥陀仏です！
麻弥,やっぱり、廃墟なだけあって荒れ放題ですね
日菜,なんだかるんってしたきたね～☆ん？千聖ちゃん大丈夫？顔色悪いよ？
千聖,え、ええ……
プロデューサー,ここが治療室ですね。噂だと凄惨な人体実験が行われていたとか……
霊幻,なるほどな……モブ、さっきと比べてどうだ？
モブ,……なんだか、すごく不気味な気配を感じます。それも、病院内に入った時から
霊幻,まあ、これだけ噂に尾ひれががついてたらそれだけでも力が集まってくるのかもな。おひきさんの時もそうだったろ
彩,あの……霊幻さん？
霊幻,どうしました？
彩,なんだかさっきから千聖ちゃんの様子が変で……
霊幻,様子が変……？
千聖,ううっ……
イヴ,チサトさん、体が震えてますけど大丈夫でしょうか……？
麻弥,歩くの大変だったら肩貸しますよ、無理しないでください
千聖,ええ、大丈夫よ。ごめんなさい……
エクボ,……この女、ここから遠ざけねーとやべえぞ
霊幻,どういうことだ？エクボ
エクボ,体内に霊素が吸い込まれてやがる。そういう体質なのかは知らねーが、このままじゃ悪霊に取り憑かれやすく……
千聖,……くく、くけけ
霊幻,ん？
彩,千聖ちゃん？どうしたの？
千聖？,今更気づいてももう遅い……この女は私が乗っ取らせてもらった！
イヴ,きゃあっ！
日菜,ち、千聖ちゃん……？
霊幻,モブ！
モブ,はい！
千聖？,っ！？……ほう？なかなか強い念動力じゃないか。だが私には通用しない！
モブ,あっ、まずい……
千聖？,ふふふ……この女に霊素を取り込ませて私との順応を高めておいた。もう易々と手出しはできんぞ！
霊幻,プロデューサー、全員を建物の外へ避難させてください。あとは俺とモブで何とかします
プロデューサー,は、はい！分かりました！
彩,あのっ！私は残ります！
霊幻,ダメだ、危険すぎる。仮に悪霊を彼女から追い出したとして、今度はアンタに憑依するかもしれないぞ
彩,でも……！
霊幻,大丈夫だ。ウチの弟子は優秀でな、必ず彼女を元に戻す
彩,……分かりました。信じてます
霊幻,……さて、どうするか
モブ,最上さんの時みたいに、融合しようとしてますね。これは外から除霊するのは難しいかもしれないです
霊幻,ということは……幽体離脱してアイツを中から引っ張り出すしかないのか？
モブ,そうなりますね……。最上さんの時に1回やってますし、要領は心得てます。エクボ、またこの身体、預けてもいいかな
エクボ,まあ、それしかねえよな……分かったよ
モブ,ありがとう。ふぅ……
？？,ほう、精神世界に侵入してくるか。キミも私と同じで、正気でないな
モブ,ごめんなさい、急いでるんでこの身体から出ていってください
？？,おっと。まあそう焦るなよ。私は悪霊だ。生前は軍医をやっていて、この病院に勤務していたんだ
悪霊,この土地は遡れば江戸時代、差別身分の人間達がひっそりと暮らしていてね。そこに軍が精神病院の隔離病棟を作ったのが始まりだった。
モブ,そんな話に付き合ってる時間は……！
悪霊,落ち着けと言っているだろう！
モブ,うわっ！
悪霊,……だが、それは表向きの話だ。本当は精神病に陥った患者を実験台にしていたんだ。なんの実験かわかるかな？
モブ,超能力が……使えない！
悪霊,少し君の力を奪ったよ、まあ危害を加えるつもりは無いがね。それで、なんの実験をしていたかと言うとだ。……君のような超能力者を人工的に生み出す実験だよ。私は医師であると同時にそこの主任研究員だった。だが、思ったように実験は進まなくてね。精神的に強い負荷をかけ、ストレスによる能力の覚醒という理論にたどり着いたまでは良かったんだが……私はこの土地にいたありったけの住人を実験材料にして徹底的に試し尽くし、己の理論が間違っていなかったということを証明したかった
モブ,なんで……人を救うのが医者じゃないのか……？
悪霊,まあ、たしかに初めは良心の呵責もあったな。だが次第にそんなことも忘れたよ。単純に実験が楽しくなってしまってな、アハハハハハ！
モブ,そんな……
