モバがついてるＰ(以降Ｐ表記),俺が翠に教えられるものって何かあったっけ？
Ｐ,ダンスや歌はトレーナーさんに聞けばいいんだし……あ、学校の宿題か？
翠,ち、違います！宿題は自分の力でやっています！
Ｐ,じゃあ弓道か？的に嫌いなやつの顔を思い浮かべて射るとよく当たるようになるぞ？
翠,そのような負の感情で弓を引いたり致しません！。あの、ご存知かとは思いますが…私、来週とある番組の出演が決まっておりまして…
Ｐ,そりゃもちろん知ってるよ。俺が取ってきた仕事なんだし
翠,…
Ｐ,…？
翠,お察しください…
Ｐ,…確か、あの番組は…。ご指導って、もしかして料理？
翠,…
Ｐ,…。やっぱ出来なかったのかぁ
翠,お、思ったとしても声に出して仰らないで下さい！
Ｐ,でもどうして俺に？まゆとか葵とか未央とか、適任な人材はこの事務所にはゴロゴロいるのに
翠,そ、それは…
Ｐ,…？。やっぱりイメージどおり料理できない天然さんだと思われたくないから極力みんなにバレないように出来るようになりたい、とか？
翠,お察し下さって凄く嬉しいのですが出来ればそう声に出して仰らないで頂けませんか
Ｐ,別に恥ずかしい事でもないのに…翠は意地っ張りといえか見栄っ張りというか
翠,み、見栄を張っているつもりは無いのですが…
Ｐ,菜帆や美由紀に天然な人は包丁持たせて貰えない
翠,…っ！。私は天然ではありません！包丁ぐらい持ったことはあります！
Ｐ,どんな時に？
翠,…。洗い物を手伝っていた時に、母から手渡されて布巾で拭いた時に…
Ｐ,よし、天然翠のためにみんなにバレないようにコッソリ練習しようか、なぁ天然翠！
翠,天然ではありません！天然ではありませんっ！
Ｐ,さて場所は変わって事務所の給湯室という名の調理室にやってまいりました。相も変わらずアイドル事務所の給湯室とは誰も信じないだろうなあ、と思うほどの本格的な設備が揃っております。おー、エプロン似合ってるな。見た限りじゃ料理できない娘には見えないぞ？
翠,す、すぐに出来るようになってご覧にいれますっ！
Ｐ,さて翠。まずは翠の料理知識チェックだ
翠,はい
Ｐ,では基本中の基本から。料理のさしすせそ
翠,はい、聞いたことがあります。さ
Ｐ,うん正解。ちなみにどこで聞いた？
翠,以前に美波さんから教わりました
Ｐ,よし、翠の知識は大体分かった。まずは手を洗おう。衛生管理は大事だぞ
翠,はいっ
Ｐ,次はレシピの確認だ。番組では何を作る予定なんだ？
翠,確か、肉じゃがとオムライスです
Ｐ,どういう組み合わせだよ…まあ、スタッフが求めている画は何となく想像つくけど。ちなみに、翠は肉じゃがとオムライスって知ってるか？
翠,知っていますよ！？
Ｐ,大丈夫か？オムレツじゃなくてオムライスだぞ？ビーフシチューじゃなくて肉じゃがだぞ？
翠,流石にそこは間違えようがありません！
Ｐ,了解、安心した。じゃあ材料の確認だ。あ、ちなみに料理のさしすせそのそ
翠,えっ？
美波,えっ？
アナスタシア,どうしましたミナミ？
Ｐ,人参、ジャガイモ、タマネギ、豚肉に鶏肉、卵。まぁ、基本はこんなもんだよな
翠,鶏肉は、オムライスに使うのですね？
Ｐ,そうだな、オムライスと言えばチキンライスが定番だからな。くれぐれも森久保を炊いたご飯ではないぞ？
翠,それは料理ではなく猟奇です。ではまずは何を致しましょう？
Ｐ,うーん…チキンライスをどう作るか、ちょっと迷うな
翠,と、仰いますと？
Ｐ,いや、普通に炊いたご飯をフライパンで炒めてケチャップでうりゃーって味付けして作る事ももちろん出来るんだが。炊飯器に生米と一緒に具材と調味料を投入してまとめて炊き上げる、なんて手もあるのさね
翠,まぁっ！炊飯器にはそのような機能が！？
Ｐ,まあ、今日は基本通りにろうか。じゃあまずは米を研ごう
翠,はい
Ｐ,うん、お約束だけど砥石はいらない。そうそう、米を潰さないように…。水は２回ぐらい変えれば十分だから
翠,もう、これで宜しいのですか？まだ研ぎ汁が白いままですが
Ｐ,それ、一応栄養素だからな。研ぎすぎても味気無くなるから適度でいいんだよ。じゃあ炊くぞー。オムライスにするから気持ちほんのり水は少なめに…っと
翠,それだとお米が硬くなってしまいませんか？
Ｐ,チキンライスを作るときに油分やケチャップの水分が加わる事を考えてな、その時点で帳尻を合わせておくのさね
翠,はぁ…奥が深いのですね
Ｐ,さて、米が炊き上がるまでの時間で他の作業だ。野菜の皮剥きいくぞ
翠,は、はいっ！
