モバＰ,みんなが売れたのは俺のおかげだ！
Ｐ,候補生から面倒見て、営業して、曲作ってもらって。なにかあったら頭下げて、フォローして、とりなして。安定してきたら別の子を紹介して、次の仕事に繋げて、また営業して。全部、全部、全部俺のおかげだ！俺がいたから上手くいったんだ！。それなのに、それなのに……こんな小さい部署に飛ばされるなんてぇ……。社長のやったこと、犬畜生以下だ。鬼だ。外道の極みだ！うわぁあああああ！
千川ちひろ,毎日毎日、よくもまあ飽きませんね
Ｐ,飽きるもんか！俺は今頃、売れに売れたアイドルたちの甘い汁を吸っているはずだったんだ。それを、それをあの社長がぁ……
ちひろ,堕落一歩手前のあなたを見かねた、社長の気遣いでしょう
Ｐ,堕落してなにが悪い！俺はこの事務所でいくら稼いだと思ってるんだ！？
ちひろ,はした額ですね。私の個人資産の一割にもいきません
Ｐ,え、マジっすか
ちひろ,冗談です。事実なら私が働いてるわけないじゃないですか
Ｐ,あぁあああああ！嫌だ。この俺をおちょくるような事務員がいる部署なんて嫌だ！。辞めてやる。辞めてやるぞぉおおおおお！
双葉杏,プロデューサー、仕事辞めるの？じゃあ杏もやーめた
ちひろ,おはよう。杏ちゃん
杏,はいはい、おはよーございます
Ｐ,杏ちゃん！良い所に来た。一緒に社長に直談判しに行こう
杏,詳しく
Ｐ,俺の素晴らしさを説いて元の大きな部署に戻してもらう！
杏,杏はどうなるの？
Ｐ,俺は一生忘れないよ
杏,日本語でおっけー。じゃあ杏はソファーで寝るから
ちひろ,レッスンの時間になったら起こすわね
杏,自分で起きれるって
ちひろ,そう言って起きてきたことないじゃない。もう
Ｐ,杏ちゃんもさぁ！俺にもっと感謝すればいいじゃん！。ＣＤ出して不労所得が入るようにしたじゃん！それを思ったら直談判の一つや二つさぁ！
ちひろ,杏ちゃんには才能があったんです。あなたじゃなくても、そのうち芽が出てましたよ
Ｐ,はぁ、こういうこと言う事務員がいるの……芽吹かせるのを早めたのは俺なのに……
ちひろ,それに、杏ちゃんは感謝してますよ。そうじゃなきゃ自分から事務所まで来ませんから
Ｐ,引きこもりが出不精になっただけでしょ。感謝は態度ではなく俺への奉仕で表せ！
杏,杏が良い子になったみたいに言うの、こっぱずかしいからやめてくんなーい
Ｐ,悪い子だ、悪い子だ、悪い子だ！俺の栄転に手を貸さん子は悪い子じゃー！
神谷奈緒,朝から何叫んでんだよ……いつものことだけどさぁ
Ｐ,おお、神谷。今日も眉が素敵だな。どうだ、ちょっと触らせてくれよ。運気が上がりそうだ
奈緒,素直にキモイからやめろって！――だ、もう、本当に触ろうとするな！
Ｐ,福の神みたいな眉しといて何言ってんだよ！俺は運気を上げて元の地位に戻るんじゃい！
奈緒,福の神なら眉じゃなくて耳たぶだろ
Ｐ,冷静に突っ込みやがって……昔は俺の一言二言に顔を赤く青くしてたくせに！。そうだ。あの時の神谷は可愛かった。雨の日に傘を届けにきた神谷へ、折り畳み傘を見せつけてやった時のお前の顔ときたらもう
奈緒,もういいだろその話！Ｐさんは何回その話蒸し返すんだよ！？
Ｐ,神谷が反応し続ける限りに決まってるだろ。次はなんだ？新婚風グラビアの話でもするか？ん？
奈緒,あー、もうやめだ！Ｐさんとは口きかない！栄転でもなんでもすればいいだろ！。ちひろさん！あたし自主トレしてくるから、用があったら呼んでくれ
ちひろ,はーい。無理しないようにね
Ｐ,そうだぞ。無理するなよ。俺の査定に響くようなことするなよ！約束だからな！な！？
奈緒,うるせー！
Ｐ,口きいてんじゃねぇか！。あー、もっと俺のことを思ってくれる子はいないもんかね
ちひろ,奈緒ちゃんは割と思ってるほうですけどね
