周防桃子,お兄ちゃん！今日の桃子の誕生日は、桃子が自分でホットケーキを食べてくるから！
ミリP,以下P
P,桃子……俺が作るホットケーキに飽きたのか？
桃子,そうじゃないよ……お兄ちゃんの作るホットケーキは大好きだし、育やほかのみんなが作ってくれるのも……。でも……アイドルとして、さらに一歩進みたいから、桃子はなんでも自分一人でできるようになりたいの！
P,あー。なら、なんで外に行ってまでホットケーキを食べたがるんだ？。今日は誕生日なんだし、うわさの3000円するのだって頼んでもいいんだぞ？
桃子,あ……その……桃子だって気になるから……。それにまずは好きなのからっていうし……
P,よしよし
桃子,ん～……ﾊｯ
P,なら、もこもこ。おいで
もこもこ,もっ、もっ？
P,よーし、よし
もこもこ,もーっ！もーっ！
桃子,ﾑｽｰ。じゃあ、桃子は行ってくるから！
P,ははっ、怒られたな。さて……2時間持つかな？
桃子,ええーっ！。だ、大丈夫だから……まだメモしたお店は。嘘……。桃子だってレディなんだからねっ！。……桃子も、そんな風に忘れられるのかな。子役だった桃子なんか、すっかりみんなの記憶からなくなってきちゃったのかなぁ……。今の桃子だって……。そんなのって……。桃子がアイドルをやっていたなんて覚えている人なんて、どれだけいるんだろう……。……うん
育,じゃ、帰ろうか。今日は私が作ってあげるから
星梨花,材料とか用意しますね
桃子,うん……ありがとう。小さくても自分の役割には一生懸命に……だよね
育,お待たせっ！前のよりおいしくできたよっ！
星梨花,じゃあ、飾り付けをしますね
P,で、探し物は見つかったか？
桃子,……ううん。だって。ここには……探しきれてないものが、まだまだ沢山あるみたいだからねっ
P,あぁ、探し尽くすまでは傍にいてやるからな
せりちょ,わー
いくいく,やー
