塩見周子,結局プロダクションマッチフェスティバルSのSってなんだったんだろうね
安部菜々,Sが付く、で思い出すのはセーラームーんっふぇっふっはァ！何でもないです！
周子,ソダネー
木場真奈美,……菜々君、ここにいたか
菜々,あ、真奈美さん！おはようござ――。へ？
真奈美,晶葉君の研究室を襲ったという疑いが君にかかっている。ちょっと来てくれないか？
周子,……え？
菜々,そんな、急に何を……
真奈美,証拠もある。この写真を見てくれ
周子,この後姿は……
菜々,こ、これは……！
真奈美,付いて来てくれるか？
菜々,ち、違います！私じゃありません……私じゃないんですぅぅぅぅぅっ！
周子,菜々さん……
姫川友紀,……菜々ちゃんが木場さんに連れてかれてもう一週間だね
周子,晶葉ちゃんも壊された発明品の修理にかかりっきりで事務所に顔出さないし……
友紀,菜々ちゃんと周子ちゃんとあたしで組む予定だったユニット、今も二人でレッスンを続けてるけどどうなるんだろう……
菜々,……
友紀,菜々ちゃん！
周子,よかった、菜々さんは無実やねんね？
菜々,……
周子,……菜々さん？
菜々,……！
周子,友紀ちゃん危ないっ！
友紀,うぐっ！
周子,に、ニンジンが友紀ちゃんの肩に……！？
友紀,菜々ちゃん、一体何が……！
？？？,待ちなさい！
菜々,！
周子,みくちゃん！？
前川みく？,いいえ、違います……
周子,みくちゃんの顔が開いた！？
友紀,みくちゃんの中に菜々ちゃんが！？
菜々,ごめんなさい友紀ちゃん、私が駆けつけるのが一歩遅かったせいで……
友紀,いや、いいけどこれは……
真奈美,それは私が説明しよう
周子,木場さん！
真奈美,初めに言っておこう、晶葉君の研究室を襲った事に関して菜々君は無実だ
周子,よかった……菜々さんがそんなことする人じゃないって事、あたし信じてたよ
菜々,周子ちゃん、ありがとうございます……！いえ、今はそんなことを言ってる場合じゃないんです！
真奈美,周子、私が菜々君を連れていった時の事を覚えているかい？
周子,うん。木場さんが晶葉ちゃんの研究室を襲ってる菜々さんの写真を見せて……あれは菜々さんじゃないの？
菜々,あれはナナじゃなくてウサミン星に伝わる守護神、ウサミンカイザーなんです。なぜか暴走してしまっていますけど……
友紀,星の守護神ならカイザーじゃなくてダイザーじゃないの？
真奈美,そして偶然のあが使っていて無事だったみく型パワードスーツ、ロボマエカワを晶葉君が一週間かけて対ウサミンカイザー用に改良したのが、今菜々君が着ているものだ
菜々,晶葉ちゃんはこれはもはやロボマエカワではない。ロボマエカワを超えた存在、ロボマエカワGだ！と言っていました
友紀,ロボマエカワG……！
周子,だったら、なんで菜々さんは一週間も姿を見せんかったん？
菜々,カイザーに立ち向かうには、ナナがただロボマエカワGを着るだけじゃ足りなかったんです
真奈美,だから私とマスタートレーナーが付きっ切りで菜々君を鍛えていたんだ
菜々,まさに地獄の特訓というやつでした……
真奈美,特訓に付き合ったおかげで恥ずかしい話だが、私は菜々君をここに送り届けるだけで体力が限界でね。戦いの邪魔にならないように晶葉君の研究室の片付けを手伝ってくるよ
友紀,だったらあたしたちもここに居ない方が……
菜々,いえ、周子ちゃんと友紀ちゃんはここに居てください
周子,あたし達が？戦いの邪魔になるってば
菜々,そんなことはありません。二人とも、ベテラントレーナーさんのレッスンはしっかり受けていましたよね？
友紀,もちろん受けてるけど……
菜々,なら問題ありませんよ。皆さんもこのロボマエカワGで戦う基礎は整っています！
周子,菜々さん、それってどういう――
ウサミンカイザー,……
菜々,！話は後です！まずはナナがカイザーを消耗させます！
友紀,……菜々ちゃんが居なくなってもう一週間だね……
周子,晶葉ちゃんも壊された発明品の修理にかかりっきりで事務所に顔出さないし……。あ、電話。あたしが出るよ。……はい、こちら――プロダクションでございます。いるよ？。うん、分かった。それってもしかして……！
友紀,周子ちゃん、千葉に行こう！
周子,あ……
友紀,……うん
周子,……
友紀,みんなー！今日はあたしたちユキシュミンのライブに来てくれてありがとーっ！。今日はみんなに大切な告知が一つありまーす！周子ちゃん！
周子,あたしたちユキシュミンは新メンバーを募集します！。新メンバーオーディションの応募条件は17歳のウサミン星人だよ。我こそはって人は五月十四日、――プロダクションの事務所まで！
真奈美,ユキシュミンの新メンバーに17歳のウサミン星人を募集、か
周子,ユキシュミンのユキは友紀ちゃん、シュはあたし
友紀,そしてミンは……ウサミン星人のミンだから
真奈美,……なるほどな。だがここまで大々的に募集をしてしまったからにはもう後戻りはできないぞ？
周子,……
真奈美,これで駄目なら――
友紀,……うん、分かってる
真奈美,そうか、それならいい。残り数時間、頑張ってくれ
友紀,……もうすぐ十五日だね
周子,……うん
友紀,……周子ちゃん、そろそろ帰る準備しよう？
周子,……友紀ちゃんはそれでいいの？。ねえ、友紀ちゃんってば――
友紀,そんな訳ないじゃん！
周子,っ！
友紀,あたしだって……あたしだってっ！。あたしだってまだ……！
周子,……！
友紀,……！
？？？,ユキシュミンの新メンバーオーディション、まだ間に合いますかっ！？
周子,……ウサミン星人ですか？
？？？,アイドルになるためにウサミン星から地球にやってきた永遠の17歳ですっ！ユキシュミンのメンバーになるために来ました！
友紀,おかえり……ううん、いらっしゃい！
周子,あたしたちはあなたを歓迎するよ！
菜々,……よろしくおねがいしますっ！
