村上巴,ひ、ヒラヒラしてて落ち着かんの……
矢口美羽,おおーっ、巴ちゃん、白いワンピース似あってますね！
巴,そ、そうか？Ｐがこういうのがええ言うたけぇ、着てみたんじゃが……
美羽,うんっ！とってもかわいいよ！
巴,う、ウチにはかわいい要素など必要ないけぇ、やっぱり着替えて……
棟方愛海,おおぅ……素晴らしいぃ……っ！
愛海,みんなかわいーっ！！
巴,わぁっ！？な、なんじゃ愛海か、びっくりさせんでくれ
美羽,あ、愛海ちゃん？アイドルがしちゃいけないような顔をしてますよ……
愛海,ぐふふふ……これが正気でいられるか、だよっ！。普段より薄着な開放感……！。清純なイメージ……！！
巴,な、なんじゃワレ……！
美羽,愛海ちゃん、どうしたの！？
愛海,うひ……うひひひ……巴ちゃんかわいいよーっ！！
巴,お、おぬし何を言うとるんじゃ……！
愛海,おおぅ、その顔もイイねぇ！それじゃいただきまーっす！！
巴,わぁぁぁっ！？
美羽,ああっ！巴ちゃんっ！！
？？,……やれやれ
巴,……ん？
美羽,……あれっ？
木場真奈美,全く……。オイタが過ぎるようだな、お嬢ちゃん
愛海,なん……だと……！？
巴,あ、姉御！ど、どうなってるんじゃ……？
美羽,真奈美さん、瞬間移動したんですか！？
真奈美,ははっ、そんな大層なことじゃないさ。ただ、
？？,テレポーテーション！超能力ですねっ！
真奈美,愛海君が良からぬ事をしようとしたのが見えたからね
巴,誰じゃ今の
真奈美,さて、愛海君。……分かっているね？
愛海,……はい。しません。もうしません
真奈美,よろしい。では降ろしてあげよう
美羽,おおー、真奈美さんかっこいい……！
巴,ウチもあんな女性になりたいのう……
愛海,ごめんなさい……と見せかけて隙ありっ！
美羽,あっ、真奈美さんっ！
愛海,うおおおおぉーっ！！おっぱぁぁぁぁぁいっ！！
真奈美,おやおや、分かってくれたと思ったのだが――
愛海,へっ？
真奈美,……ふふっ。残念だよ
愛海,……ええっ！？
真奈美,ほら……捕まえた
愛海,おっぱいがぁ……！！おっぱいがぁぁぁぁっ！！
真奈美,さあ、おとなしくしてようか
愛海,ぐぬぬ……頭に当たっているのに……触れられないっ！！
巴,身から出た錆じゃけぇ、大人しくしとき
美羽,そうです！そんな子には誰もサービスしてくれませんよ！
真奈美,それで……反省は？
愛海,もうしません
真奈美,本当にか？
愛海,本当に揉みません
真奈美,むっ、あっちにマイクロビキニの雫君が
愛海,ええっ！？どこどこ！？雫ちゃーん、あたしが行くまで待ってて――
真奈美,……はぁ。仕方ないな
愛海,きゅぅ
美羽,えっ
巴,あ、姉御！？
真奈美,安心したまえ、首を傷めないように細心の注意を払った
美羽,そうですか……。あ、愛海ちゃん？
愛海,
巴,おお……
真奈美,大丈夫だ、そのうち目が覚めるよ
巴,姉御……かっこええのぅ！
美羽,……巴ちゃん？
巴,木場の姉御！流石じゃ！
真奈美,うむ
美羽,え？……えーと、どうしたらいいんだろう、この流れ。流石……さすが……ああ待ってください、何か思いつきそうなんですっ！
真奈美,……ところで巴君、美羽君
美羽,はいっ、何ですか？
巴,なんじゃ、姉御
真奈美,比奈君を見なかったかな。先程までは一緒だったのだが……
美羽,あれ……辺りにはいませんね。どこに行ったんでしょう？
巴,ん……、美羽、姉御。何か聞こえんかの
真奈美,ん？。……行ってくるよ
巴,あ、姉御っ！
美羽,あっ、行っちゃった。……愛海ちゃん？愛海ちゃーん？
愛海,我がおっぱい道に……一片の……うっ
美羽,……誰か来ないかなぁ
真奈美,むっ……。あれは
巴,どうしたんじゃ、姉御……おおぅ
姫川友紀,比奈ちゃーんっ！！ほらっ、ほらっ、ほらっ！！
荒木比奈,だ、だから駄目っス！わわっ、私この後撮影っスよ！？
友紀,えーっ、比奈ちゃんはあたしのお酒が飲めないのーっ！？うわー、悲しいなぁー？
比奈,わわわわっ、何してるんスか！？
真奈美,……巴君、見ないほうがいい
巴,うちの若いのがあげなことになったら、何本で済むのかのぅ
真奈美,やあ、比奈君。助けに来たよ
比奈,ま、真奈美さん！！た、助かったっス！
友紀,おおーぅ、真奈美さんだぁー。真奈美さんでもいいよぉ、飲もーっ！！
巴,友紀さん……相当ベロンベロンじゃな
真奈美,ああ……。友紀君、相当飲んでるな？
友紀,えぇーっ？ぜんっぜんだよー？
真奈美,そうか……
原田美世,うぅ……気持ち悪い……
黒川千秋,も、もうだめ……
巴,比奈さん、あれはなんじゃ？
比奈,二人とも、私をかばってくれて……でも
真奈美,ふむ、なるほどね
友紀,ぷはーっ！！……えーと、すみませーん！ビール……、ん、ビアーのほうがいいのかなーっ？
真奈美,やれやれ。友紀くん、ちょっといいかな
友紀,おーっ、真奈美さん！飲もう飲もう！
真奈美,待て、話を聞きたまえ
