さっき通りかかった飛鳥に食わせたら,これも新たな世界の枠か
比奈,って同人誌を……
柚,却下
比奈,それが私でなくてっスね……
由愛,あ……あの……ごめんなさい……
乃々,もりくぼは脅されたのです……次のライブであんなフリフリの衣裳を着たくなければと……
むつみ,何事も冒険心ですよ！
柚,何てモノを作ってくれたのさー――っ！。……と、とりあえず、ありすちゃんにこんなのが見つかったら。ナンデ……モウキタノ？。ヒィィ……オタスケヲ……
ありす,柚さん、私の……
柚,ギャアアアアアアア――！！
ありす,えっと……柚さんの落とし物を届けに来ただけなのに……
比奈,タイミングがっスね
由愛,わ、悪かっただけだよ……
あずき,あ、柚ちゃん。さっき……
柚,タスケテェェェ――！
穂乃香,きゃっ！ゆ、柚ちゃ……なんで私のスカートの中に
柚,タスケテタスケテタスケテ……
忍,また、いちごパスタ病かな？
柚,イチゴ……コワイ……パスタ……コワイ……
あずき,ならしばらく隠れ蓑大作戦だね
穂乃香,え？……しばらく柚ちゃんが私のスカートの中にですか？
柚,コワイコワイ……
モバP,以下P
柚,エ……プロデューサーサン……
P,おいおい、そんなとこに隠れて……
柚,イヤァァァァァァ！
穂乃香,きゃあああっ！
あずき,うわぁ……
忍,紐……
穂乃香,ち、ちなうの！洗濯物が乾かなくて……
P,エロ……
穂乃香,はぅっ！。うぅ……
P,お、おい、穂乃香？！
あずき,あちゃ……プロデューサーさんに見られちゃったか……
忍,しばらくヘコんでそう……
あずき,めでたしめでたし
柚、穂乃香,めでたくなんかないよ！！
忍,というか、勝手にエピローグを加えないで
あずき,えへへ
以上、フリスク,柚以外
