高村康夫,４４
テロップ,お笑いグループコメディゲリラ高村康夫４４
高村・今岡,どうもー！！コメディゲリラでーす！！
審査員,コントグランプリ2018決勝……！！優勝は……、コメディ……ゲリラー！！
高村・今岡,よっしゃあああああ！！！
テロップ,お笑いグループゴッサムシティ松崎雄司浜本義展
松崎,ようやったな、お前ら！！
高村,ま、松崎さん！！
浜本,今日の芸はなかなかおもろかったで！！
今岡,あ、ありがとうございます！！
松崎,それにしても前から思とったが……、ホンマ変わった奴やなぁ……！高村！
高村,そ、そうっすか……！？自分じゃあまり自覚してないんですけど……
松崎,今のは褒め言葉で言うてるんや！多少変わった奴じゃなきゃ、おもろいお笑いは作れんさかいのぅ！
高村,ど……どうも……
浜本,高村……、お前は変わっとるけど、根は真面目な奴やからなぁ……
今岡,浜本さん！！
松崎,お前、この年になっても童貞かぁ……！
高村,もう慣れましたよ……
浜本,高村、俺がいい女紹介してやろうか！？
高村,いや、いいです……
今岡,お前は彼女を作るよりも、アイドルを応援することに夢中だもんなぁ。高村
高村,ああ……。そうだよ……
浜本,何、お前いい年してアイドルに夢中になっとるんか！？
今岡,高村は、レインボーロードJの大ファンなんですよ！！
高村,今岡の言う通りですよ……。俺は重度のドルオタです……。でも引け目は感じちゃいません……
松崎,へぇ……！！純情なやっちゃなぁ、お前！！
喪黒,待ちなさい！！
高村,わああっ！！！
喪黒,……私はこの学校の用務員です！！
高村,ええっ！？
喪黒,あなた……、更衣室の中にある女子生徒の制服を盗もうとしましたね！？
高村,お、俺は……！！
喪黒,リュックサックの中にあるものは何ですかねぇ……
高村,ううっ……！！
喪黒,あなたのやろうとしていることは、れっきとした犯罪行為ですよ！！高村康夫さん！！
高村,ど……どうして俺の名を！？
喪黒,だってあなた……、テレビ番組によく出ている有名な芸人さんでしょ！？
高村,す、すみません……！！
喪黒,盗んだ制服は、元通り更衣室の中に置きなさい！そうすれば、今回だけは……
高村,わ……、分かりました……！！もう、こんなことはしません……！！。ああ……！今日は何て日だ……！！
喪黒,悪いことはするもんじゃありませんなぁ……。高村さん
高村,うわあ！！あ、あなた用務員さんでしょ！！何で俺の車の中に……！？
喪黒,……ナーンチャッテ！！私は用務員なんかではありませんから！！ホーッホッホッホ……
高村,お……、おい！！いたずらはよせよ！！じゃあ、あんたも不法侵入じゃねぇか！！
喪黒,ですがねぇ……。私はあなたの犯罪行為を止めたんですよ
高村,ううう……！
喪黒,制服を盗まれたら、間違いなく女子生徒たちは悲しい思いをしますよ……！！それに……
高村,……ですよね。俺のやったことが悪いことであるのは……、俺自身がよーく分かっていますよ……
喪黒,……そうですか。私の仕事柄、あなたを放っておくわけにはいきませんねぇ……
BAR,魔の巣
喪黒,私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
高村,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
高村,なるほど……。心のスキマを埋めるセールスマンか……
喪黒,何か飲み物を頼みますか？
高村,じゃあ、烏龍茶で……。俺は車を運転する身だから、飲酒運転はいけないですよね……
喪黒,あなたは真面目なお方ですなぁ……。高村さん
高村,もちろん、理解はしていますよ……。理解はしていますよ……
喪黒,でも、あなたは制服泥棒をやめることができず、繰り返してきたんでしょう！？
高村,……ええ。そうです……
喪黒,ひょっとすると、あなた……。生身の女性が怖いんでしょう！？
高村,……おっしゃる通りですよ。俺は小学校と中学校のころ、女子たちからいじめに遭っていました
喪黒,じゃあ……、今岡さんに恋愛の相談話をしたことがきっかけで今のコンビを作ったというのは……
高村,それは、世間向けの建前の話ですよ。実際の俺は彼女を一度も作ったことがないし……、今に至るまで童貞……
喪黒,でも、車の中を見渡すと、あなたはアイドルの女の子が好きそうですよねぇ
高村,まあ……、俺は彼女たちを女性と思っていませんから……。だから、ここまで夢中になれるんです……
喪黒,それと高村さん……。あなたは、家庭環境も複雑そうですよねぇ
高村,はい。俺の両親は赤帽を営んでいましたが……。母が持病を抱えながら事務をする傍ら……
喪黒,ところで……。あなたが26歳の時、お母様は亡くなられたんですよね？
高村,はい。母は自殺しました。母の死にショックを受けた俺は……。気がついた時には……
喪黒,確かこのころは……、あなたがお笑い芸人の道を志した時期とも重なっていますよね
高村,ええ……。お笑い芸人が本業なのか、泥棒が本業なのか……、自分でも分からなくなってきますよ
喪黒,しかも……。今に至るまで18年間に及ぶ窃盗の常習犯ですからねぇ……
高村,でも、制服を盗む理由が何なのか説明ができないんですよ！！いけないことと分かっているのに……
喪黒,制服を盗む理由ですか……？それは、あなたが生身の女性を怖がっているからですよ
高村,おそらく、そうかもしれませんよねぇ……
喪黒,でも、ご安心ください。あなたの女性恐怖症、私が治してみせましょうか？
高村,そ、そんなこと可能なんですか！？
喪黒,可能ですよ
高村,この人たちは……！？
喪黒,気に入ったお方を選んでください
高村,ということは……
喪黒,もちろん、あなたのお見合い相手ですよ
高村,でも……！俺は……！女性恐怖症のせいで、見合いだってことごとく失敗してきたんです！！
喪黒,選びなさい！！！
高村,うわあっ！！
喪黒,ほぅ……、このお方に決めたのですか……。あなた、意外と人を見る目がおありのようですなぁ……
高村,い、いや……。今のは指が勝手に動いて……
喪黒,決まりました……！今度、あなたはこのお方……、夏目美奈さんとお見合いをするのですよ！いいですね！！
高村,は、はい……
喪黒,お見合いの日時と場所は私から指定しておきますよ……！
美奈,あの……。高村康夫さんですよね……
高村,あ……、あなたは夏目美奈さん……
BAR,魔の巣
喪黒,どうです？お見合いはうまくいきましたか？
高村,いやぁ、全然……。俺も夏目さんも緊張してばっかりで、あまり話をすることさえできませんでしたよ……
喪黒,最初のデートをする時は誰だってそうですよ
高村,本当にこんなことで、俺の女性恐怖症が治るんですか！？
喪黒,ご安心ください。……ところで、高村さんは夏目さんと二度目に会う予定ができているでしょう
高村,え、ええ……。二度目のデートの日程も……。夏目さんと話し合って決めました……
喪黒,よかったですなぁ、高村さん。彼女が二度目のデートをOKしてくれた意味は大きいですよ
高村,はあ……。そうですか……
喪黒,あと、今回のお見合いを紹介した私の立場もありますからねぇ……。だから約束してください
高村,は、はい……
喪黒,夏目さんとの二度目のデートは、くれぐれもキャンセルしないでください。それと……
高村,わ、分かりました……。喪黒さん……。ただいまー！！
高村の父,お、おう……。今……、帰っ……たか……
高村,俺の親父は脳梗塞を患い、介護が必要になっている……。ああ、そうだ……。明日は夏目美奈さんとのデートの日だったんだ……。だ……だめだ……！！生身の女性が怖くて怖くてたまらない……！！会いたくない……！！。もしもし……、夏目さん……。俺ですよ……。高村ですよ……
喪黒,高村康夫さん……。あなた約束を破りましたね
高村,も……、喪黒さん……！！
喪黒,夏目さんとの二度目のデートはキャンセルしてはいけない……、もう制服泥棒は絶対にしてはいけない……
高村,だって、仕方ないでしょう！！俺の女性恐怖症はとても治りっこないです……！！もう何もかも諦めました！！
喪黒,いえいえ……。私どんな手を使ってでも……、あなたの女性恐怖症を治しますから！！。ドーーーーーーーーーーーン！！！
高村,ギャアアアアアアアアア！！！。な……、夏目さん……。そ、その格好は……！！
美奈,最近、都内の各高校で女子生徒の制服が盗まれる事件が相次いでいました……
高村,ああああ……！！！
美奈,高村康夫さん……、あなたを現行犯逮捕します！
高村,俺を理解してくれる女性なんてこの世に一人もいない。今までそう思っていましたが……、それは俺の勘違いでした
喪黒,高村さん……。あなたは取調室の中で、夏目美奈さんにこってり絞られたようですなぁ
高村,ええ……。悪いことばかり繰り返す、ダメ人間の俺に……。夏目さんは親身に接してくれたんです……
喪黒,ですが……。これだけマスコミに報道されたなら、あなたは芸能人としてもう終わりでしょうに……
高村,仕方ないですよ……。悪いのは俺ですから……。この罪は人生をかけて償っていくしかありません。それに……
美奈,この人は、一生を通じて私が面倒をみようと思います。話してみると、人懐っこくてどこか憎めない人ですしね……
高村は泣き崩れる。高村,ううう……
喪黒,昔から今に至るまで……、人間同士が何かしらの信頼関係を築くことにより、社会というものは成り立ってきました
