これは、混沌を極めし戦場を駆け抜けた彼女達,艦娘
蛇,
山城,イヤあぁぁァぁ！！気持ち悪いィぃ！！
扶桑,そんなこと言っちゃ蛇さんかわいそうよ……。困ったわ……
山城,
扶桑,山城、心配しないで……お姉ちゃんがなんとかするから……。この島に流れ着いてから何時間ほど経ったのかしら……。左右は砂浜、後ろには森と山……そして目の前は見渡す限りの海……。艤装の主砲にはもうほとんど弾がないわ……無理に島を出ても、すぐに深海棲艦のいい的になってしまうわね……。そうなるとやっぱり……ここで救助を待つほか無いのかしら……
山城,
扶桑,かわいそうな山城……私がなんとかしなくちゃ……。そうよ……山城っ
山城,……ふぇ？
扶桑,今はこんなことになっちゃったけど、私たちは決して不幸なんかじゃないわ。だって、私のたったひとりの妹と生きてまた一緒になれたんだもの
山城,お姉さま……
扶桑,はぐれちゃったみんなもきっと無事よ。だから、一緒に頑張って生きるのよ
山城,……はいっ！
扶桑,フフ……よしよしっ。それはそうと……おなかすいたわね
山城,お姉さま！私の秋刀魚缶が無事でしたっ
扶桑,本当？……でも、缶詰は日持ちするからまだ開けない方がいいわ
山城,
扶桑,とにかく、この砂浜は満潮駆逐艦ではない。そうだわ、食べられるものを探すついでに島を散策してみましょう
山城,食べられるもの……
扶桑,探せばかまぼこが泳いでるかもしれないわ
山城,コンビニかなにかあるかな。おにぎりたべたい……。フフッ
扶桑,ウフフッ。散策の前に、私たちが持っているものを一度確認しましょう……
山城,はいっ
扶桑,結構流されちゃったわね……
山城,妖精さんとはぐれたから瑞雲も飛ばせないわ
扶桑,困ったわね……。足袋※履物
山城,森の中は安心ですねっ
扶桑,そうね。でも、まずは島の全体を掴みたいから浜を辿ってみましょう
山城,お姉さま、すごい頼もしい
扶桑,怪我だけはしないようにね
山城,お姉さまとこうやってお散歩できるのも久しぶりですね
扶桑,そうね……。それに空もこんなに青いし……
山城,私、不幸なんかじゃないです
扶桑,ウフフ、私もよ……
山城,お姉さま……。お姉さま、主砲が重そう……
扶桑,ウフフ、なんてことないわ……
山城,ダメ、交代ですっ
扶桑,そんな、悪いわ……
山城,へっちゃらです！
扶桑,あら……
山城,よっこい……しょっ
扶桑,優しい子に成長したわね……嬉しいわ。疲れたわ……
山城,そうですね……
扶桑,このままじゃ悪戯に消耗するだけだわ……。このへんで一休みしましょう……
山城,賛成です、お姉さｍ……
扶桑,どうしたの山城？
山城,き、木の実が見えますよ！
扶桑,えっ、本当？
山城,ほら、あの森の方！
扶桑,偉いわ、山城っ
