Turn1,愛神が生まれた日
シャルル,ルルーシュゥ！何たる愚かしさかぁ！
ナナリー,お、お兄様もお父様も落ち着いてください。こほっこほっ
ルルーシュ,黙れ！朝はパンにしろと何度も言っているのに、米を出す方が悪いだろう！？
シャルル,貴様はワシを怒らせたぁ。覚悟は良いな？
ルルーシュ,どういう事だ！？
シャルル,どぉーんっ！
ルルーシュ,うっ！
ナナリー,お兄様！？どうしましたか！？・・・はっ！
ルルーシュ,目がうずく・・・
シャルル,貴様にぃ暴走済みのギアスを与えた
ルルーシュ,ギアス？なんだそれは？
シャルル,特殊能力ゥみたいなものよ。貴様の力は愛されるギアス。貴様を好いている者を対象としぃ、貴様への好意あるいは愛が極限まで高まる
ナナリー,・・・
シャルル,貴様を好いている者はぁ全部で１０人のようだ。一週間後までに１０人全員を満足させなければぁ、貴様はギアスの呪いにより・・・死あるのみ！
ルルーシュ,な、なに！？
シャルル,弊社開発のラァブメータァーを渡しておこう。一人満足させるごとにぃランプが１つ光る。つまぁり！貴様は一週間後の０時に１０個ランプをつけていなければならない！
ルルーシュ,お前の会社は何故こんなものを作っているんだ！
シャルル,ワシィは昨日も話した通りぃ今日から暫し出張だぁ。また生きて会えればいいなぁ？ルルーシュゥ
ルルーシュ,貴様！たかが朝食の論争で、やりすぎだと思わないのか！？
シャルル,だってショックだったんだもん
ルルーシュ,なっ・・・
シャルル,ではぁ、ワシは出張に行ってくる。さらばぁ、ルルーシュ！ナナリー！
ナナリー,お、お兄様が死んでしまうかもしれないなんて・・・そんなのイヤです！
ルルーシュ,大丈夫だよ、ナナリー。オレは死なない。それよりもそろそろ学校へ行く時間だ
ナナリー,はい・・・こほっこほっ
ルルーシュ,しっかり休んで早く風邪を治せよ
ナナリー,はい、お兄様。行ってらっしゃい。寂しいのでなるべく早く帰ってきて下さいね
ルルーシュ,まず１０人の中に誰が入っているのかを知らなくては・・・。今の所、女性陣に変化は見られない。あのクソ親父のハッタリだったのか？
リヴァル,今日の授業も退屈だったなぁ！ルルーシュなんて普通に寝てたもんな
ルルーシュ,そうだな
スザク,ダメだよ、ルルーシュ。そんなんじゃ留年しちゃうよ？
シャーリー,そうだよ！一緒に卒業出来ないなんてイヤだから！
ミレイ,おっはよ～！
カレン,もう放課後ですよ、会長
リヴァル,こんちわぁ！会長！
ミレイ,あら、今日は少ないわね
ルルーシュ,ナナリー、アーニャ、ジノ、ニーナは風邪で休んでます
シャーリー,最近風邪流行ってるね
スザク,僕たちも気を付けないとね・・・っと、すみません。そろそろバイトの時間なんで僕は帰ります
ミレイ,そう？おつかれ～！
スザク,はい。ルルーシュ、ナナリーから風邪うつされないよう気を付けて
ルルーシュ,あぁ。お前こそ風邪ひかないようにな
スザク,うん。じゃあ、お疲れ様です
ミレイ,いつもは賑やかなのに今日は５人かぁ。まぁ、たまにはこういう日もアリかもね
リヴァル,あ、今いるメンツって生徒会の初期メンバーっすね
シャーリー,確かに
カレン,あたしは入ったの少し遅めだったけど・・・
ルルーシュ,ほとんど誤差だろう
ミレイ,懐かしいわぁ。カレンが入ってきた時、カレンとルルーシュが付き合ってるんじゃないかってシャーリーが凄く心配してたのよね
シャーリー,か、会長！
ルルーシュ,そんな事話していたのか？そんなワケないのにな
カレン,そうよ。あたしがルルーシュなんかを好きになるわけないじゃない
ルルーシュ,なんかとは随分な言い草だな
カレン,あら、ショックだったの？
ルルーシュ,それはないが
カレン,あっそ
リヴァル,付き合うと言えば、ルルーシュは何で彼女を作らないんだ？
シャーリー,ッ！
ルルーシュ,どうでも良いだろう。そんな誰も興味を持たなさそうな話は
ミレイ,えー！？わたし聞きたーい！なんでぇ？
ルルーシュ,会長は話を面白おかしくしたいだけでしょ
カレン,あたしはルルーシュの話なんてどうでも良いけど！・・・でも、暇潰しに聞いてあげる。さぁ、話せ！
シャーリー,わた、私も聞いてみたいかも。ほら、同じクラスメートとしてルルの事を放っておけないというか・・・！
ルルーシュ,まるで学級委員長だな
リヴァル,シャーリー・・・どうみてもルルーシュのこと好きなのバレバレだよなぁ。それに気づかないルルーシュもルルーシュだけど。少し助けてやるか！。なぁ、シャーリーや会長もこう言ってるし白状しちゃえよ。何で彼女作らないの？
ルルーシュ,そういうのは相手の意思もあるだろう。作らないんじゃなくて単にオレに好意を寄せる相手が居ないだけだ
リヴァル,はぁ？
シャーリー&ミレイ,え？
カレン,ふふんっ。アンタ、ぶっきらぼうな所あるからモテなさそうだもんねぇ？
ルルーシュ,放っておけ
リヴァル,じゃあ、ルルーシュは良い相手が居れば普通に付き合うってコト？
ルルーシュ,あぁ。条件が合えばな
カレン,条件って何よ？
