西川保奈美,嫌です
モバP(以下P表記),そんな事言わずに！ホラ！
保奈美,死んでも嫌です
P,そこまで！？っていうかそんな事言ってる場合ぃ！？
保奈美,だって……だって！。おんぶなんかされたら！！うわこいつ意外と重いなってなるじゃないの！！絶対！！！
P,そんな事言ってないで仕事ォ！遅れるッッ！！
保奈美,そんな事とはなによそんな事とは！女の子にとってはデリケートな話題なんですからね！
P,デリケートとかセクハラとか今はそんな事言ってらんないんですよ！！このままだと乗り遅れる！！
保奈美,そんな事言って太腿触って楽しむ気なんじゃないの！？
P,多分楽しめる程の余裕はないです！ほらもうこんな時間！！
保奈美,私の太腿そんなに魅力ないってこと！？Pさんにとって太腿はその程度のものなの！！？
P,むっちりしてて非常に魅力的ですが時と場合というものがありますッ！！。あのですね？あと10分で目的地行きの新幹線が出発しちゃうんですよ。余裕を持って出た筈なのに信号と渋滞の連続で時間が押して、駅まで目と鼻の先まで来ましたけどロータリーでまさかの事故発生。見ての通り交差点は詰まった排水口のよう。タクシー降りて走った方がまだ間に合うぜってところが現時点の状況です
保奈美,はい
P,でもですね？幾ら履き慣れてるとはいえフレアーヒールで走るのはリスクが大きい。お化粧もしてるから汗で崩れるかもしれない。ここまでいいですか？
保奈美,よくないですフレアーヒールなら問題ありません！舞台裏で走り回るのなんてしょっちゅうだしお化粧だってそう簡単に崩れたりしません！
P,コンクリ甘くみちゃいけませんよ！こいつらヒールとなると途端に足取ってくるんですから！
保奈美,なんで男のPさんがそんな事知ってるのよ！
P,小学の時遠足でおませな女の子と靴交換した事あるからです！そもそもフレアーだと速度が出なくて間に合いませんからこのままだと！！
保奈美,じゃ、じゃあこうしましょう。靴交換してPさんが下足無しで走れば―――
P,それ今考えましたけど多分足のサイズが合わなくて走れないと思います！だから、ホラ！
保奈美,う、うぅ……嫌、やっぱり嫌よ！
P,だぁからそんな事言ってる場合じゃないってぇ！！
保奈美,だってだって！最近オペラとは関係ないとこの筋肉もついてきちゃって！ただでさえアレなのに！
P,大丈夫ですから！そうそう体重なんて増えませんから！
保奈美,それかな子ちゃんの前でも言える！？
P,言えませんごめんなさい！。でもマジで遅れますヤバイです保奈美さぁん！！
保奈美,じゃあ走りましょう！ぼんばー！
P,キャラじゃないし無理矢理感半端ないスね！！
保奈美,おんぶされるくらいなら多少のキャラ崩壊も辞さないわ！ええ！みくちゃんにも負けないくらい！
P,保奈美さんあんたもしかしなくてもかなりテンパってますよね！？
保奈美,初めてソロ貰った時よりかは確実に！寧ろあの時の方が地盤しっかりしてたわね！
P,意外と冷静だった！というかやっぱり走り方ぎこちない！
保奈美,じゃあどうしろって言うのよぉ！！
P,いやだからおぶりますってば！！。漫才やってる場合じゃないんですよ、本当に不味い！
保奈美,じゃ、じゃあ体重を感じずに負ぶさる方法を教えて！
P,そんな事言ってる場合じゃないのもおおおおおおおおおお！！
保奈美,わかってる！理不尽なのはわかってます！！でもそれでも重たい女だとは思われたくない！！私は重たくなんかないッ！！
P,面倒臭い女だとは思われてもいいんですか！？ねぇ！？
保奈美,だってかな子ちゃんより5キロも多いのよ！？身長2センチしか違わないのに！！Wはこっちの方が3センチ小さいのに！！
P,やめて差し上げて！
保奈美,特訓前ならWも5センチ！
P,かな子も頑張ってるから！ね！
保奈美,そもそもおかしいのよ。どうして健康的である筈のBMI23.3の値がこうものしかかってくるのか。56キロ？重たい方から三番目？身長170センチの雫ちゃんと同じ体重？どうなってるのこの事務所は！重力弱まってるんじゃないの！！
P,それ必ずと言っていいほど話題になるよね
保奈美,亜季さんより重いってのが納得いかないッッッ！！！
P,渾身の叫び
保奈美,というか真奈美さんと音葉さんあなたたち本当に人間なんですか！！？
P,人外といっても納得できる人たち
保奈美,あなたが言う！？そんな変な頭して！
P,いい加減にしてもらえます？
保奈美,Pさん、一体どうすればいいんですか。どうしたら私はこの業から逃れられるんですか……
P,そう言われましても…
保奈美,ただでさえ成熟系アイドルだとか、人妻臭がパないとか言われているのに、これ以上、どうすれば……嗚呼
P,そろそろ立ってもらっていいですか？
保奈美,冷たい
P,冬ですから。保奈美さん。確かにあなたはこの事務所で重たい方から三番目の体重かもしれない
保奈美,待って。面と向かって言われるとダメージが大きい
P,でもね、さっきあなたも言ったじゃないですか。BMIは健康的だって。なにがいけないんですか。寧ろ誇るべきですよ、みんな不健康って訳なんですから
保奈美,Pさん……
P,それに、みんなより少し重いからって、保奈美さんの魅力が下がる訳でもない。実際、保奈美さんの色気の方が勝って、体重の事知らない人の方が多いんですよ？
保奈美,本当……？
P,少なくとも僕は知りませんでしたよ
保奈美,それはそれで問題だと思います
P,あっはい。保奈美さん。僕はあなたの事を大変魅力に思っています
保奈美,Pさん……そんな、恥ずかしい
P,そしてそれはファンの方々も同じです。みんなあなたの色気に拐かされた、愚かなスレイブなのです
保奈美,恥ずかしい……Pさん
P,ぶっちゃけますと、この事務所を基準に考えたら頭おかしくなるので気にしないでいきましょう
保奈美,プロデューサーとしてその発言はどうなの？
P,時間無いので
保奈美,わかりました……
P,わかってくれましたか……！
保奈美,Pさんが物凄くわからず屋だったから、こちらが折れるしかないじゃない……っ
P,ぶち犯◯てぇけど今はもうそれでいいです！
保奈美,ただ、一つだけ聞きたい事があります
P,なんですか、なんでも言ってください！
保奈美,一度冷静になって考えたんだけど……
保奈美(16),この状況、嫌がる私を無理矢理説き伏せて肌に触るって展開なんだけど……青少年保護育成条例とか大丈夫？
P,。
