まんぜう屋のおばちゃん,以下姐さん
みら,みー？
ぴてぃ,ぴー！
櫻木真乃,ららら～、今日は未来さんの誕生日～
まのちゃん,むんっ
鳩,くるっくー
真乃,プレゼントは何がいいかなぁ？
姐さん,はぁ～～
ぴてぃ,あーころころ
みら,みー、みー
真乃,あれは……？。こんにちはっ！
まのちゃん,ぽやぽやぁ
鳩,くー
みら,わー
ぴてぃ,ぴー
姐さん,ん、客じゃなさそうだし……どちらさん？
真乃,えっと、私は
姐さん,そっか……あんたもアイドルってヤツか
真乃,はいっ、まだまだ新人さんですが
姐さん,うちにもなぁ……最近までは765さんとこのがよく遊びに来ていたんだがなぁ
みら,みー？
ぴてぃ,ぴー？
真乃,あは……あはは
姐さん,そうだ、ちょっと頼まれてくれないか？
真乃,はいっ？
姐さん,ちょっと瓦斯料金を払ってくるから、その間だけ店を頼めないか？
真乃,と頼まれて、店番をしているわけですが
まのちゃん,ふわぁ
鳩,ぽっぽ
真乃,暇ですねぇ……未来さんの誕生日プレゼントどうしよう
橘ありす,今日は未来さんの誕生日ということで、私の苦心の上の傑作ないちごパスタグラタンのデビューです
日下部若葉,そう言ってる時点でフラグが立ってるような……
栗原ネネ,と、とりあえず、千枝ちゃん達が行けませんから私達でありすちゃんを止めないと……
若葉,ん？お味噌のいい香り……
ネネ,本当ですね。焼きまんじゅうを思い出します
若葉,あ、ネネちゃんとこは練り混んである派なのね。私はかけて焼く派だから
ネネ,はい、まぁここで焼きまんじゅう論を繰り広げることもないので……あ、ここですね
ありす,おまんじゅう屋さんですか？
ネネ,みそまんぜうってありますから、やっぱり味噌まんじゅうですよ。私、みんなのお土産に買ってきますね
若葉,あ、荷物になるから帰りに……
ありす,……行っちゃいましたですね
ネネ,こんにちはー
真乃,あ、はーい
まのちゃん,むんっ
鳩,くっくるー
ネネ,わぁ、可愛い……ぷちどるさんですか？
真乃,はい、まのちゃんっていいます
まのちゃん,むんっ
鳩,ぽー
ネネ,へぇ、よしよし
まのちゃん,ふわぁ～
ネネ,あ、でも鳩さんをお店に入れて大丈夫でしょうか？
真乃,あ、そうですね。すみません。……ごめんね。おねえさんが帰ってくるまでお外で遊んで来てね
鳩,ぽー
ありす,あ、扉が……え？鳩？店の中から？
若葉,気になるな、ちょっと私も入ってきますね
ありす,あ、あ……でしたら、私もいきます！
真乃,へぇ、焼きまんじゅうですか
ネネ,あ、じゃあコンロ借りていいかな？
真乃,んー、多分大丈夫かと……あ、でもウチの商品を勝手にいじるな！とか言うかもしれませんし……
姐さん,そんなことまでこだわらないからね
真乃,あ、あねえさん
若葉,お姉さんと姐さんが交じってるわね
ありす,お、お邪魔してます
姐さん,とりあえず、焼きまんじゅうってのをお願いできるかな？
ネネ,はいっ！
みら,わー
真乃,あ～、お味噌の焼ける香ばしい香りです
まのちゃん,ほわほわぁ～
ありす,味噌が焼ける成分には頭をリラックスさせる効能でもあるんでしょうか？
姐さん,まぁ、難しく考えなくても、日本人のDNAに刻まれたなんとかってヤツよ
ネネ,はーい、焼き上がりました
若葉,せっかくだから、Twitt○rにあげますね
真乃,うーん、お味噌の塩加減が熱々のあんこに……
まのちゃん,むんっ、むんっ
姐さん,焼いてもいけるんだな……うん、さすがうちの看板商品
若葉,この系譜もけっこう……あちち
ネネ,はい、お水です。焦って火傷しないでくださいね
ぴてぃ,あーころころ
姐さん,なるほど、出来立てを出すのも手だな
ネネ,はい……あ、もうこんな時間……
若葉,さすがにまずいわね……あ、おいくらでしたか？
姐さん,いいよいいよ。アイデア料金ってことで……ついでに人数分持って行きな！
ありす,わ、わわ
真乃,あ、ありがとうございます
まのちゃん,むむむんっ！
ネネ,じゃあ、急ぎましょうか
真乃,あ、私、まだプレゼントを選んでいません！
若葉,えっと……じゃあ
ネネ,あ、始まってますよ
ありす,えっと厨房は……
佐竹美奈子,おや？346の……と、どちらのぷちどる？
まのちゃん,むんっ
みんな,グッドタイミング！！
美奈子,えっ！？
最上静香,おめでとう、未来。これ、打ちたてのうどんよ
春日未来,あ、ありがとう静香ちゃん
伊吹翼,本当に静香は平常運転だね。あ、私はステーキ肉よ
箱崎星梨花,おめでとうございます。私は紅茶の葉を
矢吹可奈,私は歌を……もごもご
北沢志保,それはやめなさいっ！
美奈子,みんなー、スペシャルゲストによる追加オーダーが来たよー！
未来,わぁ……誰かな？何かな？
ありす,どうも。今夜がストロベリームーンということで、私のいちご料理をお持ちしました
未来,まさか！？
静香,噂に聞く！
志保,いちごパスタっ！？
未来,…………
志保,未来？
静香,ど、どうしたのっ？
未来,なんかおなかいたくなってきたなー
星梨花,わわっ、大丈夫ですか？
可奈,……演技が下手だねー♪
若葉,大丈夫ですよ。さっき、まんぜう屋さんでお薬をいただいてきましたから
未来,わー、ありがとー
美奈子,あははは、みんなが考えていることはわかるけど、普通のフルーツグラタンよ
ありす,もう、美奈子さん。サプライズなんですから、言わないで下さい
未来,本当だ……うん、熱々でおいしいよ
ネネ,私のミックスジュースと
真乃,焼きまんじゅうも召し上がれー
未来,あー、これってさっき先輩方がリプしていたのですか？
可奈,未来ちゃんいいなぁ
若葉,みんなの分もありますから、大丈夫ですよ
可奈,わーい、やったー！
志保,まったく、可奈ってば
星梨花,わーい
翼,星梨花まで？！
真乃,じゃあ、改めまして
では、昨日はぴょん吉,未来の中の人
