____,Refrain
都乃河:違いますよね。以前のインタビューで,麻枝さんの初期案ではもっとひどい結末だった
恭介,理樹………理樹？
理樹,……はっ！え、えっと……なに？
真人,次、理樹の番だぜ
理樹,え？あっ……
謙吾,どうした理樹？来ヶ谷に看病してもらってきてからずっとぼうっとしてるじゃないか
理樹,あっ、えっと……
恭介,フッ…とうとう理樹もそういう時期になっちまったか
理樹,そ、そういう時期って？
恭介,恋さ。理樹、お前は来ヶ谷に恋をしているんだ
理樹,えっ？
来ヶ谷,…………………。！。…………っ
恭介,そうか理樹……俺は前々から思っていたんだ。理樹は恋をするべきだと！恋に苦しみ、恋に傷つくことで人は成長する……恋愛が理樹を大人の男にするんだよ！
謙吾,となると、これから俺たちは全力で理樹の恋を応援することになるな。ふっ、任せろ。こう見えても巷ではロマンティック大統領と呼ばれている
真人,クッ……納得いかねえが理樹が幸せになることが俺の幸せだ。ここはおとなしく来ヶ谷にゆずってやるとするか……
恭介,よぅし！そうとなると早速作戦を立てよう！作戦名はオペレーションラブラブ……
理樹,だから待ってってば！
恭介,……理樹、いい加減水臭いぞ。こういう時は黙って俺たちの協力を……
理樹,そうじゃなくてさ……。僕は別に来ヶ谷さんのこと好きって訳じゃないから
恭介,えっ？
謙吾,うん？
真人,はっ？
来ヶ谷,……………え
理樹,確かに来ヶ谷さん、とっても美人だしスタイルもいいし中身だってとてもクールだよ。……でもなんというか合う気がしないんだよね。いつも心の奥まで見透かされてるようで怖いし……。それよりどっちかっていうとまだ他の女の子の方が……
来ヶ谷,あっ………え……？
真人,は、ははは……なんだよ！やっぱり理樹にそんな気なんかねえんじゃねえか！
恭介,そ、そうだったのか……い、いや悪い。勝手に盛り上がっちまったな！
謙吾,勘違いしてしまったようだ……そうか。理樹は来ヶ谷がそこまで好きだという訳でないのか…
理樹,いや、嫌いって訳じゃないんだけどさ……僕なんかとは釣り合わなさそうっていうか……
真人,まあまあ、いいじゃねえか！ほーら！早く続きやろうぜ！
理樹,う、うん……
来ヶ谷,………………………
理樹,ふぁああ……。ん……？。………………
真人,……………
理樹,……………っっ！？。あ……あ……
警部,ゆっくり降ろせよー！
警部A,はい！せぇのっと！
警察B,ええと……朝起きたらこうなっていたって事でいいんだね？
理樹,はい……
警察,そうか……それじゃまた後で詳しく聞くけどそれまで学校の中で待機しててくれるかな
理樹,はい……
恭介,……………理樹
理樹,あっ、恭介……
恭介,理樹……突然こんなことになって驚いただろう……
理樹,…………
恭介,食堂に集まろう。みんな待ってる
理樹,分かった………
恭介,もう、改めて言う必要もなさそうだがあえて言わせてもらおう……真人が死んだ。聞く所によると他殺……明らかに誰かが真人を死に追いやった形跡があるという。ここからは俺の推理だが……赤の他人が夜の学校に忍び込むことは難しい。つまりこの学校の中に真人を殺した犯人がいる
理樹,なっ！！
クド,わ、わふー！？そ、そ、それは……
恭介,取り越し苦労ならそれでもいい。だけど、もしも本当にいるとするなら！俺はその犯人を確実に探し出す！！
謙吾,俺も恭介に全力で協力するつもりだ
鈴,真人………
