２８３Ｐ,以降Ｐ表記
はづき,やんちゃって、あのクールビューティーの灯織ちゃんがですか？
Ｐ,あのクールな灯織がです
はづき,…プロデューサーさん。明日はお休みしたほうが良いのでは…
Ｐ,お、俺は正気です！
はづき,だって…あの灯織ちゃんですよ？
Ｐ,だからあの灯織がなんです
はづき,…。うっそだぁ
Ｐ,ほ、ほんとですってば！
はづき,またまたぁ～
Ｐ,本当ですってば！命賭けます！
はづき,いや要りません
Ｐ,え、ひどくない？
灯織,おはようございます
はづき,あら噂をすれば。おはようございます
Ｐ,お、おはよう灯織…
灯織,…？おはようございます。どうしたんですか？変な顔して
はづき,この人は元々こんな顔ですよー？
Ｐ,俺がどのような人生を送ってきてこのような顔になったのかあなたが知っているのか！
灯織,プロデューサー。今日のレッスンの予定はどうなっていますか？
Ｐ,え？あ、ええっと……１０時からダンスレッスンを入れてあるよ
灯織,覚えてはいてくれていたんですね。ありがとうございます。では準備をしてきますね
はづき,…
Ｐ,…
はづき,全然普通じゃないですか
Ｐ,ほ、本当に最近ちょっとおかしいんですって！
はづき,まったまたぁ～
Ｐ,い、命賭けます！
はづき,要りませんってば
Ｐ,はづきさん全然信じてくれないんだもんなぁ…社長は元から宛てにならないし。この事務所の癒しは真乃の鳩だけか…
灯織,真乃がどうかしたんですか？
Ｐ,うわぁ！
灯織,す、すいません…驚かせるつもりは無かったんですが
Ｐ,い、ぃやこちらこそゴメン。ちょっと考え事してたからさ…
灯織,そうですか
Ｐ,そうなんです。灯織について悩んでた、なんて本人には言えないけどなぁ
灯織,ところでプロデューサー
Ｐ,うん？
灯織,レッスン、終わりました
Ｐ,そうか。どうだった？
灯織,やはりまだまだ練習の必要がありますね。序盤はひたすらラジオ出演でメンタルばかり上げていた弊害でしょうか
Ｐ,それ以上はいけない。でもそっか…それじゃあもう少しダンスレッスンの枠増やしておこうか
灯織,そうして頂けると助かります
Ｐ,おう、任せとけ
灯織,プロデューサー
Ｐ,うん？
灯織,私、レッスン終わったんです
Ｐ,ああ、それは今聞いたけど
灯織,終わったんです
Ｐ,うん、だから聞い
灯織,終わったんです
Ｐ,お、お疲れ様…頑張ったな
灯織,…子供扱いはやめてください。それに頑張るのは当たり前の事です
Ｐ,ご、ごめん。二度としないように気をつけるよ
灯織,は？
Ｐ,ﾋｨｯ
灯織,プロデューサー。ちょっとお願いしたい事があるのですが…
Ｐ,珍しいな、どうしたんだ？
灯織,この前のオーディションの反省を踏まえてファッションの勉強をしたいのですが
Ｐ,ああ、ビジュアルレッスンか。分かった、予定に入れておくよ
灯織,ありがとうございます。では明日の１１時頃に駅前で良いですか？
Ｐ,え？
灯織,…？予定に入れて頂けるんですよね？
Ｐ,うん、そうだけど…何でそれで明日の話に？
灯織,私、明日はオフなんです
Ｐ,奇遇だね俺もなんだ
灯織,知っています
Ｐ,言ってないのに何故知っている
灯織,ありがとうございます。私ファッションにはあまり詳しくないのでプロデューサーのご意見を頂けると助かります
Ｐ,俺もそんなに詳しくはないよ！？そういう事なら真乃やめぐるに頼んだほうがいいんじゃないか？
灯織,めぐるは無駄に友達多くて忙しそうですし真乃はクルッポーですし
Ｐ,あれぇー？俺の知らない間にイルミネのチームワークどっか行った？
灯織,と言う訳で明日、よろしくお願いします
Ｐ,何がどうなってどういう訳！？
灯織,あ、肝心なことを忘れていました
Ｐ,常識？
灯織,卵焼きは甘いのとしょっぱいのどちらが良いですか？
Ｐ,甘いの
灯織,わかりました。では失礼します
Ｐ,…。……。…あれ、俺のオフがサラッと潰れたぞ？
灯織,プロデューサー、こっちです
Ｐ,お、お待たせ……悪い、早めに来たつもりなんだけど…
灯織,いえ、私もつい２時間前に来たばかりですし
Ｐ,時間の概念の差が凄い
灯織,チケットは買ってあります。１２時からの上映なのでまだ時間はありますね
Ｐ,あれ？ファッションの勉強したいって言ってなかった？
灯織,プロデューサーこの前アヴェ〇ジャーズ観てみたいってＣＭを見ながら言っていましたよね
Ｐ,確かに言ったね。自宅でね。１人の時にね
灯織,混雑する前に飲み物を買っておきましょうか。アイスコーヒーにガムシロとミルク３つずつでしたよね？
Ｐ,うんバッチリ正解。灯織は気が利く娘だなぁ
灯織,プロデューサー？白目剥いていると危ないですよ？
Ｐ,あ、ゴメンゴメン…ちょっと直視しきれない現実に直面したもんだからさ
灯織,じゃあ飲み物買ってきます。チケット持っていてもらえますか？
Ｐ,ありがとう。わぁ当然のようにカップル割り引きだぁ
灯織,面白かったですね
Ｐ,そうだね。上映中ずーっと灯織の視線俺に向いてたけど
灯織,特にこう、アイアンマンがベアークロー２刀流で２倍のジャンプに３倍の回転で突撃したシーンは、観ていてつい熱が入りました
Ｐ,灯織は一体何を見てたのかなー？あとそろそろ手を離してくれると嬉しいなー。握り締められっぱなしだからさー
灯織,すみません。他意は無いです
Ｐ,左手にようやく血が巡る
灯織,お昼時ですし、向こうの広場でお弁当食べましょうか
Ｐ,オナカスイタナー
灯織,えっ…ファンの方？写真ですか？ええ、どうぞ
