千川ちひろ,どうでしたか？
モバP,なんか思ってたのと違ってました
ちひろ,ちょっと興味あるんで詳しくいいですか？
P,ええ
ちひろ,パーティー会場に入ったところからお願いします
P,えーっとですね、ちょっとしたカフェみたいな所でした。それでまず受付でお金払って席に座るのですが俺結構迷っちゃって最後の方だったんですね、入るの
ちひろ,はい
P,そんで最初にプロフィールカード書く形になります。ニックネームと好きなテレビ・本・趣味・年収とかですね
ちひろ,はい
P,書き終わって少し待つと司会が説明して対面に座ってる女性と話します。だいたい3分くらいです。これを全員ですね
ちひろ,はい
P,で、3分ってすごく短いんですよ。挨拶してちょっと話するとすぐに時間きます。でも完全にこちらに興味ない人との3分はめっちゃ長いです
ちひろ,はい
P,男女20名くらいいましたね。それで一巡すると男性組女性組に分けられてお好きな方と話してねって感じになります
ちひろ,はい
P,それが終わったら誰が良かったか用紙に番号書いてスタッフに渡します。第三希望までありましたね
ちひろ,はい
P,そんで最後にカップルが生まれる感じになります。5組誕生してましたね
ちひろ,プロデューサーさんは？
P,あぁ、俺も上手くいったんですが会場出ると、その子今日予定あるんでバイビーって感じで終わりました…話しやすかった子だったのに…
ちひろ,ｗｗｗｗｗｗ
P,まぁでもどんなのか分かって良かったですよ…
ちひろ,へぇ～他に来てた方はどんな感じでしたか？
P,女性は綺麗な方が多かったですね。何で来たのって聞くと安かったからだと。他にも心さんみたいな方もいて人気でしたよ。男性も若い方多かったです。しかも年収600万以上がボロボロいましたね。ハイスペックボーイですよ
ちひろ,でもお金あっても相手見つからないんですね。私も年収1憶財布は妻に、とかなら興味あるのですが…
P,お金好きですもんね。後はパーティー事態物凄くあっさりって感じでした。場所用意して説明音声流してタイマー設置して3分トークの
ちひろ,文句たれたれですねｗｗ
P,文句という訳ではないですがドラマのようにはいかないですね。007みたいに行かないですよ
ちひろ,ふーん
P,っつー事で婚活パーティーで相手探すのはもう少し考えてやらないとダメですね。参加費男女ともに高めのだったら良い気がするんです
ちひろ,そうですかね。安い方が良いと思いますが
P,そうですか？あ、ちひろさん結婚とかしないんですか？
ちひろ,良い人がいたらしますよ
渋谷凛,プロデューサー！！
P,ど、どうしたの？
凛,何で婚活パーティーに行ったの！？
P,え、俺もいい年だし…
凛,ダメ！
P,でも…
凛,許さない…絶対に…。プロデューサーにはしばらくハナコになってもらうから。ちひろさんプロデューサー借りるよ
ちひろ,ええ、どうぞ
凛,行くよ
P,え…
