二宮飛鳥,寮への帰り道、ふらりとコンビニに立ち寄ったら
姫川友紀,当然ビールでしょ～、酎ハイも買って、それからそれから…
飛鳥,…買い物カゴにこれでもかとアルコールを放り込む友紀の姿がそこにあった
友紀,おつまみは何が良いかなぁ？かっらあげかっらあげ～♪
飛鳥,ゴキゲンだね、友紀
友紀,あれ、飛鳥ちゃんじゃーん！やっほー！
飛鳥,やぁ、お疲れさま。今日の収録は？
友紀,うん！ついさっき終わって、帰って来たところ！
飛鳥,確か山に行っていたんだろう？随分スムーズにコトが進んだようだね
友紀,ふっふっふ…。ぜーんぶ一発オッケーだったんだ！もうみんな絶好調でさ！
飛鳥,へぇ…。それは何より
友紀,まさに完全試合！…うーん、でもなぁ
飛鳥,でも、何か？
友紀,うん、ビールもあればもっと良かったかなぁって！あっははは！
飛鳥,…やれやれ、キミはいつもそれだ。しかし珍しい場所で会うものだ。家は反対ではなかったかな
友紀,今日は特別！今から比奈ちゃんちでお酒飲むんだ！
飛鳥,比奈さんと…。なるほど、それでこちらの道に
友紀,しばらく時間合わなかったから、もう楽しみでさぁ！
飛鳥,…彼女も何かと忙しいようだからね
友紀,なんか原稿？がどうとか言ってたっけ。でも、一段落着いたし、パーっとやりたいっスねって昨日言ってたんだ！
飛鳥,無事決着をつけたのか。良い報せだ
友紀,だから、お互いお疲れ様ってことで！今から打ち上げするんだよ
飛鳥,フム…。所謂オトナの特権、ってヤツだね。一仕事終えた後の解放感や達成感。滲み出るカタルシス。過ぎゆく宵は酔いと共に…
友紀,おっ、うまいこと言うね！名実況！。飛鳥ちゃんは何か買い物？
飛鳥,ボク？…そうとも言うし、そうでないとも言えるかな。おやつの残りはまだあったか、めぼしい新発売の商品は、そういえばまだ今週のギャンプを読んでいない、エトセトラ、エトセトラ…。そんなとりとめのないコトを考えながら帰り道を歩いていた所で、偶然此処に辿り着いた。だから立ち寄った。それだけのことさ
友紀,…そういうのを買い物って言うんじゃないかなぁ
飛鳥,キミがどう解釈し、ボクを認識するかはボクの定めるところではないよ。見解の相違は少なからず起こり得るものだが、しかしそれを強制する権利をボクは有していない
