そのきゅう,高垣楓の場合
輝子,ﾌﾋ…
楓,…
輝子,ﾌ…ﾌﾋ
楓,…！。…
輝子,…?
楓,…。…
輝子,ねこじゃらし振ってる…ﾌﾋ
楓,じゃれついてこないかしら…。じゃれついてきたら飼っていいわよね…うん
輝子,…?。行ったら危険な気がする…ﾌﾋ
番外,前川みくの旅路の果て
みく,た…ただいまにゃ
P,おう、おかえりみく。ところでなんだ?その木は?
みく,ひぃ!?また聞こえたにゃ!!?。はいにゃぁ!!!
P,…。おい、輝子
輝子,な…なに?親友?
P,ほどほどにな
輝子,わ…わかった…ﾌﾋｯ
そのじゅう,木村夏樹＆多田李衣菜の場合
夏樹,おーい！だりー！！。ったく…だりーの奴。ギターの練習するぞって言った瞬間逃げ出しやがって…。ん?。机の下か?
輝子,…ﾌﾋ?
李衣菜,…
夏樹,なんだ、この状況
輝子,ど…どうなってるんだろうね?
李衣菜,ん…
夏樹,おい、だりー
李衣菜,あっ…なつきちじゃん、おはよー
夏樹,なんで机の下で輝子に膝枕されてんだよ…
李衣菜,だって比奈さんが前にしてもらったって聞いて…。ちょっと眠かったし、気持ちよかったって聞いたし…ついでに隠れられるし。一石二鳥くらいじゃん！
夏樹,ほぅ…既にアタシに見つかってるわけなんだけど?
李衣菜,あっちゃー…輝子にそれっぽい子守唄頼んだのが仇になったかー
輝子,が…がんばった…ﾌﾋ
夏樹,と、いうわけで
李衣菜,…えっ?
夏樹,次のライブまでにまともにギター弾けるようになってもらうからなっ！！
李衣菜,あっ！輝子―！またお願いねー！
輝子,う…うん
そのじゅういち,道明寺歌鈴の場合
歌鈴,ふんふんふ～ん♪。たまには事務所のお掃除もたまにはいいな～♪。あっ…こんな所にバナナの皮が…。いくらドジな私でも見えてるバナナの皮には負けないですよ?。えっと…ゴミ箱は……!?
ドクベニダケ,やぁ
歌鈴,ふぇ！?
???,ﾌﾋ?
歌鈴,…んっ！。いったぁ…くない?
輝子,歌鈴さん大丈夫…?
歌鈴,輝子ちゃん?。輝子ちゃんありがとぉ…
輝子,こ…こちらこそ…親友たちが机の下から出ちゃってて…ﾌﾋ
歌鈴,うわぁ…プロデューサーさんの机の下がすごいことに…
輝子,う…うん、そろそろ収穫しないと親友に怒られる…
歌鈴,あはは…
輝子,あ…危ない目に…ごめんなさい…ﾌﾋ
歌鈴,えへへ…別に大丈夫だよ！輝子ちゃんのおかげで痛くなかったしね
輝子,そ…それならよかった…ﾌﾋ
※ドクベニタケはピンク色でとてもかわいらしい茸です,有毒
そのじゅうに,市原仁奈の場合
仁奈,きのこの気持ちになるですよ…！
輝子,ﾌ…ﾌﾋ
仁奈,仁奈はキグルミの可能性を追求しやがるのです…
輝子,…ﾌﾋｯ
仁奈,しょーこおねーさんは茸が大好きでごぜーます！
輝子,う…うん?。う…うん?
仁奈,ごぉーとぅーへるー!!でごでーます！
輝子,ﾌｯ…ﾌﾋ!?。う…うん?
仁奈,ごぉーとぅーへるー!!でごぜーます！
輝子,ﾌｯ…ﾌﾋ!?
仁奈,しょーこおねーさんの気持ちになるですよ…ﾌﾋ
輝子,え…え?
仁奈,ﾎﾞｯﾁﾎﾞｯﾁ♪ｲﾁﾊﾗﾆﾅｰ♪
輝子,な…なんか違う気が…しなくもない…ﾌﾋ
そのじゅうご,イヴ・サンタクロースの場合
イヴ,うぅ…仮眠室が全部埋まってて泊まるところがないよぅ…。うぅ…
P,ぐぅ…
イヴ,ソファーまで先客が…輝子さんの所いこ…。輝子さん～
輝子,は…はぁい…ﾌﾋ
イヴ,ごめん…今日も泊めてくれない…かな…?
輝子,う…うん当然いいですよー…ﾌﾌ
イヴ,いつもありがとうございますぅ～
輝子,き…気にしなくてもいいよ、ここ親友の机の下借りてるだけだし…ﾌﾋ
イヴ,このご恩はクリスマスに返します…おっきな靴下用意しててくださいね?
輝子,う…うん、期待して待ってる…ﾌﾋ
イヴ,あとよろしければこのデスクに煙突を…
輝子,い…いや…それはいい…かも
イヴ,じゃあ…今度温泉を一緒に…山の奥の温泉を探しにいきましょう！
輝子,そ…それくらいなら…いい…かも?
そのじゅうよん,川島瑞樹の場合
瑞樹,おはよう。あら?誰もいな…。机の下ね、わかるわ。そしてたぶん輝子ちゃんね、わかるわ。そして今、輝子ちゃんの周りにある茸の種類はナメコ、ニガクリタケ、ヤコウタケねわかるわよ?。そして、輝子ちゃんの今日のパンツの色は[自主規制]ねわかるわ。そして4分後にはPくんが来るわね、気配でわかるわ
輝子,…
番外そのに,遭難した二人を探して
P,くっ…二人ともどこに…行ったんだよ！
瑞樹,…あっちね、わかるわ
P,あっちですね！本当に川島さんが居て助かります
瑞樹,当然よ、代わりに今度の呑みはPくんの奢りね?。あとあっちの方でみくちゃんが泣きながら木を切ってるわね、なぜかはわからないわ
P,川島さん！行きましょう！
瑞樹,わかったわ。あとあっちの方でみくちゃんが泣きながら木を切ってるわね、なぜかはわからないわ
P,川島さん！行きましょう！
瑞樹,わかったわ
みく,にゃぁぁぁぁぁぁぁぁぁぁぁぁぁっ!!!
