不良,へっへっへ
そど子,あーれー
麻子,……行くぞ。いだぁっ！
みほ,きゃっ！
沙織,ぐえーっ！
華,あら
優花里,おっとっと
沙織,麻子大丈夫！？
麻子,あ、足をくじいた……うぐっ
みほ,無理に立たないほうがいいよ！
麻子,追わないと……そど子が！。うっ！？
優花里,私が追跡しますから冷泉殿は待っていてください！
麻子,すまない……
優花里,ダメです！完全にロストしましたぁ！申し訳ありません！
沙織,ゆかりんが謝ることじゃないよー！でもどうしよ……
麻子,うぅ……そど子ぉ
そど子,いつまで掃除させるのよ！早く解放しなさい！
ラム,こいつ一向に弱気にならないわね
フリント,適当に働かせて根を上げたら飯食わせて返そうと思ったんだけどねぇ
カトラス,……厄介なやつを放り込まれた
フリント,はいてーはいてはいてー♪
そど子,うるさいわね！マイクを持ち歩くのは校則違反よ！
フリント,あたいの歌が気に入らないっての！？
そど子,歌は素敵よ！風紀委員が認めるわ！
フリント,そ、そうかい？//
そど子,ほら！こっちは終わったわよ！次はどこ！？
ラム,うほっ！？早！そして完璧！
そど子,風紀委員を舐めないで！整理整頓清掃は基本よ！
カトラス,……もう掃除する場所が残ってない
ムラカミ,おいどうすんだ！今解放したらこっちが負けたみたいじゃないか！
お銀,そこまでよ
ラム,親分！
そど子,あなたがボスね？早く解放しなさい
お銀,いいよ、ほら鍵
そど子,まったくもう！冷泉さんは助けに来ないで何やってるのよ！私一人で帰ってやるわ！
フリント,待ちなー♪ここは学園艦の底の底。素人が下手に歩いたら迷子になっちまうのさ
そど子,じゃあどうすればいいのよ！帰れないじゃない！
お銀,仲間があんたを探してるんでしょ？おとなしくここに辿り着くのを待つことだね。揃ったらまとめて送ってあげるわ
そど子,しょうがないわねー
ムラカミ,なんか食ってけよ！腹減っただろ？
そど子,そういえばなんだかさっきから良い匂いがするのよね
カトラス,当店自慢の燻製
そど子,もぐもぐ……何よこれ！！ものすごく美味しいじゃない！
ラム,でしょー？
そど子,ひっぐっぐすっ……なんで誰も来ないのよぉー
お銀,まあまあ。寂しい気持ちはわかるけど辛抱よ。石の上にも三年でしょ？石の上で三年間どうやって生活するかは知らないけど
そど子,寂しくなんて無いんだからぁーー
ラム,さすがに気の毒になってきたわね
フリント,もうあたいらの仲間になったらいいじゃない♪
ムラカミ,歓迎するよ
カトラス,……あなたは器用だし仕事もしっかりこなすし、このまま店の手伝いをしてくれると助かるな
そど子,ほっ、褒めたって何も出ないわよ！！
麻子,そど子はまだ見つからないのか！
ゴモヨ,ごめんなさい。風紀委員や生徒会が下手にあのエリアに入ったら全面抗争になりかねないから……地道に調査するしなかくて……
みほ,麻子さん。園先輩ならきっと大丈夫だから。根気よく探しましょう
梓,大変です！！変な戦車？みたいなやつがいきなり学校に現れて暴れてます！！
みほ,戦車！？
お銀,根こそぎ奪っちまいな！
フリント,こいでーこいでー♪
優花里,マークⅣ！？なぜこんなところに！？
桃,あれは船舶科の連中じゃないか！あいつらが戦車を持ってたのか！
お銀,桃さん！？
麻子,ん……？あそこに乗ってるのって
そど子,……
麻子,そど子！そど子じゃないか！！
沙織,よかった！無事だったのね！ってなんであそこに！？
そど子,よくも今まで私を放置してくれたわね！冷泉さん！
華,放置はしてません。麻子さんはずっと心配してましたよ
そど子,え、本当に！？
麻子,……う……まあ///
そど子,そんなこと言われたって嬉しくないんだからね///
ラム,うほっ！仲直りできて良かったわ～
お銀,雨降って地固まる、だね。今日の天気は晴れだけど
優花里,戦車まで見つけてくれるなんて凄いです！！
桃,お前たちが戦車道に参加してくれるのか！
お銀,本当はみどり子の為に地上の連中に復讐しようと思って来たんだけどね、桃さんの為なら協力するしかないわね。あたいは竜巻のお銀
フリント,大波のフリント
ラム,爆弾低気圧のラム！
ムラカミ,サルガッソーのムラカミ！
カトラス,……生しらす丼のカトラス
そど子,メタンハイドレートのみどり子！
麻子,ちょっと待て
お銀,何？みどり子はもうあたいらの仲間だよ
麻子,ダメだ。そど子をこっちに渡せ
お銀,なら勝負よ！
そど子,ちょっと！私のことで争わないでよ！
みほ,結局こうなるの……
