宮本フレデリカ,みんなおっはよー！……ってあれれ？ありすちゃんだけ？
橘ありす,橘です。まだ皆さん来られてないみたいですね
フレデリカ,そっかそっか！レッスンがあるのに、みんなねぼすけさんだねー？
ありす,……？レッスンは午後1時からですよ？昨日変更の連絡があったじゃないですか
フレデリカ,……
ありす,……
フレデリカ,……。さ、さすがありすちゃん！引っかからなかったね！500ポイントあげる！
ありす,謎のポイントで誤魔化さないでください
フレデリカ,ええーっ！もう宮本・ダンス・フレデリカー！！！って気分に切り替えて来たのにー？
ありす,意味がわかりません。連絡を見逃したフレデリカさんが悪いんです
フレデリカ,そんなセッションなー･･････
ありす,殺生ですよね。確かに音楽っぽい思考回路になってることは伝わりましたが
フレデリカ,ならばしょーがない！踊ってくる！！
ありす,……はい？
フレデリカ,いってきましるぶぷれ～♪
ありす,語呂悪っ。……じゃなくて！ちょ……どこへ行くんですか！？
フレデリカ,とうちゃーく♪
ありす,フ、フレデリカさん……いきなり……走って……どうしたんですか……
フレデリカ,あれー？ありすちゃんも踊りたくなっちゃった？
ありす,違います……誰かに迷惑を掛けないか……不安だっただけです……
フレデリカ,たのもー！！！
ありす,無視しないでください！
南条光,あれ？フレデリカさんとありすじゃないか。どうしたんだ？
ありす,あ、光さん。いえ、私にもよく……
フレデリカ,踊りに来たんだよー！
光,そうなのか？……でも何でアタシのところに？
フレデリカ,ふふふふ～それはね～、なんとね～、実はね～･･････
ありす,そういうのいいですから早く
フレデリカ,光ちゃん！ご出身はどこだっけ？
光,出身？徳島だけど……
フレデリカ,そう！徳島！じゃあ徳島と言えば？。そう！阿波踊り！！
光,まだ誰も何も言ってないけど
ありす,ごめんなさいこの人ちょっとバカなんです。もしかして、阿波踊りをするために光さんのところへ……！？
フレデリカ,正解！20ポイントあげる！
ありす,さっきから何のポイントが溜まってるんですか
フレデリカ,というわけで教えて？光ちゃん！
ありす,そんないきなり来て……
光,いいよ？
ありす,ひ、光さん、阿波踊りできるんですか？
光,もちろん！徳島県民のたしなみだからな！できないヤツは渦潮に巻き込まれてそのまま……
ありす,徳島ってそんなところなんですか！？
光,といっても、阿波踊りは手を上げて、足を運べば阿波踊りって言われるほど簡単なんだ
フレデリカ,ふむふむ！
光,両手を上げて、リズムに乗せて交互に前に出しながら歩く！それだけで阿波踊りさ！
フレデリカ,おおーっ！
光,と言うわけで一緒にやってみよう！それえらいやっちゃえらいやっちゃ！
フレデリカ,よいよいよいよい～♪
ありす,馴染むの早っ
光,ほら、ありすもいっしょに！
ありす,私はいいです
フレデリカ,そんなこと言わずに～！ほら！踊っても踊んなくてもアホみたいな言葉もあるんだしさ～！
ありす,もはやただの誹謗中傷じゃないですか！
光,はいはい、踊る踊る！
ありす,ちょ……引っ張らないで！
フレデリカ,1名様ご案内～♪
ありす,きゃぁぁぁ…………
フレデリカ,フー、いい汗かいたね！
光,そうだな！
ありす,疲れ･･････ました……
フレデリカ,じゃ、次のとこ行こうか！
ありす,え？
フレデリカ,光ちゃんありがと～
光,うん！2人共またね！
ありす,ま、まだあるんですか！？
フレデリカ,たのもー！！！
綾瀬穂乃香,はい……あ、フレデリカさん、どうかしましたか？
フレデリカ,バレエ教えて！！！
ありす,ストレートすぎません！？
穂乃香,いいですよ、まず足の動きは……
ありす,こっちは理解が早すぎますよ！？
フレデリカ,トリプルアクセル～
ありす,それ違う競技ですけど！？
穂乃香,もう私が教えることは無いようですね……免許皆伝です！
ありす,穂乃香さんにプライドはないんですか！？
穂乃香,まあ冗談は置いておいて……
ありす,どこから冗談だったんですか……
フレデリカ,フレちゃん実はバレエやってた時期もあるんだよ～？
ありす,一旦止まってください
穂乃香,やはりそうですか……素人の動きではないですからね
ありす,なんで回りながら話すんですか！？
穂乃香,そろそろレッスンの時間なので、失礼したいと思います
ありす,結局2人がクルクル回ってるのを見ているだけでした……
フレデリカ,ありがとねー！
穂乃香,次はありすちゃんも一緒にね？
ありす,絶対イヤです。で、まだ続くんですか……
フレデリカ,たのもー！！！
ありす,基本、部屋に入るとき私を無視しますよね
若林智香,フレデリカさん！ありすちゃんもこんにちは！
フレデリカ,ヤッホー♪
智香,どうかしたんですか？
フレデリカ,実はフレちゃん、応援の楽しさに気づいちゃったのだ！
智香,おおーっ！いいですね！
フレデリカ,と、言うわけで、チアのダンスをやってみたいなーって！
ありす,世間話から入るとかできないんですか？
フレデリカ,よくテレビとかでやってる、ピョーン！！！って跳ぶやつやりたいな！
智香,いいですね！でも、フレデリカさんは上のポジションにするには背が高いかも……
フレデリカ,ってありすちゃんが言ってた！
ありす,！？
智香,なるほど！ありすちゃんの体格ならできそうですね！
ありす,いや……言ってな……
智香,アタシとフレデリカさんで持ち上げて、空中で一回転！そして着地！これで行きましょう！
フレデリカ,ワオ！アリス360だね！
ありす,頭おかしいんじゃないですか！？
智香,早速やってみましょう！
ありす,こ、この流れは……ちょ……引っ張らないで……
フレデリカ,1名様ご案内～♪
ありす,きゃぁぁぁ…………。
フレデリカ,ありすちゃーん？
智香,ふふふ……成功がよほど嬉しいようですね……！
ありす,し……死ぬかと……
フレデリカ,じゃ、次の場所へれっつごー！
智香,お気をつけて～
ありす,
フレデリカ,さて！とうとうラストだよ！
ありす,ようやく……ですか……今度は何を
フレデリカ,たのもー！！！
ありす,もういいです……
ナターリア,オオ！フレデリカとアリス！ナターリアになにか用カ？
フレデリカ,今日は天気がいいですね！
ありす,世間話ってそうではなく！
ナターリア,今日アメ降ってるゾ？
ありす,ほら失敗してる！
フレデリカ,本場のサンバをこの場でバンバン学ばにゃそんそん！って思ったの！
ありす,ラップの必要性なかったですよね？ほんの少しだけ上手かったですけども
ナターリア,サンバが見たいのカ！じゃあ見せてあげル！
ありす,みなさん物分かりが良すぎじゃないですか？
ナターリア,～～♪はっ！～～♪ほっ！～～♪～～♪ハイッ！！
フレデリカ,おお～っ！！！すごい！ナタちゃんが3人に見えた！！！
ありす,なんでそんな嘘くさい感想になっちゃうんですか！？
浜口あやめ,忍者の話！？
ありす,帰ってください
フレデリカ,じゃ、やってみよっか！ありすちゃんも一緒に！
ありす,だから、イヤだって言ってるじゃないですか！
ナターリア,仲良しだナー！
ありす,仲良くないです！恥ずかしいですから踊りません！
フレデリカ,そんなこと言わずにさー！
ナターリア,そういえバ、ナターリアの知り合いにも恥ずかしくって踊りたくない！って子がいたナ！でも、本番は夜になって暗い時にやるから、不思議と恥ずかしくないゾ！
ありす,でも今は朝です！
ナターリア,エ？朝？今は午後の2時だゾ？
ありす,…………。え？。フレデリカさん……レッスンって……
フレデリカ,さっき午後1時からって、ありすちゃん言ってたねー
ありす,…………
フレデリカ,…………
ナターリア,？
フレデリカ,もう踊るしかないね♪
ありす,殴りますよ
