笠原淳一,３４
東京。,旭光商事株式会社
テロップ,笠原淳一３４
上条,あのぅ、主任……
テロップ,上条芳明２９
笠原,どうしたんだ、上条君？
上条,これを……
笠原,退職願？まさか、会社を辞めるというのか？
上条,はい。これからの私は、小説家として生活していこうと思っているんです
笠原,うーーーん、小説家か……。確か……、君はある文芸雑誌で新人賞の最終候補になったらしいな
上条,ええ。おかげで、もの書きとして本格的に生きていこうという決意を持つことができました
笠原,そうか……。見たところ、君の決意の気持ちは強いようだな。上条が会社を辞める……。それも、小説家に転身するために――。俺は平凡な人間だから、平凡な人生を送るしかない。それが無難な生き方なんだ。今までの俺は、婚活で連戦連敗が続いてきた。だが、今日こそはいい相手を見つけるぞ……。フーーーッ……
喪黒,もしもし……。何かお悩みごとですか？
笠原,え？
喪黒,さっき、あなたはため息をついていましたからねぇ……
笠原,ええ、まあ……。悩みがないと言えば、嘘になりますけど……
喪黒,なるほど……。私の仕事柄、あなたを放っておくわけにはいきませんねぇ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
笠原,……ココロのスキマ、お埋めします？
喪黒,実はですねぇ……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
笠原,は、はあ……
喪黒,見たところ、あなたの心にもスキマがおありのはずです。何なら、相談に乗りましょうか？
BAR,魔の巣
笠原,私の悩みは、婚活に関することなんです
喪黒,ほう……。おそらく、今日のあなたは婚活パーティーにでも参加したのでしょう
笠原,そ、そうですよ……。今日こそはカップル成立を実現しようとしたものの……
喪黒,結果は思わしくなかった、ということですよねぇ？
笠原,ええ、まあ……
喪黒,笠原さんは、過去にも婚活パーティーに参加しているでしょう？
笠原,おっしゃる通りです。これまで何回か、婚活パーティーに参加したけどカップル成立には至りませんでした
喪黒,では、街コンや婚活居酒屋に参加したことはありますか？
笠原,もちろん、参加しましたよ。でも、いずれも期待通りにはいきませんでしたね
喪黒,婚活パーティーというのは、運営側が仕込んだサクラの人間も一定数いますからねぇ
笠原,ええ。私も、サクラの人間に引っかかったことがあるんですよ
喪黒,これはどんな場合にも言えますがねぇ……。平凡でお人よしな人というのは、カモになりやすいんですよ
笠原,平凡でお人よしとは、まさに私の生き方に当てはまっていますよ。返す言葉もありません
喪黒,ねぇ……、笠原さん。平凡でお人よしというのは、必ずしも悪いことではありませんよ
笠原,は、はあ……
喪黒,等身大の人間で、ありのままの生き方ができて、人間的には誠実……。これは長所とも言えます
