百合,？
龍田,あら、天龍ちゃんお帰りなさい♪。今日も遠征だったわよね？お疲れ様♪
天龍,おう、ただいま。でも、お疲れさまって言ったって、別に疲れてねえぞ？。はぁ、もっとオレの強さを見せつけられる場面が欲しいぜ
龍田,うふふ♪でも、遠征だって大事な任務なんだからしっかりしないとダメよ？
天龍,…あぁ、分かってるよ、そんくらいは。オレが遠征に行って失敗したの見たことあるか？
龍田,そういえばそうだったわね♪ごめんなさい。あら？だれかお客様かしらぁ？
電,あ、龍田さん、こんにちはなのです！
龍田,あら、電ちゃん？それに、暁ちゃんに、響ちゃんに、雷ちゃん
響,天龍さん、いるかい？
天龍,お、お前ら、ここまで来たのか…
暁,だって、勉強教えてくれるって約束したじゃない！
天龍,あれはお前らが教えて教えてうるせぇから、しょうがなくだな…
雷,でも、約束したんだから教えてよね！
天龍,あぁー、はいはい、分かったよ。わりぃな、龍田、うるさくしちまって
龍田,いいのよ、天龍ちゃん。仲が良さそうで私も嬉しいわ♪
電,あ、せっかく龍田さんもいるので、龍田さんにも見てもらうのです！
天龍,ん、それはいいな。龍田も一緒にやろうぜ
龍田,あら？私もいいのかしら、じゃあ、交ぜてもらうわねぇ♪
天龍,じゃあ、さっそくやるか
暁響雷電,はーい！
天龍,ふぅ、まぁ、こんなもんで今日はいいんじゃないか？
龍田,…今日は？今日以外にも勉強を教えてあげてるのね
響,天龍も龍田も教え方がうまいから、効率よく勉強ができたよ
暁,そうね、これで私も一人前のレディとしてさらに磨きがかかったわ！
天龍,あぁー、そりゃ良かった。そんじゃあ、もう自分たちの部屋に戻んな
電,天龍さんと龍田さんはこの後何かあるのです？
龍田,うーん、この後の予定は特に何もないわねぇ
雷,それなら…響、あの事、頼んでみたらどう？
天龍,ん、どうした？
響,あぁ、あの事かい？
龍田,あの事ぉ？なにかしらぁ？
響,えっとだね、実は、天龍の胸を触らせてほしいんだ
天龍,む、胸だと？
響,うん、実は前から触ってみたかったんだ
天龍,前から触ってみたかったって…何でだよ
響,だって、柔らかくて大きくて気持ちよさそうじゃないか
天龍,そ、それなら、もっと他のやつに頼めよ！なんでオレなんだよ！？
響,だって、天龍が一番頼みやすそうで
天龍,頼みやす…って、おい！お前、オレの事そんな風に思ってたのか！？
暁,わ、私からもお願いするわ！
電,い、電からもお願いするのです！
天龍,お、おい、そんなに頭を下げるなよ…
雷,響は、結構前から、何回も天龍の胸を触ってみたいって言ってたわ！お願い、響の願いをかなえてあげて！
天龍,わ、わかったよ！だから、もう顔上げろ！
響,ありがとう、天龍
天龍,だけどな、今回だけだぞ？今回だけ特別だからな！
暁,やったわね！
電,作戦成功なのです！
雷,後は、どさくさに紛れて私たちも触るわよ！
響,分かってるよ…それじゃあ、失礼して…
天龍,ど、どうだ？
響,おぉ…これはふかふかであったかくて…すごいね
雷,ホント？じゃ、私も
天龍,お、おい！響だけじゃなかったのかよ！
電,い、電も、触ってみたいのです！
天龍,お、おい！
暁,わ、私も、さらなるレディへの参考として…
天龍,あーっ！もうひっつくなぁー！。はぁ…満足したか？
響,うん。ありがとう、天龍。前々からの願いがかなったよ
天龍,そうか。まぁ、いろいろツッコみたいところはあるけど、疲れたしもういいや…
暁,それなら、みんな部屋に戻るわよ
雷,そうだね
電,天龍さん、龍田さん、今日はありがとうなのです！それじゃあ、失礼します！
龍田,うふふ、天龍ちゃんったら、大人気ね♪嫉妬しちゃうわ
天龍,別に人気ってわけじゃねぇよ。あいつらがただ馴れ馴れしいだけだ。龍田だってあいつらとは仲いいだろ？
龍田,うーん、そうね。でも、天龍ちゃんほどじゃないわよ？
天龍,…まぁ、別に嬉しかないけどな
龍田,…どうして、そこで少し照れたようにするの、天龍ちゃん
天龍,はぁ、それにしても胸を揉みたいだなんて、あいつらは何がしたかったんだよ
龍田,でも、あの娘達の気持ちも少しわかるわねぇ
天龍,わ、分かるって龍田、お、お前、まさか…
龍田,うふふ、冗談よ♪
天龍,な、なんだ…驚かせんじゃねぇよ
龍田,あら、今日はお客さんがたくさん来るわねぇ
天龍,はぁ、今度は誰だよ…龍田、睦月や如月だったら、追い返してくれよ？もうオレは疲れた…
龍田,はいはい、分かったわよ
木曾,お、龍田か。天龍いるか？
龍田,あら、木曾ちゃん？どうしたのかしらぁ？
木曾,あぁ、今日、遠征の後に、飯食い行こうって天龍と約束しててよ。遠征から帰ってきたって聞いたのに、来ねぇからこっちから来たんだよ
天龍,お、木曾！あぁ…すまんすまん、すっかり忘れてたぜ
木曾,ったく、天龍から誘ってきたのに、忘れるなよな
天龍,わ、分かったよ。飯は奢るから、許せ
木曾,よし、それなら許す！行くぞ！
天龍,お、おい、ちょっと待て木曾！わ、悪いな龍田、今日はオレ、木曾と飯食うから…そんじゃ！
龍田,…えぇ、分かったわ。楽しんできてね？
天龍,おう！
龍田,…。行っちゃった、わね…。はぁ、天龍ちゃんは本当に人気者よね。…昔は、もっと二人でいる時間が長かったわねぇ。二人で、勉強したわね、ご飯もいっつも一緒に食べてたわ。海にも行ったし、二人で映画にも、遊園地にも行ったわよね。そういえば川沿いを二人で散策もしたわね。ふふっ、今思うとあれってデートみたいだったわねぇ♪。私が疲れてる時には天龍ちゃんがさりげなく気遣ってくれて、失敗して落ち込んでるときは、傍にいてくれて…。でも、いつからかしら…天龍ちゃんが、あんまり私と一緒に居なくなったのは。…当たり前よね。だって、天龍ちゃんはカッコよくて、面倒見が良くて、優しくて…それでいて時々、可愛くて…。そんな天龍ちゃんだもん、人気者になるのは当たり前よね。…天龍ちゃんが、みんなから慕われるのは嬉しい。他の人と一緒にいるのも…私がとやかくは言えない。でもね…私の気持ちにも気づいてほしいのよ？。天龍ちゃんとの時間が減ってきて、いざ離れてみてから、気づいたのよね…。…私の天龍ちゃんへの思いに。天龍ちゃんを繋ぎとめていたい…身も心も離れられなくなるような、天龍ちゃんと私の特別が欲しい。他の人と話しててもいいよ？仲良くてもいいよ？でもね、特別は私だけ。そんな、揺るがない何かが欲しい。…。天龍ちゃんのベッド…。…いい匂い。はぁ…天龍ちゃん…。天龍ちゃん…天龍ちゃんっ。んっ…はぁっ、天龍ちゃん…。あんっ…お願い、天龍ちゃん…気づいてっ。んあっ、好き、好きなの…天龍ちゃんっ！。天龍ちゃん、天龍ちゃんっ…！い、イ…イくっ…！。～～～～っ！。んっ、あぁ…はぁ…はぁ…。天龍ちゃん…やっぱり、私、あなたが欲しい。だから…
天龍,…ただいまぁ。んぁ～、龍田はもう寝てんのかぁ
龍田,すぅ…すぅ…
天龍,はぁ～、今日は気持ちよく飲めたなぁ。ん、龍田のやつ、布団からはみ出てんじゃねぇか…って、こいつなんて格好で寝てんだよ！。し、下着だけで…た、龍田っていっつもこんな格好で寝てたか…？
龍田,ん…はぁ、てんりゅ…ちゃん…
天龍,…
龍田,ん、んぅぅ…
天龍,…。今の寝返りで、さらに布団が…。龍田、肌白いな、身体の線も細いし…やっぱり綺麗だ…。少しだけ…。…いや、ダメだ。…。おやすみ、龍田…
龍田,…。天龍ちゃん、天龍ちゃんさすがにそろそろ起きて
天龍,ん、んぅぅ…
龍田,ほらぁ、早く起きないとおっぱい揉んじゃうわよぉ
天龍,ん、き、昨日、呑んだから…もうちょっと…
龍田,んぅ～、えいっ
天龍,んん…
龍田,ほらほら～、早く起きないとだんだん手が先端の方へ行っちゃうわよぉ？
天龍,う、あ、あー！分かった、起きる、起きるから、もう揉むな！
龍田,あら、残念♪
天龍,はぁ…何つー起こし方だよ
龍田,でも、目覚めはいいでしょ？
天龍,まぁ、そうだけどよ…って、あれ？龍田、お前…なんか雰囲気違くないか？
龍田,え、えぇ…実はほんの少し化粧してるのよ。ど、どうかしら？
天龍,お、おぅ、い、いいんじゃないか？。でも、化粧って…どっか出かけんのか？
龍田,今日は何もないわよ？天龍ちゃんも今日はお休みだからずっと一緒ね♪
天龍,ん、出かけねぇのか？なら、なんで化粧を…
龍田,え、えっとぉ…ちょ、ちょっと新しいのを買ったから、試してみたくてねぇ
天龍,そ、そうか。んっと…そんじゃ、朝飯…いや、昼飯食い行くかな。龍田はもう食ったのか？
龍田,え、えっと、お昼ご飯、天龍ちゃんのために作ったんだけど…
天龍,そ、そうなのか？んじゃ、せっかくだし龍田の手料理食べよっかな
龍田,はい、これ、カレー作ってみたのよ。さ、召し上がれ♪
天龍,ちょっと待ってな…。うん、うめぇよ！
龍田,良かったわぁ♪
天龍,はぁ、龍田は料理上手いよなぁ
龍田,天龍ちゃんの為に上手くなったのよ♪
天龍,オレの為にかぁ？
龍田,そうよ、天龍ちゃんの為なら毎日でも毎食でも作ってあげるわよ♪
天龍,まじか！？そんなら、夜も龍田の飯が食いてぇ！
龍田,そ、そう？そうね、じゃあ夜ご飯も私に任せて♪
天龍,おう、楽しみにしてるぜ！。ふぃ～、食った食った！うまかったぁ
龍田,ふふっ、喜んでくれたみたいで私も嬉しいわぁ
天龍,ふぅぅ…
龍田,ねぇ、天龍ちゃん？天龍ちゃん、午後暇よね？。せっかくだし、ちょっとお出かけでも…。…
天龍,わりぃ、多分オレの客だ
阿武隈,あ、天龍さん、こんにちは
天龍,ん、来たか。んじゃ、行くか
阿武隈,はい、今日はあたしの相談に乗ってくれてありがとうございます
天龍,はいはい、んじゃあ、ここで話すと龍田もゆっくりできないだろうし、別んとこで話すぞ
龍田,…
天龍,そんじゃ、龍田、ちょっと出てくんな
龍田,…えぇ、分かったわぁ。行ってらっしゃい
阿武隈,あ、龍田さん、失礼しました
天龍,よし、行くぞ。はぁ、それにしても、駆逐艦にどうしたらちゃんと指示を聞いてもらえるかなんて…オレに聞かれてもなぁ
阿武隈,いえいえ、天龍さんは、駆逐艦の娘達にすごい信頼されていて、あたしの目標ともするべき…。あたしの指示は全然聞いてくれないのに、天龍さんは駆逐艦の娘達をしっかりとまとめていて…
龍田,…うふふ、うふふふふふっ。そうよね♪そうよねぇ、分かってたじゃない、天龍ちゃんは人気者なのよ。だから…
天龍,ただ今帰ったぞー！
龍田,あ、天龍ちゃんお帰りなさぁい
天龍,はぁ、腹減ったぁ
龍田,うふふ、あと少しでメインが出来上がるから、サラダとかつついといてねぇ
天龍,ん、わかったぜ…。おぉ、サラダうめぇな！さすが龍田だぜ
龍田,うふふ、ありがとね
天龍,お、揚げ物の匂いがすんなぁ…うん、いい匂いもしてきた
龍田,よし、オッケーね…はい、竜田揚げよ♪
天龍,ん、竜田揚げ？龍田の作った竜田揚げ…ぜってぇうめぇな！。じゃあ、早速…。おぉ、うめぇ！さすがだぜ、龍田！。外はカリカリに揚がってて、中もジューシーで…
龍田,うふふ、そんなに美味しそうに食べてくれると私も嬉しいわぁ
天龍,うんうん、うめぇー！。ごちそうさん。いやー、うまかったぜ
龍田,はいこれ、食後のお茶よ
天龍,お、ありがとな…って、オレ全部龍田に任せっぱなしだな…
龍田,いいのよ、私がやりたくてやってるんだから
天龍,そうか？
龍田,そうよ♪
