事件１,春香の母を探せ
P,…
美希,ふぁ～あ…
律子,はぁ…
P,…
美希,あふぅ…
律子,まったく…貴方達二人はどうして余裕でいられるんですかね？
P,いや…俺はただ珈琲を飲んでいるだけなのだが…
律子,それが余裕だって言ってるんです！
P,何を言ってるんだ律子嬢、最近の律子嬢が余裕なさすぎるんだよ…今まではもっとみんあゆったりしていただろう？なぁ美希
美希,でもハニー、そうやってたら事務所の余裕がなくなっちゃったの！
P,確かに…これは一本取られたな！
律子,アホなこと言ってないでください！貴方達がそんなことだから仕事の一件も来ないんですよ！
P,おいおい、俺のせいなのか？
律子,そうですよ！社長が置き手紙を残して消えた今、貴方がこの事務所を支えていかないといけないんですから！。美希も寝てばっかりいないでチラシの一つでも配ってきたらどうなの！
P,っと…いわれても、ねぇ？
美希,なの
律子,こいつらは…
P,まぁ依頼人が来ないときはこんなもんさ、律子嬢もそんなにカリカリせずに珈琲でも飲んだらどうだ？
律子,珈琲ならさっきので最後ですよ
P,へっ…？
律子,いくら萩原堂から安く手に入れてるって言っても高級品には違いないんです、経費削減のために新しい珈琲豆は補充してありません
P,おい律子嬢！俺は珈琲がいくらでも飲めるって言うから俺はこの事務所に入ったんだぞ！
律子,それは仕事があったらの話です！お金もないのに飲ませるわけがないでしょ！
P,な！契約違反だぞ！そんなこと許されるわけがないだろう！美希、お前も何か言ってやれ！
美希,う～ん、別に美希は珈琲飲まないから…
P,美希ぃ…
律子,少しは現状というものがわかりましたか？言っとくけど私は本気ですからね？
P,はぁ…
美希,ハニーがかわいそうなの…。んー！
P,諦めろ美希…こうなったら本当に依頼が来るまで律子嬢は鬼のままだぞ…
美希,は、ハニ～…
P,行くぞ美希…仕事探しだ
美希,えー…美希もう少し寝てたいの
P,その台詞、律子嬢の顔見て言ってみろ
美希,え？
律子,…
美希,み、美希…ちょっと外の空気を吸いたくなったの！
P,奇遇だな！俺もそう思っていたところだったんだ！
美希,それならハニーも一緒に行くの！
P,そうだな！うまい空気を吸って気合を入れてだな…
律子,わかってると思いますけど…もし仕事も見つけずに萩原堂になんて言ってたら…
P,…
美希,…
律子,ただじゃおきませんよ？
P・美希,
律子,まぁ、まさかここまで言っておいてそんな事するはずありませんよね？
P,はい…
美希,はいなの…
律子,それなら、とっとと仕事見つけてきてください…急がないと日が暮れてしまいますから
P,御意！
美希,御意なの！
律子,何が御意だか…本当にこの状況がわかってるんだか…。頼みますよ…先生
美希,ふぁ～あ…なの
P,なんだ美希、まだ眠いのか？
美希,こんなに天気が良かったら、そりゃ眠たくもなるの…
P,そりゃそうだ、俺もこの後はゆっくり調べ物でもと思ってたんだがなぁ
美希,調べ物って…いつもの？
P,ん？あぁまぁそんなところだ
美希,そっか…
P,うん…
美希,それで…そう！仕事って言ってもどこに見つけに行くつもりなの？
P,まぁ本当なら萩原堂から小銭稼ぎの仕事でももらおうと思ってたんだが、それも律子嬢から禁止のお触れが出たからなぁ
美希,雪歩のお茶飲みたかったの…でもそれじゃあどこに行くの？どうせなら二人っきりで歌舞伎座でも行っちゃうの！
P,あいにく持ち合わせがなくてな…サボる事すらもできん…
美希,ハニ～…
P,すまんすまん！まぁ仕事の宛ならあるから安心しておけ
美希,え？ハニーお仕事見つけられるの？
P,まぁな、とりあえず付いてこいって…
美希,ここって…
P,まぁ見ての通りの警察だな
美希,警察にお仕事？ハニーは警察官じゃないんだよ？大丈夫ハニー？
P,わかってるって、そこまで馬鹿じゃないっての！
美希,でもそれじゃあ…
P,さっ…中に入るぞ
美希,あっ…ハニー！待ってなの！
P,よっ！
警官,おぉ…随分と珍しいじゃないか、久しぶりだな先生
P,久しぶり、まぁ考えてみれば事件ともだいぶご無沙汰だったわけだしな…まぁ平和が何よりよ
警官,震災直後比べれば治安も良くなったしな、まだまだ前と比べてしまうとあれだが
P,無いものねだりさ、そんなこと言ってるとそのうちもっと治安の悪い時代が来たら困るぞ？
警官,その前に警官なんてやめちまうから大丈夫さ…っと後ろのお嬢さんは
美希,お、お久しぶりなの…
警官,あぁ…元気そうでなによりだ、美希ちゃんはあれから変わりはないかい？
美希,元気でやってるの、その節はお世話になりました…
警官,いやいや！私は何もしていないからな！確か今は、先生のところで働いてるんだっけか？
美希,そうなの！
P,まぁほとんど寝てるだけだがね
美希,むーっ！そんなことないの!
警官,はっはっ！すっかり仲良くなったんだな？
