苅部房雄,５８
鈴置,我々美食連盟の初期の会員が、こうやって揃うのも久しぶりですね
テロップ,鈴置吾郎６３
鍋島,いやぁ、主催者の俺ももう年だからな。だから、元気なうちに君たちに会っておこうと思ったんだよ
テロップ,鍋島弘道９２
佐村,会員制料亭の美食連盟は、鍋島主筆が設立したのですよね。何しろ、主筆は健啖家として有名なお方ですから
テロップ,佐村信彦７２
苅部,鍋島主筆は、料理に対する関心が深いですからね。私が読朝新聞にエッセイを連載できるのも、主筆のおかげ
テロップ,苅部房雄５８
竹村,鍋島主筆がお作りになった美食連盟は、日本の食文化を残すための宝。今後も存続させるべきですよ
テロップ,竹村紀夫７５
苅部,今の俺は、地位も仕事も保証されている。だが、たまには違ったことをやってみたいものだ……。来月号の原稿ができました
半藤,ありがとうございます。それにしても、先生の食通ぶりは大したものですね
テロップ,半藤誠彦４３
苅部,まあ、私は若いころからグルメに興味がありましたから……。気が付いたら、こうなっていたんですよ。これは切れのいい酸味ですね
喪黒,…………。これはこれは……。もしかして、あなた……。苅部房雄先生ではないですか？
苅部,ええ。私が苅部ですけど……
喪黒,私、先生のファンなんですよ
苅部,ああ……、あなたファンの方なんですか
喪黒,苅部先生……。あなたのエッセイストとしての文章の質の高さや、安定感は大したものですよ
苅部,お褒めにあずかり、光栄ですが……。まあ、たまには違ったことをしたいという気持ちもどこかにあるんですよ
喪黒,実はですねぇ……。そんな先生にいい話があるんですが……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
苅部,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
苅部,は、はあ……
喪黒,今後の先生のお仕事のために、役に立つかもしれない話があるんですよ
BAR,魔の巣
喪黒,先生は料理に対する造詣が深いですし、文章もなかなか面白いですねぇ……
苅部,あ、ありがとうございます……
喪黒,もはや、先生は料理評論の権威といっても過言ではないでしょう
苅部,でも、私はもともと小説家として出発した人間ですよ
喪黒,まあまあ……。先生は一応、直島賞を受賞したプロの作家ではないですか
苅部,直島賞の受賞はもう、30年近くも前の話ですよ。でも、直島賞受賞の後は小説が全く売れなくて……
喪黒,小説で新作を発表したいというお気持ちはありますか？
苅部,いやぁ、その……。小説に関しては、私は才能の限界を自覚して久しいですから……
喪黒,では、たまには違ったことをしたいとはどういうことなんですか？
苅部,まあ、何というか……。料理のエッセイの仕事に飽き始めているんですよね……
喪黒,どうしてです？先生はグルメが趣味であり、そのおかげで料理評論の大家になれたのでしょう？
苅部,だからですよ……。私は料理に対して全方位で知識を身につけ、ありとあらゆるグルメを究めました
喪黒,なるほど……。知識をつけすぎて、好奇心がなくなってしまったというわけですなぁ
苅部,その通りです
