ルルーシュ,そうだ。協力しろ
C.C.,…
ルル,こっちを向け
C.C.,雑誌を返せ。流石の私もギアスの副作用で頭がおかしくなるとは知らなかったな
ルル,俺は至って正気だ
C.C.,ほざけ。女の尻が揉みたいのならそこらの女にでもギアスを使えば良かろう？
ルル,見くびるな、俺は女の尻などに興味は無い。ピザ作りが目的なんだ
C.C.,…いちいち言わんとわからんのか？ピザ作りはまぁいい。お前ごときが旨いピザを作れるとは思わんが、それは勝手にしろ。だが何故私の尻の上でそれをやる必要があるんだ？
ルル,理由は聞くな、説明してる時間が惜しい。ん？まさか焼成もお前の尻の上でやると思ってるのか？安心しろ、流石にそれは無理だからな。食べたくないのか？俺のピザが？
C.C.,…食べたくない
ルル,本当に？
C.C.,私はピザハットが好きなんだ
ルル,フフフ、甘いなC.C！！…お前、最近あそこのラインナップに飽きているのだろう？
C.C.,！！そんなことはない！貴様ピザハットを愚弄する気か！？
ルル,そうじゃない、ただお前がマンネリを感じているのは明白だ。最近はキャンペーンも無くメニューの変動は無い。加えてお前がチラシを眺めてから注文するまでの時間は平均で3分35秒…しかし最近はその２倍以上、平均8分26秒かかっている
C.C.,め、目移りしてしまうだけだ
ルル,メニューの変動が無いのにか？認めろC.C.…、お前のピザとの蜜月は、倦怠期を迎えつつある！！
C.C.,そ、そんな、ことは…
ルル,まぁ聞け。そこで今回の俺の案だ。お前はいつものようにベッドに寝転がっているだけでいい。しばらくしたら自動的に俺のピザが食べられるんだ。さっきお前は馬鹿にしていたが、俺の料理の腕はお前も知っているだろう？
C.C.,し、しかし…
ルル,しかし？
C.C.,う、うむ…その、だな…
ルル,では、始めるぞ
C.C.,あ、ああ。もし出来上がった物がマズかったら承知しないからな
ルル,言っていろ。どうした？緊張してるのか？
C.C.,ば、馬鹿にするな童貞！
ルル,…
C.C.,のわっ！！
ルル,軽く叩いただけでこのありさまとはな、やはり緊張してるんじゃないか
C.C.,うぐぐ。い、いいから始めろ
ルル,ああ。お前は雑誌でも読んでいろ
C.C.,あ、ああ
ルル,…
C.C.,…
ルル,…
C.C.,…
ルル,…
C.C.,…お、おい
ルル,何だ？
C.C.,うつぶせの状態じゃお前が何をしてるのかわからん
ルル,何だ？仰向けがいいなら腹の上でやることになるが？流石にくすぐったいと思うぞ？
C.C.,ちがう！！わからんから口で説明しながらやれと言うのだ！！
ルル,ほう、後学の為にレシピを聞いておこうということか？殊勝な心がけだな
C.C.,もういい、そういうことにしておく
ルル,では下準備から
C.C.,ん…何をした？
ルル,お前の尻にラップを敷いたんだよ。流石に服の上から直はマズいだろ？
C.C.,ふん、いまさらまともそうなことを言うな
ルル,では材料の説明だ。まず強力粉220g、薄力粉80g、砂糖大さじ2…どうした、メモを取らなくて大丈夫か？
C.C.,結構だ。いやそれよりも
ルル,何だ？
C.C.,材料を言うたびにいちいち私の尻に載せなくてもいいと思うが？
ルル,ふむ、そうだな。材料を並べるには尻より背中の方が広くていい。思いつかなかったよ
C.C.,おい！背中まで使っていいとはry
ルル,次に塩小さじ2／3、バター30g、卵1個…C.C.！！
C.C.,な、何だ？
ルル,卵を背中に乗せたが落ちそうだ。うまくバランスをとれ
C.C.,
ルル,次にオリーブオイルと、牛乳を140ccだ。水でもいいが今回は牛乳だ。最後にドライイースト小さじ1、以上が生地の材料だな
C.C.,た、卵は無事か？
ルル,ああ
C.C.,よかった
ルル,次に上にのせる具とソースだが正直何でもいい
C.C.,じゃあ今日はバジルソースとマッシュルーム…
ルル,今回はピーマンとベーコン、ソースはトマトソースだ。たまたま冷蔵庫にあったのでな
C.C.,…
ルル,では作っていこうじゃないか。準備はいいかC.C.？
C.C.,準備も何もあったものではない…さっさと始めろ
ルル,ではまずこのボウルにだな
C.C.,んん！お、押し付け過ぎだ！尻が潰れる！
ルル,このくらい上から押さえてないとぐらつくからな、我慢しろ。ではこのボウルに強力粉、及び薄力粉を入れる。粉の真ん中を窪ませ、そこにドライイーストと砂糖を隣り合わせて入れる
C.C.,だんだん重くなってくるな…
ルル,同時に塩も投入するが、ここで気をつけるべきは何だと思う？C.C.？
C.C.,…い、入れすぎないことか？
ルル,分量は先に計ってあるのだぞ間抜けめ。答えはドライイーストとは少し離れたところに入れるということだ。塩はイースト菌の働きを抑える働きをするから、こうしないと発酵が遅れてしまうのだ
C.C.,ふ、ふん、ディートハルトに頼んで料理番組でも作ってもらったらどうだ？ゼロのワクワク｡ハドロンクッキング♪とかな
ルル,ふむ、悪くないアイデアだ…粉をざっくりと混ぜ合わせた後、牛乳を入れる。C.C.？
C.C.,何だ？
ルル,一応忠告しておく、驚くなよ？
C.C.,？…ひあっ！つめたっ！
ルル,尻を動かすんじゃない！全く、牛乳を注ぐんだから冷たいに決まっているだろ
C.C.,し、室温に戻すとかそういう知恵は無かったのか？
ルル,出来ればそうしたかったが、誰かさんがやかましいのでな。再びこれを混ぜる
C.C.,うう、冷たいのが尻の上で踊っている…
ルル,ある程度まとまってきたら、生地をボウルから出して直接こねていく
C.C.,んくっ！そ、想像以上に気色悪い感覚だ…
ルル,こねる時間は２分が目安だ。コツは両手を交互に動かし、体重をかけて前後に押し出すようにこねることだ
C.C.,あ！る、ルルーシュ！そんなにギュッとするな！尻が、私の尻が！
ルル,根性無しめ！耐えろ！
C.C.,くうう、まるで粘土のように私の尻を弄びおって…尻と生地が一体化するかと…
ルル,気色の悪いことを言うな。大体、お前の尻がたるんでるから悪いのだ。だらしなく生地と一緒に形を変えるんじゃない
C.C.,そ、それならば硬～い男の尻でやればよかっただろうが！藤堂なんてどうだ？硬そうだろう？
ルル,…
C.C.,…マジ引きした顔で私を見るな
ルル,さて、生地にオリーブオイルを流し、更に5分…
C.C.,ごふっ！！
ルル,何だ？血でも吐いたか？
C.C.,…いいから、早く済ませてくれ…。…なぁ、ルルーシュ…？私の、私の尻はどうなってる？五体満足か？
ルル,ああ、相変わらずだらしないままだよ
C.C.,そうか…この際無事ならいい
ルル,それでは次の行程だ。このまとまった生地を
C.C.,生地を？
ルル,手首のスナップを効かせて…台に叩き付ける！。天使！！
C.C.,はんっ！。叩き…えっ？
ルル,せいっ！
C.C.,がはっ！！
ルル,手前から向こうに折りこんだら、いよおっ！
C.C.,ひっ！
ルル,叩いて折るを繰り返す！！ナナリー！は！
C.C.,あんっ！
ルル,天使！！
C.C.,はんっ！
ルル,ふう…生地の表面を滑らかに整えたら、この行程は終了だ。生地を軽く油脂を塗ったボウルに入れ、ラップをしたら一次発酵の時間だ
C.C.,ということは？
ルル,喜べ、休憩だぞ。そうだな…大体40分程度、生地は放っておく
C.C.,ほほう…そうかそうかフフフ、ならその間に一発殴らせ…
ルル,何を勘違いしている？尻の上に生地を載せたまま40分だぞ？
C.C.,。zzz…
ルル,作業再開だ、起きろC.C.
C.C.,んん…zzz…
ルル,…
C.C.,ひあっ！、し、尻をつねるな！！
ルル,おはようC.C.、お前のおかげで生地が予定通り２倍に膨れ上がったぞ
C.C.,そういえばさっきより尻に当たる感触が大きくなっているな
ルル,これをスケッパーで7個に分割する
C.C.,隙っ歯？
ルル,スケッパーだ。個々の生地を先程のように折る。何回か繰り返して形を整えたら、生地を軽く握って、円を描くように丸める
C.C.,んん…ほう、これはなかなか…
ルル,…
C.C.,～♪
ルル,何をニヤついている？
C.C.,に、ニヤついてなどいない
ルル,もしかして、転がされる生地の感触が気持ちいいのか？
C.C.,！！ばっ、馬鹿を言うんじゃない！！///
ルル,全く…美顔ローラーのような効果を期待しても無駄だぞ。お前の尻はだらしないままだ
C.C.,ぐっ…
ルル,丸め終わった生地を布を敷いたタッパに置いたら、ベンチタイムだ。15分程生地を休ませる
C.C.,その行程で私の尻は必要なのか？
ルル,いや、別にお前の尻の上じゃなくてもいい
C.C.,そうかそうか、ならば…今度こそ一発殴らせろルルーシュ！！
ルル,！！。ぜぇ…ぜぇ…丁度15分経ったぞ…作業再開だ…お前のせいで汗だくだ…
C.C.,はぁ、はぁ…クラブハウス中を逃げ回りおって…これでピザがまずかったらナイトメアに乗って踏みつぶしてやる！
ルル,わかった、わかったから、さっさと横になれC.C.
C.C.,ふん
ルル,ごほん。さて、生地作り最後の行程だ。めん棒を使って、生地を平にしていく…C.C.
C.C.,何だ？
ルル,少し、尻に力を入れろ
C.C.,は？
ルル,このままではお前の尻はだらしなさ過ぎる…力を込めて尻を固くしろ。そうしないと生地が平にならない
C.C.,…ほ、ほら
ルル,どれ
C.C.,い、いきなり指でつつくな！
ルル,ふざけているのかC.C.…もっと力を入れろ！！
C.C.,そ、そんなに怒るなよ！
ルル,よし！出来るじゃないか！その固さだ、その固さを維持するんだ！
C.C.,ぐぐぐ…力み過ぎて尻がつりそうだ…
ルル,生地を取り出し、表面の綺麗な面を下にして置く。生地を軽くてで押さえて平らにし、めん棒をあてていく。転がす方向はまず真ん中から下…
C.C.,説明はいいから早く終わらせてくれええええええ！！
ルル,よし、全ての生地を伸ばし終わった。もう力まなくていいぞ
C.C.,ふう
ルル,ぬはははっ！！何だその間抜けな音は！プリンか！お前の尻はプリンがぐわはっ！！
C.C.,後は具材を載せて焼くだけだろう？ならばもう尻は必要ないな
ルル,ああ、鼻からトマトソースが…わかった、わかったから拳を握るな
C.C.,どれ、具材を載せるのは私も手伝ってやろう
ルル,ああ、これに関しては好きに載せていい…
C.C.,よし、では早速～♪
ルル,…
C.C.,～～♪
ルル,おい。オーブン内で仕上げ発酵した後、12分で焼き上がったものがこれだ
C.C.,おおっ…
ルル,…お前ごときが旨いピザを作れるとは思わん…誰の台詞だったかな？
C.C.,う、うるさい。それより
ルル,ああ、食べていいぞ
C.C.,言われなくとも…！
ルル,どうだ？
C.C.,…生地がしっかりモチモチとしていて食べごたえがあるし、具材の焼き加減もいい
ルル,そうかそうか、それはよかった
C.C.,…ルルーシュ、一つだけ、お前に言いたい事がある…
ルル,何だ？
C.C.,確かにこれは旨い、それは認めよう…だがこれはピザではない！生地がパンだ！つまり、これはピザパンだ！！
ルル,ふっ…フフフ、フハハハハハハ！！かかったなC.C.！その通り、俺が作りたかったのはピザではない…パンだ！！気付かなかったのか？ピザ生地はここまで発酵を繰り返さない。自分の無知を呪うんだな
C.C.,…何故私を利用した？わざわざピザパンでカモフラージュしてまで
ルル,…ふん！！
C.C.,！！いきなり掌をほっぺたに押し付けるな…冷たっ！！何だお前の手は！？氷水にでも漬けていたのか！？
ルル,その通り、俺の平熱は34度、その上掌は輪をかけて冷たい…このままではいくら生地をこねても上手くまとまらない…そこでお前の尻だったんだよC.C.
C.C.,私の尻…私の体温を利用したのか！
ルル,お前の平熱は35．5度、パン作りに最も適した温度だ！！
C.C.,何で知ってるんだ変態！？
ルル,お前が惰眠をむさぼっている間に計るチャンスはいくらでもあった。流石にカレンとシャーリーを計るのは骨が折れたがな
C.C.,。貴様…ナイトメア出すまでもない、ここで地獄を見せてやる！！
ルル,その前にだ、C.C.
C.C.,命乞いなら聞かんぞ！！
ルル,ほれ
C.C.,焼きたてのピザだと！！こんなもので私の気がおさま…る…と？。ッ…
ルル,いらないのか？
C.C.,…寄越せ！！
ルル,どうだ？
C.C.,…
ルル,ナナリーが生地をこねたんだ、マズいとは言わせんぞ？
C.C.,…言っておくが、お前には食わせんからな？
ルル,ぬぐっ！！貴様ナナリーの作品を独り占めする気か！！
C.C.,当然だ。あとピザパンもやらんからな
ルル,ぐっ、ここまで来て自分の作品が試食できないとは…この食欲大魔人が！！
C.C.,ほざけ。私を陥れた罰だ
ナナリー,お兄様？上で何を騒いでいるのかしら？
咲世子,さあ…？
