モバP,おコ要？
千川ちひろ,い？あ
P,了
ちひろ,エド100？
P,買
神谷奈緒,何言ってるのか分からない
渋谷凛,……
凛,プ私コ代
P,え？すまんが分かるように言ってくれ
凛,……。違ったか
奈緒,え？
凛,プロデューサー、私がコーヒー淹れるの代わるよって言ったんだけど違ったみたい
奈緒,分からん
凛,プロデューサーの調査をしよう
奈緒,え、あたしも？
凛,うん。……
奈緒,……
P,ちひろさん、ドリンク買いますんで、またいつものお願いしたいんですが…
ちひろ,あれですか？まぁ良いですけど…
P,やった！
ちひろ,じゃあ、お芋食べてきますので30分後ぐらいにやりますか
P,了解！
奈緒,…なぁ
凛,しっ！
ちひろ,一応準備できましたよ
P,♪
ちひろ,ソファに横になってください
P,これが無いと力がホント出ません
ちひろ,じゃあ乗りますよ？
P,はい！
ちひろ,えっと…掛け声どうします？
P,今回は狼1のパワーウェーブでお願いします
ちひろ,わかりました。パワーァ。ウェイ！
P,～～～～～～～～～
ちひろ,ふぅ
P,ありがとうございます！元気出ました！！
ちひろ,いつも思うんですが良いんですか？これ
P,適度な重みに地響きの如く振動が腰に来るのは最高ですね。今度俺がしましょうか？
ちひろ,…考えときます
凛,……
奈緒,……。ドン引きだよな…
凛,……
奈緒,何で芋食べてんだよ
バイト先の先輩,女
