モバP,まゆー
まゆ,なんですかー？
P,次の仕事の話なんだけど、企画書を確認してくれないか
まゆ,いいですよぉ。これは…結婚式場のイメージガール、ですか？
P,そうだ。前にアイドル雑誌の読者アンケートがあっただろ？
まゆ,お嫁さんにしたいアイドルランキングですよね。まゆは惜しくも3位でしたけれど…
P,3位といっても、全アイドル中の3位だからな。光栄なことだぞ？
まゆ,はい、多くのファンの皆さんに選んでいただいて嬉しいです
P,まあ俺の中ではまゆが文句なしの1位だけどな！
まゆ,Pさん…///
P,そういう訳でだ。どうだ、やってみるか？
まゆ,その…結婚式場ってことは、ウエディングドレスとか着るんですよね？
P,ああ。嫌なら受けなくてもいいんだぞ？
まゆ,いえ、そういう訳ではなくて、まゆなんかでいいのかなと…
P,どういうことだ？
まゆ,ほら、ウエディングドレスといえばもっと似合いそうな人がいるじゃないですか？美優さんとか留美さんとか…
P,そんなに卑下しなくてもいいじゃないか。もちろん美優さんや和久井さんにもそういった魅力はある。だがまゆにはまゆにしかない、違った方向の魅力があると思うんだ。まゆをずっと近くで見てきた俺が言うんだから間違いない
まゆ,Pさんがそこまで言うなら、やってみます。上手く行くかどうかは分かりませんが…
P,まゆなら大丈夫だよ。でも、本当に嫌なら言ってくれよ？
まゆ,大丈夫ですよぉ、Pさんは心配性なんですから
P,はは、そうかもな。
まゆ,ところで、Pさんはその…結婚とかは考えないんですか？
P,結婚？そうだなぁ…。いずれはしたいと思うけど、今は仕事が忙しいし、プロデュースに幸せを感じてるから、あんまり考えてはいない
まゆ,Pさんは仕事第一、ですもんね
P,まあ耳が痛い話ではあるけどな…。それにしても珍しいじゃないか、まゆからそんな話題を振るなんて
まゆ,あっ…いえ、深い意味は無いんです。ただちょっと気になって…
P,はは、そうか。
まゆ,事務所には女の子がよりどりみどりですからねぇ…？
P,うっ…ま、まあ、アイドルとプロデューサーの恋愛はご法度だからな。大丈夫だよ
まゆ,んもう…。今はこれでいいんです。Pさんのアイドルとしてプロデュースしてもらって、まゆは今とても幸せですから。でも、まゆ以外の女の子と結婚したら、わかってますよね？…ね？
P,まゆ、いいかー？
まゆ,大丈夫ですよぉ。どうですか？まゆのウエディングドレス姿
P,おおう…
まゆ,？
P,いや、予想以上に来るものがあるなーと…。なんだろう、娘を送り出す父親の気持ちっていうのかな？
まゆ,父親、ですかぁ
P,いやうん、似合ってるよ。綺麗だ
まゆ,本当ですか？まゆ嬉しい…！
P,父親じゃない、今すぐにでも俺の嫁に迎えたいくらいだ…。献身的で、家事ができて、俺を慕ってくれる。最高の嫁じゃないか。……おっと危ない、プロデューサーがアイドルに邪念を持ってはいけないな。よしまゆ、行って来い。俺も見てるからな
まゆ,はい、頑張ります！
P,…。アイドルとプロデューサー、か…
カメラマン,いいよー、今度はあっちの方向いてみてー？
まゆ,はーい
演出,うーん、何か趣向を変えたショットが欲しいですねぇ。
P,ふむ、具体的にはどういった？
演出,やっぱり花嫁は相手がいてこそ映えると思いませんか？
P,なるほどね。でも男性エキストラが必要になりますよ？
演出,それはそうなんですが…そうだ、プロデューサーさんはどうですか？
P,へ？俺がですか？
演出,はい、衣装ならありますし、あなたなら佐久間さんの自然な表情をもっと引き出せると思うのですが
P,いやでも、一応アイドルなんですからイメージというものがですね…
演出,まあまあ、顔は写しませんから、ね？撮ってみるだけですよ、ちょっとだけね
P,はぁ、そこまで言うなら
まゆ,Pさん、どこに行くんでしょうか？
P,まーゆっ
まゆ,はーい？……!?
P,どうだ？ちょっと柄に合わないかもしれないけど…
まゆ,Pさん…素敵です！
P,おお、そうか。そう言ってもらえると嬉しいな
カメラマン,じゃあ撮りますよー
まゆ,うふふっ
P,いい笑顔だぞ、まゆ
まゆ,Pさんも楽しそうですよぉ？
P,当たり前だろ、花嫁姿のこんなかわいいアイドルと一緒に写真を撮れるなんて嬉しいに決まってるよ
まゆ,そこはまゆと、じゃないんですか？
P,はは、これは失礼
まゆ,これがお仕事じゃなければ、どんなに幸せだったでしょう…。アイドルとプロデューサー、ですか…
P,さてと、撮影お疲れ様。
まゆ,お疲れ様でした。今日は直帰でいいんですよね？
P,ああ。まゆ、この後予定あるか？
まゆ,いえ、特にはありませんよ？
P,そうか。良かったら飯でも食いに行かないか？撮影お疲れ様ってことで
まゆ,本当ですかぁ？嬉しいです…！
P,あんまり期待はしないでくれよ？
まゆ,心配しないでください、まゆはPさんとならどこでも大丈夫ですから
P,はは、助かるよ。ところで、撮影はどうだった？
