千川ちひろ,ふむぅ……
渋谷凛,彼にしたいこと、されたいこと？
ちひろ,わっ。びっくりした。急に覗き込まれたら軽くホラーですよ？
凛,ごめん。真剣な顔して雑誌見てるから、気になっちゃって
ちひろ,そんなに真剣な顔してました？
凛,うん。……ちひろさん、彼氏いるの？
ちひろ,ん？
凛,彼氏……
ちひろ,ん？
凛,……ごめん
ちひろ,ん
凛,えっと……その特集でなにか得たものは
ちひろ,何も……ありませんでした
凛,そう……
ちひろ,お弁当を作ってあげる～とか、彼シャツ～とかっ……！なんのひねりもないテンプレやっつけ企画っ！！この編集は無能ですよ！無能っ！！
凛,そんなに怒らなくても。他には……壁ドンからの頭ポンポンでトゥンクトゥンク！！……なにこれ。脳みそサメ並？
ちひろ,でしょう！頭悪すぎなんですよ！しかもこれ見てっ！私達女の子がしたいこと、されたいことは、男の子にとっても、したいしされたいの☆つまり自分のシャツを着てる女の子にトキメクし、壁ドンをしてドキドキさせてみたかったりするんだよ☆……なんですか、これはっ！私の歳で女の子とかキツイでしょう！！
凛,え？そこ？
ちひろ,大体、彼シャツなんて何がいいんですかっ。あんなもんあざとい女のアピールでしか……しか……
凛,……？どうしたの？
ちひろ,プロデューサーさんの椅子にスーツの上着が掛けられてますね……
凛,ちひろさん？
ちひろ,……彼シャツではないですが、経験もしないで否定するのは愚かですよね。えぇ、えぇ……愚かですよ
凛,え？まさか着る気！？
ちひろ,凛ちゃんも着ていいからっ！！私のあとで着ていいからっ！！！
凛,それなら……じゃなくてっ！あぁ！！
ちひろ,ほぅ……これが彼ジャケ……
凛,もう……。ていうか、彼ではないからね？そこ大事だよ？
ちひろ,なかなかどうして……。この、私には大きいサイズというのがやさしく包むように抱きしめられてるみたいで。そして、プロデューサーさんの匂いも何故か安心してしまうのがなんともいえないです。なるほど、悔しいけど認めざるを得ません。これ……割とトキメキます！！
凛,聞いてないし……
ちひろ,……プロデューサーさん、壁ドンしてくれないかな？
凛,手の平返し早いよ。なんのひねりもないテンプレじゃなかったの？
ちひろ,凛ちゃん、いい女ってフレキシブルな対応をしてこそだと思うの。明日、お弁当作ってみよ
凛,恥を捨てて意見を代えるのがいい女？
ちひろ,はい！大人だからっ！
