モバマスより小日向美穂,たぬき
楓,――だそうですよ、プロデューサー
Ｐ,どうして俺にそれを言うんですか、楓さん
楓,あら、気になるかと思って
Ｐ,いやいや、バレンタインにそわそわするなんて学生までのことでしょ。こっちはいい歳なんだし、当日にだって仕事はあるわけだから
楓,うちには可愛い子がたくさんいますもの。プロデューサーもチョコをたくさん貰えるんじゃありませんか？
Ｐ,わはは、まさか。身の程くらいわきまえてますよ。チョコっと義理チョコでも貰えるだけで御の字ですって
楓,……
Ｐ,……
楓,いまいちですね
Ｐ,高垣師範……！
楓,そうだ、今夜久しぶりに一杯いかがですか？
Ｐ,また急だな。無理です
楓,あら即答……
Ｐ,今日はちょっと遅くなりそうですから。昔みたいにパパッと済ませて～ってわけにはいきませんよ、流石に
楓,けれど私、最近出した新譜のご褒美、まだ頂いていませんが……
Ｐ,う
楓,ああ、寂しいわ。せっかくナイスなお店を見つけたのに、プロデューサーは行く気ないっす……
Ｐ,ぬ、むむ
楓,ねぇ、本当にいけませんか、プロデューサー……？
Ｐ,…………
楓,……ね、Ｐさん？
Ｐ,はぁ……もう。一軒だけですからね。ハシゴは無し。軽く引っかけてすぐ開くなら付き合います
楓,ふふふ、はーい♪
そのテーマっていうのが、,ちょっぴり大人なビタースウィーツ
藍子ちゃんが言うには、,夜市
美嘉,やるからには半端なことはできない。とはいえ、アタシもまだチョコにはそんなに自信が無いし……。ぶっつけ本番？まさか。よりによって年に一回のチャンスにそんな適当なことできるわけないし
響子,美嘉ちゃんっ。お菓子作りの本、あるだけ持ってきました！
美嘉,ありがと響子ちゃん。あれ……美穂は？
響子,今夜はちょっと用事があるとかで、今は出かけてるみたいです
美嘉,そっか……。別の道を見つけたってこと？いいじゃん、面白くなってきたっ。てか、ごめんね？アタシのわがままに付き合わせちゃったみたいで
響子,そんな、いいんですよ。私もちゃんとお菓子作りに挑戦したいって思ってたし……。それに、みんなにも喜んで欲しいですから！
美嘉,わかった。それじゃ、よろしくね★
響子,はい！じゃ、えーっとまず――
フレデリカ,呼ばれて飛び出てフレデリカ！！
志希,あーんどシキちゃん！！
響子,きゃっ！？
美嘉,呼んでないし今どこから出たの！？
フレデリカ,アタシはいつもみんなの心の中にいる青春の幻影なのだよ……
志希,実は幻覚かもしれないよねー
美嘉,って、触れるんだから幻覚なわけないでしょ
志希,ふへー
フレデリカ,っていうのはともかくー、話は聞かせてもらったよ！。ここはこの宮本フレデリカが、一肌もふた肌も脱いであげよう！
響子,はだか！？
美嘉,一肌脱ぐ、って……
フレデリカ,フフフーン♪実は、フレちゃんチョコ作るの大得意なんだ～！
鈴なりにぶら下がる蘭鋳,らんちゅう
藍子ちゃんとは顔見知りみたい,でも目は合わせません
りすさんは引っ込もうとして踏みとどまって、重心を思いっきり後ろに傾けたまま返事してくれました,でも目は合わせません
ちょっとしてから,ひょえぇ～……
りすさんは,ほぇえぇえぇ……！？
やっぱりテントとは思えない完璧な設備で、なんとバウムクーヘンを焼く機械,すごく大きい
私達が見守る中、アップルパイさんは,うんっ
意味がよくわからなくてつい首を傾げると、藍子ちゃんは微笑んでもう一度,大丈夫
～錬金,つく
フレデリカ,ハスハスさん、今回は何作るの～？
志希,んっふふ～。今日はねフレリ、これさー！。気になるカレを肉体改造！神酒ソーマ
フレデリカ,錬成でき
志希,ハスハスフム～♪
美嘉,いや普通のでいいから！ソーマって何！？
響子,できるかなは違う番組だったような……？
志希,んにゃ、ソーマ知らない？超古代植物アンブロディアから精製できるインドの霊薬でー飲んだら不死身になっちゃうやーつ。でもあんまし使っちゃいけないやつなんだにゃ～。ほら、マークされてるから、財団に
響子,ざ、財団！？何のですか！？
美嘉,てかプロデューサーを不死身にしてどうすんの！
志希,あ、やっぱしプロデューサーにチョコ作るんだ？ホンキのやつー？
美嘉,んﾞっっぐ
響子,わぁ、み、美嘉ちゃん……///
美嘉,…………と、とにかく、作るのは普通のやつ！変な薬はナシでお願い！
フレデリカ,ういむ～っしゅ！チョコのことならフレちゃんにおまかせあれ～！。なんせアタシはチョコと一緒に産湯に浸かったってママが言ってたからね～♪
志希,せいぜい死ぬ気でチョコを作ることだな……！
美嘉,皆川フェードやめて！
手にしたステッキをくるりと回し、,私
ハットのつばを指先で持ち上げ、,私
まさにキャンペーンのイメージそのものの、私が夢見た,私
ステッキで弧を描き、地面を軽く叩く,私
天井のシャンデリアの上で足を組み、,私
その椅子のうち一つに腰掛けて、,私
闇に吸い込まれていくその果ては見えず、等間隔に光る瓦斯,ガス
廊下の壁に背を預けた,私
彼女が言う,甘いか苦いか
その答え合わせをするように、,理想の小日向美穂
どちらに進むかは自分次第と、,私
理想の,私
きっと、そういう孤高の果てこそ、,彼女
岐路に立つオトナの,私
おすまし顔の,あなた
余韻が喉の奥まで消える時、,あなた
正確には、,あなた
扉が閉まる直前、,あなた
ひょっとして、りすさんが最初に言ってた,ドーナツさん
彼女は,うしさん
ということは、こちらのふんわりした子は,マカロンさん
Ｐ,………………だいぶ飲んでしまった
楓,うふふ、プロデューサーったら結構な飲みっぷりで♪
Ｐ,うまかったことは認めます。なんでしたっけあの、神谷バーの電気ブラン、じゃなくて……
楓,偽電気ブラン
Ｐ,……ってなんなんすか偽って
楓,電気ブランの味に感銘を受けた京都の電話局員が、その味を独自に再現しようと思考錯誤を重ねた結果で――。今でも非公式のままどこかでこっそり作られて、あちこちに運び出されているそうなんです
Ｐ,密造酒なんじゃないんですかそれ、大丈夫なんですか
楓,けどプロデューサーも飲まれたんですから、もう共犯なのでは？
Ｐ,く……っ
楓,それよりほら、本番はこれからですよ？そろそろいい頃合いだと思いますけど
Ｐ,これからってね、ハシゴはしないって俺は何度も……
楓,いえいえ、そうじゃなく。素敵な夜はこれから――ということですよ。ほら、前♪
私は,彼女
咄嗟に私の手をぎゅっと握って,ぎゅっと握って！！
二人の無事を,？
Ｐ,…………こんな種類の注意をするとは思っていなかったが
フレデリカ,うむ
Ｐ,敢えて言おう、フレデリカ
フレデリカ,うむうむ
Ｐ,事務所のソファーを玉座にするのはやめなさい
フレデリカ,ふむむーん？
Ｐ,ふむむーんじゃないだろが！なんだそのヒゲ！ていうかなんだこのお菓子の量は！？
フレデリカ,フンフフーン♪フレちゃん今日はお菓子の王様なんだ～♪
Ｐ,ぬぅ、完全に開き直っている……。……まあそうだな、誕生日だしな。これ俺から。おめでとさん
フレデリカ,うむうむ、くるしゅうないぞ。代わりにこれを受け取るがよい～♪
Ｐ,あっチョコを賜った……。ありがたき幸せにございます
周子,むしゃむしゃむしゃ
こずえ,もぐもぐもぐー……
Ｐ,君らは君らで遠慮というものを知らんね！。事務所には色とりどりのお菓子が溢れている。バレンタインデーに加えて、うちのフレデリカの誕生日でもあるのだ。友チョコに義理チョコにノリのチョコ、フレデリカへのプレゼントも加わって、まるでお祭り騒ぎだった。……まあせっかくだし俺も貰うか。すげえなこれ和菓子までより取り見取りだわ
？？？,本当に賑やかですねぇ
Ｐ,はっ、その声は……！？
ちひろ,お疲れ様です♪
Ｐ,ちひろさん！？これまで名前は出てきたけど直接登場するのは初めてのちひろさんじゃないか！
ちひろ,いやずっと事務所にいましたけどね私。いつも騒ぎの最前線にいる誰かさんの代わりに事務処理をしてるから目立たないだけで
Ｐ,申し訳なさしかない
ちひろ,まあ慣れっこですよ。それよりプロデューサーさん、ハッピーバレンタイン！
Ｐ,マジか！ありがとうございま……ｏｈ……スタドリ……
ちひろ,チョコレート味ですよ♪
Ｐ,そんなのあんの！？
楓,おはようございます、プロデューサー、ちひろさん
ちひろ,楓さん、おはようございます♪
Ｐ,ああ、おは……この包みは？
楓,ほら、今日はバレンタインデーなので。さしもの私も、何かチョコっと用意しなければと……
Ｐ,いまいちですね……！。――って、へぇ、変わった包みですね
楓,今日はお菓子がいっぱいあると思ったので、あまり甘くないものがいいかと思いまして。塩気のあるアーモンドやチーズと合わせていて、ワインのおつまみにもなるものなんですよ
Ｐ,おお……。どこのお店のものなんですか？
楓,あ、自作です
Ｐ,
楓,あら白目
Ｐ,…………チョコ作れたの！？！？！？！？
楓,言ってませんでしたかしら。私でも、このくらいはチョコっと仕上げられますよ？
Ｐ,天丼……！！
美嘉,――って、チョコくらいでびっくりしてちゃダメでしょ
Ｐ,うおっ、美嘉……？
美嘉,てことで、はいこれアタシから
Ｐ,おっ……マジか？
美嘉,なーにびっくりしてんの。アタシだってこれくらいはするって。ちなみに手作りだから★おいしかったら、またいつでも作ってあげるからね～♪
フレデリカ,ｸﾞｯ
Ｐ,おぉ……なんと手作りのプレゼントがまたも……
ちひろ,なに感動してるんですか気持ち悪いですね
Ｐ,ちょっやめて余韻ぶち壊すの。……うん、大事に頂こう。こんなの一生に一度あるかないかだ
楓,ふふ、そうしてください
美嘉,ふぅ…………。っっはぁぁぁあ～～～～～～～～っ…………！
奏,顔が真っ赤よ？
美嘉,うわあびっくりした！奏！？いつからいたの！？
奏,いつからというか、今入ろうとした時にあなたが出てきたんだけど
志希,どうだったどうだった？ミッションコンプリートできたかにゃ？
美嘉,志希も……。ええと、うん。なんか、ありがとね。結果的にちゃんとしたのができたし。響子ちゃんにもお礼言わなきゃ……
志希,んにゃんにゃ、そこはホラwin-winっていうか？あたしも結構おもしろいチョコ作れたし～
美嘉,作ったの！？
志希,作った！
美嘉,あげたの！？
志希,あげた！なかなか有意義な実験だった！
美嘉,何が入ってんの！？インドのアレ！？
志希,いやいやぁ、ヘンなおクスリは入ってないよぉ。てゆかシキちゃんソーマなんて持ってないし？
奏,当たり前よ。そんなもの本当にあったら大事件だわ
志希,あ、でも電極差したら動くよ。ふっふ～！生命の神秘～！
美嘉,それチョコなの……！？
Ｐ,……。…………これチョコなの…………？
楓,――あら、そこの小瓶は……？
Ｐ,あ、これですか？ええ、最初に貰ったクッキーの瓶で……。いい包みだったから、洗って小物入れにしてみてるんですよ
ちひろ,美穂ちゃんですね。――それにしてもあれ、いいＣＭでしたね。このポスターも。最初は少し心配だったけど、そんなの杞憂でしたよ
Ｐ,はい。本人はこれ貼ってると恥ずかしがるんですけどね。けど大きな一歩ですから。これはもうばっちり残しておかないと
ちひろ,ええ♪あ、お茶淹れてきますね
Ｐ,お、ありがたい。お願いします。――お菓子の館の女主人か。うん、何度見てもばっちりだ。さて。せっかくだから、ありがたく貰うとしようか――。いただきます
周子,んまいねこれ
こずえ,あまみー……
Ｐ,オアアーッ！？
