卯月,ええ！？そ、その……ええっと……。ママとパパが、コウノトリさんにお願いすると。は、運んできてくれるんですよ……
凛,何でそれ私に聞くかな……。コウノトリ……え？卯月もそう言ってたの？。納得いかないから聞きに来た？じゃあ……キャベツ畑で生まれるんだよ
未央,コウノトリとキャベツ畑はダメ？。むむ……仁奈ちゃんにはまだ早いぞ！。大人になれば自然と分かるから、大丈夫だよ
智絵里,うぅ……どうして私に……。う、うさぎさんが運んでくるんだよ。うさぎの国から。ちゃんと答えて欲しいって？あぅ……ごめんね、上手く言えない
かな子,お菓子の国から……そういうのはもういい？。んーと……あ！お菓子食べない？美味しいよ！。これもあげるよ、あとこれも！
杏,アメあげるから答えて欲しいって？。かな子ちゃんにはぐらかされたのか……んー。きらりー、代わりに答えてあげてー
きらり,……
杏,顔真っ赤で固まってるし
みく,杏チャンにみくなら知ってるって言われた！？。全く、何てことするにゃ……。あ、あのね。赤ちゃんは……男の人と女の人がキスするとできるにゃ……
李衣菜,ロックじゃないなぁ
みく,うるさいにゃ！！なら李衣菜ちゃんが説明してみてよ！！
李衣菜,えっ
みく,ほら、どうせ上手くできるわけないにゃ
李衣菜,な、何だとー！？
アーニャ,赤ちゃんはどこから来るか、デスか？
美波,そうね……どう説明しようかしら
アーニャ,私に任せてくだサイ。赤ちゃんは、お父さんとお母さんが願いを込めながらキスをすると。キャベツ畑に実って、それを察知したコウノトリさんが。運んできてくれるんデスよ
美波,詰め込んだわね……
蘭子,ぁ……赤しゃんは……。男の人と、女の人が……はぅ……
美嘉,赤ちゃんはどこから来るか！？。っと危ない……！周りには、誰もいないか……よかった。な、何て答えよう。普通にコウノトリで説明する？。でもカリスマで通ってるアタシがそんな常套句を使っていいのかな。アタシらしさを混ぜた方がいいよね……うーん……
まゆ,美嘉ちゃんは考え込んでて答えてくれなかった、と。いいですよ。何を聞きたいの？。……赤ちゃんはどこからやって来るか？。そうですねぇ……私も知りたいです。できればプロデューサーさんに教えて欲しいですね。手とり足とり……うふ
楓,赤ちゃんはどこからやって来るか
瑞樹,人生における永遠のテーマね
楓,そうですね……私たちも研究中なんですよ
瑞樹,ふふ、なんてね。そんなにガッカリしないで？ちゃんと教えてあげるわ。赤ちゃんは、お母さんのお腹の中からやって来るの。？お父さんは関係無いのかって？
楓,お父さんは魔法をかけて、赤ちゃんの種を、お母さんのお腹の中に預けるんです
瑞樹,ちょっと、それアウトじゃない？
楓,気にしすぎですよ
夏樹・拓海,ごふっ！？
拓海,けほっ、の、飲み物飲んでる時に何てこと聞きやがる！！
夏樹,ごほっ……まあまあ、子供なんだから仕方ないだろ。で、何だっけ？お母さんのお腹に？。赤ちゃんの種を預ける方法、か。魔法だよ魔法
拓海,そんなんじゃ納得できないってか。ませてるな
夏樹,拓海
拓海,？
夏樹,あとは任せた！
拓海,はあっ！？こらてめぇ！！。くそ、覚えてやがれ……あ、あの……な……。どうするかって、いうと……。あー面倒くせぇな！！気合だよ気合！大抵のことは気合で何とかなるんだ！！
時子,セックスで仕込むのよ
菜々,はいっ！？せ、せせせぇ……せっく……す……！？。って何なのかを聞きたいんですか？どうして……？。ふむふむ……なるほど、そういうことですか。全くあの人は、なんてド直球な説明を……。えっと、せっく……す、のことは忘れてください！。赤ちゃんはウサミン星からウサミンが送り届けるんです！うーさみん！。あれ？どこ行くんですか、まだ説明してる途中ですよ！？。くぅっ……次に聞かれる機会があったら、はぐらかさず答えられるようになりたい……！
フレ,わお！出会い頭になんてことを聞くんだいこの子は！
志希,興味を持つのはよいことだ♪教えてあげよう。セックスとは！雄と雌が子孫を残すために行う儀式のことなのだー！
フレ,声が大きいぞシキちゃん♪
志希,だいじょうぶ、あたしに任せて？。まず用意するものがあります。それは
フレ,それは？
志希,水３５リットル、炭素２０kg、アンモニア４リットル、石灰１.５kg、リン８００ｇ…
フレ,ってー、それ人体錬成に必要な材料やないかーい！
