と同じ設定ですが、読まなくとも,多分
※もしデレマスがドラマでだったら？という独自設定,妄想
【休憩室,スタジオセット
荒木比奈,以下比奈
神谷奈緒,以下奈緒
比奈,そんなん
奈緒,な……ななな……
プロデューサー,以下Ｐ
奈緒,ぷ、ぷぷプロデューサー！
Ｐ,はいはいぷぷぷプロデューサーですが？
奈緒,それ！この前！いつ！？なんで！？
Ｐ,あー、これな。実はあの時、カメラ調整してたら奈緒が入って来たからちょうどいいからってそのまま撮ってたらしい
奈緒,何がちょうどいいんだよ！？
Ｐ,円盤の特典映像
奈緒,……は？
Ｐ,いやー偶然撮れたモノだし色々マズいかなと思ったけど比奈はＯＫ出してくれたし、奈緒の事務所にも確認したんだけどどうぞどうぞ！
奈緒,誰だよそれ言ったの！！！ふん縛ってやる！！！
Ｐ,奈緒んとこの社長
奈緒,チクショウふん縛ってもありがとうございます！
Ｐ,まぁまぁ。そんなに言うならこれはボツにして別の企画にするから
奈緒,当たり前だろ！？それ以外ならなんだって良いから！
Ｐ,……なぁ奈緒
奈緒,な、なんだよ？
Ｐ,お疲れ様
奈緒,は？
背後から肩に手を置く北条加蓮,以下加蓮
Ｐの机の下から這い出る渋谷凛,以下凛
奈緒,うわぁぁぁぁぁ！！！？？？。お前らどっから出て来た！？
加蓮,最初からいたよ？奈緒がモニターに釘付けになってる間に後ろに回っただけで
凛,全く。そんな湧いて出たみたいな言い方しなくても
奈緒,湧いて出たのはお前だよ凛！！！特に！！！なんで机の下から出てくるんだよ！！！
凛,ロケでいない乃々の成分補給
奈緒,……お、おぅ
加蓮,それより奈緒。さっき何でも良いって言ったよね？
奈緒,へ？あ、あぁ
加蓮,じゃあ行こっか
奈緒,どこへ？
加蓮,衣装室
奈緒,な、なんでだ？
加蓮,……はぁー。まさか奈緒がここまで察しが悪いなんてね
奈緒,何がどうしてそう言われなきゃならないんだよ！
凛,そうだよ加蓮
奈緒,お、凛！言ってやってくれ！
凛,ホントは奈緒だって薄々この先の展開がわかってるけど一縷の望みにかけて理解を拒んでるだけなんだから順序立てて説明して逃げ道を潰さないと
奈緒,鬼か！！！
加蓮,良い？奈緒
奈緒,やめろぉ！！！説明しようとするな！！！
加蓮,Ｐさん。特典映像って早めに製作さんに上げなきゃいけないよね？
Ｐ,そうだな。この映像が使えないなら尚更だ
加蓮,この映像は奈緒の我儘で使えないんだよね？
Ｐ,まぁ、言い方はあれだがそうだな
加蓮,じゃあ奈緒が代わりの映像を用意するっていうのが筋だよね？
奈緒,ぐ、ぐぐぐ……
加蓮,奈緒。まだ何かある？
奈緒,……ない
加蓮,じゃあ行こっか
奈緒,うぅぅ……なんでこんな目に……
凛,大丈夫だよ。天井のシミを数えてる間に終わるから
奈緒,おいアイドル！！！
Ｐ,なぁ奈緒。この前のプリティ奈緒のふわふわファッションショー
奈緒,絶っっっっっっ対嫌だ！！！！！！
