先生,はーいテスト返すよー
善子,ｸｯｸｯｸｯ………
ルビィ,善子ちゃんの様子が変だよぉ…
花丸,どうしたんずら善子ちゃん？。まさか…テストの点数が悪すぎて狂ったずら！？
ルビィ,そんなぁ！気を確かに善子ちゃん！
善子,ヨハネ！フッフッフッ…点数が低すぎて狂ったんじゃないわ、その逆よ逆！
花丸,まさか…テストの点数が悪すぎて堕天使から正気に戻ったずら！？
ルビィ,そんなぁ！堕天使に戻って善子ちゃん！
善子,ちがうちがーーーーう！これを見なさい！！
花丸,な…なんだとずら…
ルビィ,しゅごい…みんな高得点だ…
花丸,しかも…数学に至っては100点！
善子,どお？すごいでしょう
花丸,なんということずら…正直善子ちゃんは頭よくない堕天使娘だと思ってたずら…
ルビィ,テスト返ってきてるときに頑なに点数教えてくれなかったのも点数が低すぎるからだと思ってた…
善子,そう！それ！みんな私のことを厨二病のアホ堕天使だと思ってる節があるでしょ！
花丸,普段の行いずら
善子,自分で言うのもなんだけど私は出席状況が悪いだけで地頭は良いのよ。学年順位も1ケタだったし
ルビィ,ほわぁ…善子ちゃんすごいすごい！！
花丸,素直にすごいずらね…
善子,テストという頭の良さの証拠が返ってきたわけだし、これで堕天使バカ説を払拭できるわ！！！。ｸｯｸｯｸｯ…放課後の部活が楽しみね！。ヨハネ降臨！
花丸,こんにちはずら～
ルビィ,こんにちは～
鞠莉,oh！来たわね１年生’s
曜,しーっ、善子ちゃん静かに
善子,なによ、せっかくテンション上げて来たのに
梨子,アレよ、アレ
千歌,
果南,
ダイヤ,まったくお二人はいつもいつも….
花丸,部室の隅に千歌ちゃんと果南ちゃんが正座させられて
ルビィ,おねいちゃんにお説教されてる…
善子,なるほど、大方2人ともテストの点数が悪くてダイヤが激おこなワケね
鞠莉,その通りデース、さっきからずっとこの調子なの今日の練習はナシね～
善子,あの二人は………他のみんなは大丈夫だったの？
鞠莉,私は小原家をいずれ継ぐので幼少期から英才教育を受けてマース！理事長になるために留学先で勉強したし、特に英語はバッチリだったわ！
曜,私は体育が成績良くて、あとは普通ぐらいかな～
梨子,私も音楽と美術だけ良くてあとはそこそこ…
花丸,マルは日本史と国語がよかったずら
ルビィ,ルビィはおねいちゃんに黒澤家の人間として学業を疎かにすることは許されませんわって普段から一緒にお勉強してたから、今回は良かったよ
鞠莉,ダイヤはもちろん学年1位だったけど…果南と千歌っちは…
善子,あぁ…察し
ダイヤ,常日頃から勉強を怠ってはいけないとあれほど…あら？善子さん
千歌,善子ちゃん！！？
果南,善子！！？
善子,うぇっ！？なによ！？
